date,factor,cum_factor,pre_close,ref_price,kind
2025-11-05,0.99506903,0.94596497,10.14,10.09,息
2025-12-03,0.99515504,0.95065261,10.32,10.27,息
2026-01-06,0.99515504,0.95528090,10.32,10.27,息
2026-02-03,0.99519231,0.95993174,10.4,10.35,息
2026-03-12,0.99517375,0.96456909,10.36,10.31,息
2026-04-02,0.99516908,0.96924692,10.35,10.3,息
2026-05-06,0.99511241,0.97395200,10.23,10.18,息
2026-06-02,0.99507389,0.97873566,10.15,10.1,息
2026-07-06,0.99515973,0.98358088,10.33,10.28,息
2026-08-04,0.99423631,0.98836484,10.41,10.35,息
2026-09-02,0.99409449,0.99409449,10.16,10.1,息
