date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2015-04-16,0.97387640,,0.81414062,14.07,13.7,息,exright
2016-04-27,0.97394856,,0.83597941,14.25,13.87,息,exright
2017-04-26,0.97591185,,0.85834041,14.35,14,息,exright
2018-04-26,0.97510268,,0.87952658,14.9,14.52,息,exright
2019-04-25,0.97732432,,0.90198355,16.9,16.51,息,exright
2020-04-24,0.97948763,,0.92291119,18.6,18.21,息,exright
2021-05-07,0.97944633,,0.94223874,19.32,18.92,息,exright
2022-04-18,0.98209024,,0.96201161,19.98,19.62,息,exright
2022-09-01,0.98977446,,0.97955521,19.89,19.68,息,exright
2023-03-09,0.98967517,,0.98967517,20.22,20.01,息,exright
