date,factor,cum_factor,pre_close,ref_price,kind
2015-05-21,0.98587224,0.72317167,16.28,16.05,息
2015-11-19,0.98503578,0.73353487,15.37,15.14,息
2016-05-24,0.98663426,0.74467840,16.46,16.24,息
2016-11-22,0.98592450,0.75476641,15.63,15.41,息
2017-05-18,0.98469033,0.76554179,14.37,14.15,息
2017-11-21,0.98253607,0.77744421,13.17,12.94,息
2018-05-17,0.98485891,0.79126277,14.53,14.31,息
2018-11-20,0.98532355,0.80342753,14.99,14.77,息
2019-05-21,0.98562500,0.81539463,16,15.77,息
2019-11-20,0.98789625,0.82728688,17.35,17.14,息
2020-05-20,0.98859749,0.83742284,17.54,17.34,息
2020-11-19,0.98801459,0.84708169,19.19,18.96,息
2021-05-20,0.98880234,0.85735747,20.54,20.31,息
2021-11-23,0.98848849,0.86706659,19.98,19.75,息
2022-05-18,0.98763524,0.87716408,19.41,19.17,息
2022-11-23,0.98706897,0.88814579,18.56,18.32,息
2023-05-17,0.98621482,0.89978088,17.41,17.17,息
2023-11-22,0.98505678,0.91235790,16.73,16.48,息
2024-05-16,0.98579882,0.92619828,16.9,16.66,息
2024-11-21,0.98607595,0.93954088,15.8,15.58,息
2025-05-15,0.98552632,0.95280782,15.2,14.98,息
2025-11-20,0.98317484,0.96680099,13.67,13.44,息
2026-05-14,0.98334595,0.98334595,13.21,12.99,息
