date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2017-07-03,0.99762686,,0.69779229,63,62.85,息,exright
2018-06-26,0.96470588,,0.69945219,64.6,62.32,息,exright
2019-07-01,0.96437500,,0.72504190,64,61.72,息,exright
2019-10-14,0.99713224,,0.75182569,63.8,63.61,權,exright
2020-07-01,0.96470588,,0.75398794,64.6,62.32,息,exright
2021-07-26,0.96352000,,0.78157287,62.5,60.22,息,exright
2022-07-04,0.96352000,,0.81116414,62.5,60.22,息,exright
2022-12-05,0.98837681,,0.84187577,57.3,56.63,權,exright
2023-06-28,0.96161616,,0.85177612,59.4,57.12,息,exright
2024-07-01,0.96241939,,0.88577559,61.1,58.8,息,exright
2025-06-30,0.95951923,,0.92036341,62.4,59.87,息,exright
2026-06-30,0.95919225,,0.95919225,61.9,59.37,息,exright
