date,factor,cum_factor,pre_close,ref_price,kind,event
2018-08-23,0.94219114,0.55847382,21.45,20.21,除息,exright
2019-08-22,0.96136364,0.59273941,44,42.3,除息,exright
2020-08-28,0.93982808,0.61656109,34.9,32.8,除息,exright
2021-07-23,0.96256684,0.65603604,56.1,54,除息,exright
2021-07-30,0.97065574,0.68154855,61,59.21,除權,exright
2022-07-19,0.91480298,0.70215270,46.95,42.95,除息,exright
2023-08-24,0.93991989,0.76754527,74.9,70.4,除息,exright
2024-08-20,0.96363636,0.81660712,137.5,132.5,除息,exright
2025-08-19,0.87274775,0.84742248,222,193.75,除權息,exright
2026-08-21,0.97098214,0.97098214,224,217.5,除息,exright
