date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2015-08-07,0.94517544,,0.60253721,45.6,43.1,除息,exright
2016-08-19,0.94110718,,0.63748716,42.45,39.95,息,exright
2017-07-20,0.94275862,,0.67737998,29,27.34,權息,exright
2017-08-28,0.97625000,,0.71850839,24,23.43,權,exright
2019-08-12,0.95628319,,0.73598811,56.5,54.03,息,exright
2020-08-03,0.96268657,,0.76963405,80.4,77.4,息,exright
2021-07-19,0.95283019,,0.79946483,63.6,60.6,息,exright
2022-07-11,0.93920973,,0.83904230,65.8,61.8,息,exright
2023-08-02,0.96742671,,0.89334924,61.4,59.4,息,exright
2024-10-11,0.97469244,,0.92342834,56.9,55.46,權,exright
2025-08-25,0.94740484,,0.94740484,28.9,27.38,權,exright
