date,factor,cum_factor,pre_close,ref_price,kind
2016-07-14,0.97279461,0.68959845,297,288.92,息
2017-08-03,0.97286296,0.70888391,368.5,358.5,息
2018-07-13,0.96070727,0.72865752,254.5,244.5,息
2019-07-11,0.96023857,0.75845947,251.5,241.5,息
2020-07-16,0.97076023,0.78986566,342,332,息
2021-07-19,0.97668998,0.81365679,429,419,息
2022-07-08,0.96099291,0.83307581,282,271,息
2023-07-19,0.96793003,0.86689069,343,332,息
2024-07-09,0.97037037,0.89561297,405,393,息
2025-04-01,0.96319797,0.92295993,394,379.5,息
2026-03-25,0.95822454,0.95822454,383,367,息
