date,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,asof,source
2013-01-01,13.24,13.24,12.77,13.22,2116.92940862,,,,,2026-09-22,bitstamp
2013-01-02,13.12,13.19,12.98,13.09,1840.84872373,,,,,2026-09-22,bitstamp
2013-01-03,13.09,13.26,12.96,13.19,3320.97205370,,,,,2026-09-22,bitstamp
2013-01-04,13.12,13.24,12.84,13.19,2700.25350741,,,,,2026-09-22,bitstamp
2013-01-05,13.19,13.19,13.03,13.15,1463.53584867,,,,,2026-09-22,bitstamp
2013-01-06,13.11,13.15,13.06,13.15,453.56308950,,,,,2026-09-22,bitstamp
2013-01-07,13.10,13.20,13.04,13.20,3935.24845698,,,,,2026-09-22,bitstamp
2013-01-08,13.20,13.50,13.05,13.50,6086.27515492,,,,,2026-09-22,bitstamp
2013-01-09,13.51,13.65,13.18,13.58,4640.26739318,,,,,2026-09-22,bitstamp
2013-01-10,13.67,14.19,13.50,14.00,3719.44737915,,,,,2026-09-22,bitstamp
2013-01-11,14.00,14.10,13.85,14.00,2405.62603846,,,,,2026-09-22,bitstamp
2013-01-12,14.02,14.07,13.84,13.89,2245.56319970,,,,,2026-09-22,bitstamp
2013-01-13,13.94,14.03,13.54,13.64,1578.50971345,,,,,2026-09-22,bitstamp
2013-01-14,13.65,14.10,13.50,14.10,4314.60459809,,,,,2026-09-22,bitstamp
2013-01-15,14.10,14.32,13.88,14.20,4961.37905221,,,,,2026-09-22,bitstamp
2013-01-16,14.15,14.65,14.01,14.53,5436.22875828,,,,,2026-09-22,bitstamp
2013-01-17,14.53,15.47,14.45,15.36,5227.75642184,,,,,2026-09-22,bitstamp
2013-01-18,15.34,15.70,15.17,15.57,6749.52567820,,,,,2026-09-22,bitstamp
2013-01-19,15.52,15.65,15.32,15.38,1993.54022684,,,,,2026-09-22,bitstamp
2013-01-20,15.48,15.69,15.38,15.50,1427.76747178,,,,,2026-09-22,bitstamp
2013-01-21,15.62,16.98,15.45,16.52,5634.62820353,,,,,2026-09-22,bitstamp
2013-01-22,16.53,17.60,16.45,17.35,3827.75700027,,,,,2026-09-22,bitstamp
2013-01-23,17.50,17.60,16.86,17.50,4853.15538002,,,,,2026-09-22,bitstamp
2013-01-24,17.50,19.20,16.00,17.29,14880.17041128,,,,,2026-09-22,bitstamp
