open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1581292800000,25.070,25.907,24.031,25.189,1405091.86,1581379199999,35276132.05283,37889,681570.43,17124784.72072,0
1581379200000,25.190,25.864,24.250,25.705,1783061.99,1581465599999,44622788.19330,48228,839241.36,21013932.47279,0
1581465600000,25.705,26.980,25.347,26.451,1311285.47,1581551999999,33885164.31231,43964,594070.81,15360037.39104,0
1581552000000,26.452,27.397,24.580,25.456,1451755.42,1581638399999,37507469.18219,53369,632990.22,16354203.04796,0
1581638400000,25.455,26.697,25.043,26.384,1271237.03,1581724799999,32817983.42742,48905,578046.04,14918441.97979,0
1581724800000,26.373,26.600,23.250,24.239,1601280.92,1581811199999,40571935.40173,45517,670389.14,16994292.50519,0
1581811200000,24.225,25.302,21.780,23.389,1775025.82,1581897599999,42055798.35577,59544,762628.69,18085622.29304,0
1581897600000,23.355,23.623,21.519,23.452,2036473.78,1581983999999,45872599.54061,73281,937048.60,21101331.18952,0
1581984000000,23.462,24.519,22.726,24.094,1293664.26,1582070399999,30546919.66474,46710,587059.35,13875199.31518,0
1582070400000,24.107,24.392,21.391,22.367,1411342.31,1582156799999,33379978.35090,44960,595106.20,14115267.03162,0
1582156800000,22.362,22.723,21.000,22.191,1244980.04,1582243199999,27328018.75877,45338,556666.52,12222099.67247,0
1582243200000,22.172,22.933,21.815,22.209,972969.37,1582329599999,21692224.81290,36824,432694.95,9649135.66125,0
1582329600000,22.221,22.374,21.510,22.008,736112.42,1582415999999,16187652.61082,29566,304459.08,6695899.64154,0
1582416000000,22.007,22.997,21.977,22.868,1007250.63,1582502399999,22824378.55776,32434,478787.67,10848458.91429,0
1582502400000,22.871,23.288,21.512,22.110,1270055.15,1582588799999,28491561.85280,47389,564632.63,12662112.22312,0
1582588800000,22.111,22.130,20.139,20.340,1444417.18,1582675199999,30267705.10421,52447,639582.80,13396734.67417,0
1582675200000,20.345,20.547,17.870,18.729,2294044.51,1582761599999,43683100.68405,69449,1030505.18,19630803.24996,0
1582761600000,18.723,19.635,17.701,19.154,1684886.46,1582847999999,31740165.79434,49213,813093.13,15317946.33747,0
1582848000000,19.150,19.755,17.920,19.001,1718113.47,1582934399999,32323414.26489,57972,804471.18,15151212.52170,0
1582934400000,19.001,20.300,18.802,19.257,1734548.17,1583020799999,33787883.51820,52757,815330.79,15899056.05056,0
1583020800000,19.250,19.913,18.500,18.900,2131016.51,1583107199999,41112605.97457,56560,1036487.16,20001973.34254,0
1583107200000,18.909,20.051,18.768,19.900,1782168.95,1583193599999,34843412.66647,44847,849233.90,16601746.89022,0
1583193600000,19.901,20.382,19.330,19.685,1607025.05,1583279999999,31699204.00933,36819,760733.49,15006358.04405,0
1583280000000,19.684,20.273,19.540,19.969,1399024.21,1583366399999,27811026.36718,32258,693311.58,13782380.12401,0
1583366400000,19.969,21.472,19.965,20.754,1955491.71,1583452799999,40873522.86982,37755,940013.61,19648378.44390,0
1583452800000,20.750,21.770,20.692,21.379,1659669.26,1583539199999,35201703.50768,32558,816250.33,17310788.42564,0
1583539200000,21.379,21.500,19.778,20.269,1393981.18,1583625599999,28857996.77310,31417,621434.35,12878819.46475,0
1583625600000,20.270,20.270,16.715,16.897,2287497.85,1583711999999,42527247.23720,47757,1000422.85,18597404.43680,0
1583712000000,16.886,17.465,15.628,16.589,3446761.01,1583798399999,57190727.58453,72988,1662683.21,27601614.94002,0
1583798400000,16.603,17.450,16.289,16.850,2417921.41,1583884799999,40766807.88556,50127,1156257.07,19500495.75619,0
1583884800000,16.868,17.129,15.423,16.591,2157510.13,1583971199999,35400178.71604,45059,1058843.11,17381777.75020,0
1583971200000,16.591,16.628,8.873,9.277,8451829.08,1584057599999,103182679.17230,152925,3823338.32,46764754.39734,0
1584057600000,9.230,11.708,6.236,10.958,11581062.71,1584143999999,112147222.21236,255894,5833180.20,56592849.38240,0
1584144000000,10.952,11.300,9.875,10.135,2772315.36,1584230399999,29727288.25000,65102,1383116.94,14851734.43188,0
1584230400000,10.140,11.329,9.971,10.393,2073135.23,1584316799999,21690406.84644,53543,1046374.73,10968188.56521,0
1584316800000,10.388,10.404,8.380,9.422,4585965.54,1584403199999,42760749.88319,204744,2371466.17,22091783.15698,0
1584403200000,9.432,10.531,9.326,10.241,2676624.01,1584489599999,27015207.48242,185021,1310598.91,13239521.95570,0
1584489600000,10.237,10.425,9.658,10.392,2128780.82,1584575999999,21568437.49190,171060,1085066.00,11000469.69021,0
1584576000000,10.393,12.699,10.245,12.267,2968162.77,1584662399999,33507998.67024,179687,1554659.72,17536374.20195,0
1584662400000,12.263,13.697,10.307,11.911,3028060.57,1584748799999,37441881.80195,188471,1371506.04,17008103.68306,0
1584748800000,11.912,12.439,11.272,12.101,2299755.97,1584835199999,27346669.20401,189455,1158133.83,13778157.15601,0
