period,market,url,self_period,rows,distinct_codes,no_sector
2003-01,tpex,t21sc03_92_1.html,92年1月,427,427,0
2003-01,twse,t21sc03_92_1.html,92年1月,661,661,0
2003-02,tpex,t21sc03_92_2.html,92年2月,446,446,0
2003-02,twse,t21sc03_92_2.html,92年2月,666,666,0
2003-03,tpex,t21sc03_92_3.html,92年3月,457,457,0
2003-03,twse,t21sc03_92_3.html,92年3月,667,667,0
2003-04,tpex,t21sc03_92_4.html,92年4月,463,463,0
2003-04,twse,t21sc03_92_4.html,92年4月,664,664,0
2003-05,tpex,t21sc03_92_5.html,92年5月,463,463,0
2003-05,twse,t21sc03_92_5.html,92年5月,668,668,0
2003-06,tpex,t21sc03_92_6.html,92年6月,467,467,0
2003-06,twse,t21sc03_92_6.html,92年6月,670,670,0
2003-07,tpex,t21sc03_92_7.html,92年7月,459,459,0
2003-07,twse,t21sc03_92_7.html,92年7月,676,676,0
2003-08,tpex,t21sc03_92_8.html,92年8月,460,460,0
2003-08,twse,t21sc03_92_8.html,92年8月,678,678,0
2003-09,tpex,t21sc03_92_9.html,92年9月,456,456,0
2003-09,twse,t21sc03_92_9.html,92年9月,684,684,0
2003-10,tpex,t21sc03_92_10.html,92年10月,455,455,0
2003-10,twse,t21sc03_92_10.html,92年10月,691,691,0
2003-11,tpex,t21sc03_92_11.html,92年11月,459,459,0
2003-11,twse,t21sc03_92_11.html,92年11月,694,694,0
2003-12,tpex,t21sc03_92_12.html,92年12月,469,469,0
2003-12,twse,t21sc03_92_12.html,92年12月,692,692,0
2004-01,tpex,t21sc03_93_1.html,93年1月,472,472,0
2004-01,twse,t21sc03_93_1.html,93年1月,695,695,0
2004-02,tpex,t21sc03_93_2.html,93年2月,474,474,0
2004-02,twse,t21sc03_93_2.html,93年2月,697,697,0
2004-03,tpex,t21sc03_93_3.html,93年3月,481,481,0
2004-03,twse,t21sc03_93_3.html,93年3月,697,697,0
2004-04,tpex,t21sc03_93_4.html,93年4月,484,484,0
2004-04,twse,t21sc03_93_4.html,93年4月,696,696,0
2004-05,tpex,t21sc03_93_5.html,93年5月,489,489,0
2004-05,twse,t21sc03_93_5.html,93年5月,697,697,0
2004-06,tpex,t21sc03_93_6.html,93年6月,498,498,0
