key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2008-04-23_0015,2008-04-23,0015,富邦,twse,9.05,9.10,9.01,9.06,1416000,12851700,0.0,,,83,,
2008-04-23_0050,2008-04-23,0050,元大台灣50,twse,64.05,64.30,63.35,63.75,9723815,620139760,-0.65,,,2103,,
2008-04-23_0051,2008-04-23,0051,元大中型100,twse,35.56,36.17,35.24,35.99,251130,9018033,0.44,,,145,,
2008-04-23_0052,2008-04-23,0052,富邦科技,twse,40.70,40.70,40.10,40.40,128877,5203890,-0.02,,,27,,
2008-04-23_0053,2008-04-23,0053,元大電子,twse,26.20,26.20,25.70,25.96,897000,23307040,-0.04,,,219,,
2008-04-23_0054,2008-04-23,0054,元大台商50,twse,22.46,22.46,22.25,22.27,128000,2861620,-0.19,,,73,,
2008-04-23_0055,2008-04-23,0055,元大MSCI金融,twse,17.02,17.15,16.88,17.10,3001050,51002600,0.08,,,698,,
2008-04-23_0056,2008-04-23,0056,元大高股息,twse,26.50,26.67,26.41,26.60,1289000,34267410,-0.1,,,281,,
2008-04-23_0057,2008-04-23,0057,富邦摩台,twse,33.48,33.49,32.90,33.25,585000,19410440,-0.01,,,37,,
2008-04-23_0058,2008-04-23,0058,富邦發達,twse,32.50,32.70,32.45,32.70,290000,9425300,0.1,,,25,,
2008-04-23_0059,2008-04-23,0059,富邦金融,twse,34.50,34.70,34.50,34.70,141000,4877650,0.2,,,21,,
2008-04-23_01001T,2008-04-23,01001T,土銀富邦R1,twse,12.10,12.25,12.10,12.20,907000,11023000,0.1,,,75,,
2008-04-23_01002T,2008-04-23,01002T,土銀國泰R1,twse,10.76,10.79,10.75,10.77,6314000,67994620,0.01,,,175,,
2008-04-23_01003T,2008-04-23,01003T,兆豐新光R1,twse,10.19,10.23,10.18,10.22,5208000,53133790,0.03,,,104,,
2008-04-23_01004T,2008-04-23,01004T,土銀富邦R2,twse,10.95,11.18,10.95,11.18,1530000,16922390,0.23,,,144,,
2008-04-23_01005T,2008-04-23,01005T,三鼎,twse,7.90,8.04,7.90,8.04,113000,898170,0.08,,,13,,
2008-04-23_01006T,2008-04-23,01006T,基泰SR,tpex,8.50,8.52,8.47,8.52,118000,1002810,0.02,,0,11,,
2008-04-23_01007T,2008-04-23,01007T,兆豐國泰R2,twse,10.71,10.81,10.71,10.79,1059000,11376310,0.08,,,81,,
2008-04-23_01008T,2008-04-23,01008T,駿馬R1,twse,9.10,9.19,9.10,9.19,60000,547660,0.05,,,16,,
2008-04-23_1101,2008-04-23,1101,台泥,twse,53.60,53.80,52.50,53.00,25280101,1341587153,-0.7,,,7817,,
2008-04-23_1102,2008-04-23,1102,亞泥,twse,55.00,55.00,54.30,54.70,3724818,203180634,-0.3,,,1359,,
2008-04-23_1103,2008-04-23,1103,嘉泥,twse,31.00,32.00,30.80,32.00,5239685,164972304,0.75,,,1406,,
2008-04-23_1104,2008-04-23,1104,環泥,twse,22.10,22.40,21.75,22.40,3053753,67478056,0.3,,,777,,
2008-04-23_1107,2008-04-23,1107,建台,tpex,2.46,2.59,2.46,2.59,2283000,5884060,0.13,,314035300,143,,
2008-04-23_1108,2008-04-23,1108,幸福,twse,12.60,12.70,12.50,12.50,2138879,26845440,-0.1,,,538,,
2008-04-23_1109,2008-04-23,1109,信大,twse,13.15,13.20,12.70,13.00,541143,7005894,-0.15,,,154,,
2008-04-23_1110,2008-04-23,1110,東泥,twse,17.70,17.80,16.80,17.20,7798867,133925760,-0.5,,,2023,,
2008-04-23_1201,2008-04-23,1201,味全,twse,23.00,23.80,22.65,23.20,6138260,142632048,0.25,,,1838,,
2008-04-23_1203,2008-04-23,1203,味王,twse,27.40,27.40,26.50,26.75,4297540,115177382,-0.65,,,1284,,
2008-04-23_1210,2008-04-23,1210,大成,twse,37.80,38.20,37.50,37.90,2624147,99642800,0.4,,,1183,,
2008-04-23_1213,2008-04-23,1213,大飲,twse,12.90,13.50,12.90,13.05,175000,2307100,0.25,,,93,,
2008-04-23_1215,2008-04-23,1215,卜蜂,twse,17.45,18.20,17.10,17.55,10567954,188967595,0.2,,,2489,,
2008-04-23_1216,2008-04-23,1216,統一,twse,44.75,44.75,43.85,43.90,17218441,757920638,-0.35,,,4748,,
2008-04-23_1217,2008-04-23,1217,愛之味,twse,15.20,15.80,14.90,14.90,16753640,256989500,-0.3,,,3877,,
2008-04-23_1218,2008-04-23,1218,泰山,twse,13.20,13.70,12.80,13.10,32559774,435271062,0.25,,,6255,,
2008-04-23_1219,2008-04-23,1219,福壽,twse,17.75,18.50,17.15,17.20,23671355,422892845,-0.15,,,5462,,
2008-04-23_1220,2008-04-23,1220,台榮,twse,12.30,12.80,12.15,12.20,1457050,18054507,-0.2,,,496,,
2008-04-23_1225,2008-04-23,1225,福懋油,twse,15.20,15.20,14.35,14.50,3584549,53061502,0.15,,,890,,
2008-04-23_1227,2008-04-23,1227,佳格,twse,17.85,18.10,17.85,17.85,875097,15732335,0.0,,,273,,
2008-04-23_1229,2008-04-23,1229,聯華,twse,25.10,25.55,24.65,24.95,7290704,183541251,0.2,,,2070,,
2008-04-23_1231,2008-04-23,1231,聯華食,twse,13.80,14.40,13.75,13.75,2401571,33837721,0.05,,,779,,
2008-04-23_1232,2008-04-23,1232,大統益,twse,41.00,42.00,41.00,41.00,851086,35335076,0.15,,,363,,
2008-04-23_1233,2008-04-23,1233,天仁,twse,30.60,30.60,30.25,30.35,40697,1236520,-0.2,,,33,,
2008-04-23_1234,2008-04-23,1234,黑松,twse,19.60,20.00,19.30,19.30,5193325,102100939,-0.2,,,1472,,
2008-04-23_1235,2008-04-23,1235,興泰,twse,38.20,38.20,38.20,38.20,1000,38200,0.0,flat,,1,,
2008-04-23_1236,2008-04-23,1236,宏亞,twse,17.60,17.80,17.50,17.60,71999,1269632,0.0,,,38,,
2008-04-23_1301,2008-04-23,1301,台塑,twse,89.30,90.40,88.50,89.50,11497799,1029738255,-0.3,,,3276,,
2008-04-23_1303,2008-04-23,1303,南亞,twse,74.50,75.20,74.00,74.50,15032819,1121553125,-0.1,,,4654,,
2008-04-23_1304,2008-04-23,1304,台聚,twse,21.20,21.20,20.55,20.60,15322410,318692752,-0.3,,,3411,,
2008-04-23_1305,2008-04-23,1305,華夏,twse,12.10,12.10,11.60,11.85,4179089,49568849,-0.25,,,779,,
2008-04-23_1307,2008-04-23,1307,三芳,twse,26.00,26.25,25.65,25.75,51644,1336752,-0.55,,,42,,
2008-04-23_1308,2008-04-23,1308,亞聚,twse,26.40,26.40,25.65,25.90,2538449,65708534,-0.5,,,701,,
2008-04-23_1309,2008-04-23,1309,台達化,twse,12.05,12.10,11.85,11.85,1400666,16758156,-0.2,,,295,,
2008-04-23_1310,2008-04-23,1310,台苯,twse,14.40,14.40,14.20,14.30,2070603,29570987,-0.1,,,509,,
2008-04-23_1312,2008-04-23,1312,國喬,twse,12.80,13.05,12.75,12.85,4847877,62508768,0.05,,,1080,,
2008-04-23_1312A,2008-04-23,1312A,國喬特,twse,,,,,0,0,0.0,,,0,無成交,
2008-04-23_1313,2008-04-23,1313,聯成,twse,20.45,20.60,20.20,20.45,3739183,76410110,0.0,,,748,,
2008-04-23_1314,2008-04-23,1314,中石化,twse,18.60,19.35,18.25,19.25,69714151,1315247098,0.7,,,11255,,
2008-04-23_1315,2008-04-23,1315,達新,twse,30.70,30.70,29.55,29.95,1114004,33283169,-0.5,,,331,,
2008-04-23_1316,2008-04-23,1316,上曜,twse,7.85,7.88,7.72,7.88,319762,2493493,0.04,,,42,,
2008-04-23_1319,2008-04-23,1319,東陽,twse,29.15,29.60,29.00,29.05,3217438,94556602,-0.1,,,1012,,
2008-04-23_1321,2008-04-23,1321,大洋,twse,29.90,29.90,29.15,29.75,1542263,45364040,0.2,,,507,,
