date,stock_id,close,yield_pct,dividend_year,per,pbr,fs_quarter
2012-02-07,1107,,0.00,99,,,
2012-02-07,1258,,0.00,100,5.47,2.50,
2012-02-07,1259,,1.69,100,24.08,7.06,
2012-02-07,1333,,0.00,99,,0.98,
2012-02-07,1336,,4.46,100,40.76,0.52,
2012-02-07,1558,,7.62,100,10.30,2.70,
2012-02-07,1565,,4.38,100,16.28,6.54,
2012-02-07,1569,,1.20,100,37.86,2.72,
2012-02-07,1570,,0.00,99,,0.89,
2012-02-07,1580,,7.25,100,11.44,3.93,
2012-02-07,1584,,0.87,100,16.70,1.29,
2012-02-07,1586,,4.64,100,35.00,1.20,
2012-02-07,1595,,3.77,100,10.89,2.07,
2012-02-07,1742,,0.00,99,20.56,1.56,
2012-02-07,1752,,0.00,100,2550.00,1.99,
2012-02-07,1777,,5.23,100,19.47,2.37,
2012-02-07,1781,,0.00,99,,1.39,
2012-02-07,1784,,0.00,99,104.39,1.87,
2012-02-07,1785,,11.84,100,12.38,1.57,
2012-02-07,1787,,5.61,100,22.78,0.81,
2012-02-07,1788,,4.75,100,16.06,2.49,
2012-02-07,1795,,1.04,100,,2.17,
2012-02-07,1799,,0.00,99,,1.15,
2012-02-07,1813,,5.08,100,33.15,1.89,
2012-02-07,1815,,4.96,100,9.73,1.16,
2012-02-07,2035,,0.00,99,,1.41,
2012-02-07,2061,,3.33,100,63.83,2.38,
2012-02-07,2063,,8.84,100,9.11,2.29,
2012-02-07,2221,,0.00,100,10.63,1.50,
2012-02-07,2233,,3.61,100,15.12,3.50,
2012-02-07,2341,,0.00,99,3.03,,
2012-02-07,2381,,0.00,99,1.21,0.51,
2012-02-07,2596,,8.79,100,,1.04,
2012-02-07,2636,,10.82,100,10.89,1.32,
2012-02-07,2718,,2.51,100,33.45,2.10,
2012-02-07,2916,,9.32,100,10.12,1.42,
2012-02-07,2924,,3.05,100,20.28,4.04,
2012-02-07,3064,,0.00,100,,3.46,
2012-02-07,3066,,0.00,99,,0.76,
2012-02-07,3067,,11.05,100,17.59,1.45,
2012-02-07,3068,,9.06,100,15.22,3.01,
2012-02-07,3071,,0.00,100,17.76,0.92,
2012-02-07,3073,,0.00,99,,0.91,
2012-02-07,3078,,9.34,100,21.23,0.86,
2012-02-07,3083,,10.14,100,16.79,3.89,
2012-02-07,3085,,0.00,99,85.67,1.29,
2012-02-07,3086,,0.00,100,12.13,1.87,
2012-02-07,3087,,0.00,99,10.04,0.80,
2012-02-07,3088,,9.73,100,12.63,1.47,
2012-02-07,3089,,0.00,99,26.51,1.04,
2012-02-07,3092,,9.09,100,15.90,0.71,
2012-02-07,3093,,13.44,100,12.37,1.96,
2012-02-07,3095,,0.00,99,,0.78,
2012-02-07,3105,,1.94,100,27.83,2.95,
2012-02-07,3114,,1.56,100,55.87,0.87,
2012-02-07,3115,,0.00,99,171.43,1.45,
2012-02-07,3118,,5.01,100,16.83,2.06,
2012-02-07,3126,,0.00,99,,4.78,
2012-02-07,3128,,0.00,100,,0.73,
2012-02-07,3131,,11.99,100,7.69,2.99,
2012-02-07,3144,,0.00,100,22.07,2.18,
2012-02-07,3152,,6.58,100,16.49,2.33,
2012-02-07,3162,,2.61,100,30.14,0.75,
2012-02-07,3169,,8.93,100,15.82,1.92,
2012-02-07,3171,,0.00,99,,1.41,
2012-02-07,3176,,0.00,100,,8.36,
2012-02-07,3188,,0.00,99,,0.84,
2012-02-07,3191,,0.00,100,13.25,0.61,
2012-02-07,3202,,0.00,99,,0.48,
2012-02-07,3205,,0.00,99,,1.61,
2012-02-07,3206,,7.83,100,9.21,1.16,
2012-02-07,3207,,2.72,100,47.42,1.03,
2012-02-07,3211,,3.79,100,16.32,3.87,
2012-02-07,3213,,9.32,100,10.00,3.06,
2012-02-07,3217,,12.30,100,10.17,0.84,
2012-02-07,3218,,0.00,100,46.64,1.90,
2012-02-07,3219,,0.00,100,,1.40,
2012-02-07,3221,,8.70,100,,0.67,
2012-02-07,3224,,0.00,99,,0.74,
2012-02-07,3226,,0.00,99,,1.80,
2012-02-07,3227,,5.78,100,30.40,1.89,
2012-02-07,3228,,0.00,99,,2.73,
2012-02-07,3230,,0.00,99,,0.45,
