date,stock_id,close,yield_pct,dividend_year,per,pbr,fs_quarter
2012-03-29,1101,,5.81,,13.71,1.35,
2012-03-29,1102,,7.22,,10.56,1.41,
2012-03-29,1103,,3.68,,33.17,0.65,
2012-03-29,1104,,4.17,,18.46,0.70,
2012-03-29,1108,,0.00,,,0.58,
2012-03-29,1109,,3.27,,,0.77,
2012-03-29,1110,,0.88,,565.00,0.78,
2012-03-29,1201,,1.84,,10.08,2.35,
2012-03-29,1203,,2.32,,34.76,1.29,
2012-03-29,1210,,5.56,,13.73,1.48,
2012-03-29,1213,,0.00,,174.64,2.02,
2012-03-29,1215,,6.64,,21.20,0.78,
2012-03-29,1216,,4.17,,21.14,2.53,
2012-03-29,1217,,0.00,,99.00,0.90,
2012-03-29,1218,,3.19,,18.63,1.38,
2012-03-29,1219,,4.66,,6.54,1.18,
2012-03-29,1220,,0.00,,12.65,0.94,
2012-03-29,1225,,2.34,,17.30,1.02,
2012-03-29,1227,,5.00,,18.45,5.56,
2012-03-29,1229,,7.85,,8.41,0.79,
2012-03-29,1231,,4.05,,12.25,2.01,
2012-03-29,1232,,5.96,,13.71,2.73,
2012-03-29,1233,,4.69,,18.92,2.93,
2012-03-29,1234,,1.65,,49.86,1.52,
2012-03-29,1235,,1.17,,77.42,1.58,
2012-03-29,1236,,6.12,,13.39,1.68,
2012-03-29,1301,,4.65,,14.74,2.18,
2012-03-29,1303,,3.17,,22.47,1.97,
2012-03-29,1304,,8.67,,7.30,1.80,
2012-03-29,1305,,0.00,,43.46,0.97,
2012-03-29,1307,,5.94,,12.08,1.34,
2012-03-29,1308,,7.94,,7.62,1.66,
2012-03-29,1309,,5.65,,6.70,0.93,
2012-03-29,1310,,0.00,,,0.92,
2012-03-29,1312,,5.19,,6.82,0.93,
2012-03-29,1313,,11.93,,16.77,1.01,
2012-03-29,1314,,6.27,,4.98,1.64,
2012-03-29,1315,,5.41,,22.43,1.12,
2012-03-29,1316,,0.00,,,1.80,
2012-03-29,1319,,2.26,,17.22,1.17,
2012-03-29,1321,,0.00,,,0.94,
2012-03-29,1323,,5.83,,10.46,1.33,
2012-03-29,1324,,4.53,,13.95,0.95,
2012-03-29,1325,,5.59,,12.43,1.08,
2012-03-29,1326,,4.74,,14.58,1.94,
2012-03-29,1337,,5.98,,11.74,2.24,
2012-03-29,1402,,5.88,,11.60,1.66,
2012-03-29,1409,,9.01,,10.52,0.80,
2012-03-29,1410,,0.97,,14.22,1.17,
2012-03-29,1413,,0.00,,20.46,0.58,
2012-03-29,1414,,0.00,,2.43,0.93,
2012-03-29,1416,,3.62,,15.33,1.00,
2012-03-29,1417,,0.00,,15.93,0.84,
2012-03-29,1418,,0.00,,22.46,0.84,
2012-03-29,1419,,1.23,,62.69,2.32,
2012-03-29,1423,,0.00,,25.67,0.56,
2012-03-29,1432,,0.00,,1.84,0.45,
2012-03-29,1434,,4.20,,23.25,0.89,
2012-03-29,1435,,0.00,,,0.55,
2012-03-29,1436,,1.21,,4.88,1.06,
2012-03-29,1437,,0.00,,,0.84,
2012-03-29,1438,,0.00,,0.40,0.48,
2012-03-29,1439,,2.55,,,0.83,
2012-03-29,1440,,1.54,,37.14,0.87,
2012-03-29,1441,,0.00,,2.94,0.96,
2012-03-29,1442,,7.04,,8.21,1.63,
2012-03-29,1443,,0.00,,14.03,0.43,
2012-03-29,1444,,15.06,,6.79,0.97,
2012-03-29,1445,,6.37,,10.47,0.57,
2012-03-29,1446,,2.23,,4.62,0.91,
2012-03-29,1447,,4.76,,8.75,0.83,
2012-03-29,1449,,0.00,,,1.23,
2012-03-29,1451,,4.80,,13.28,0.90,
2012-03-29,1452,,5.25,,14.22,0.63,
2012-03-29,1453,,5.88,,212.50,0.76,
2012-03-29,1454,,6.35,,6.68,0.67,
2012-03-29,1455,,10.81,,42.69,0.88,
2012-03-29,1456,,0.00,,,2.13,
2012-03-29,1457,,5.74,,,0.67,
2012-03-29,1459,,4.59,,12.81,0.94,
2012-03-29,1460,,0.00,,,1.02,
2012-03-29,1463,,0.00,,,1.05,
2012-03-29,1464,,2.16,,102.67,0.83,
2012-03-29,1465,,7.51,,11.63,0.75,
2012-03-29,1466,,5.21,,8.77,1.16,
2012-03-29,1467,,0.00,,12.66,0.79,
2012-03-29,1468,,0.00,,,1.45,
2012-03-29,1469,,0.00,,43.90,0.75,
2012-03-29,1470,,1.53,,26.63,1.26,
2012-03-29,1471,,0.00,,,0.89,
2012-03-29,1472,,0.00,,11.53,0.79,
2012-03-29,1473,,6.13,,10.23,1.30,
2012-03-29,1474,,2.50,,16.33,0.60,
2012-03-29,1475,,0.00,,,0.53,
2012-03-29,1476,,5.52,,14.44,3.43,
2012-03-29,1477,,5.28,,15.33,3.39,
