stock_id,name,period,market,產業別,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,2006-11,twse,水泥工業,2134599,2273115,2543583,-6.09,-16.07,23955952,25825897,-7.24
1102,亞泥,2006-11,twse,水泥工業,912312,998229,948335,-8.60,-3.79,9939847,9724657,2.21
1103,嘉泥,2006-11,twse,水泥工業,276497,255443,262925,8.24,5.16,2418299,2525217,-4.23
1104,環球水泥,2006-11,twse,水泥工業,271391,298610,338470,-9.11,-19.81,2908392,3134622,-7.21
1108,幸福水泥,2006-11,twse,水泥工業,265030,318432,402169,-16.77,-34.09,3607905,3823974,-5.65
1109,信大水泥,2006-11,twse,水泥工業,151726,198845,192562,-23.69,-21.20,2108896,1888240,11.68
1110,東泥,2006-11,twse,水泥工業,138663,150920,187358,-8.12,-25.99,1674401,1922634,-12.91
1201,味全公司,2006-11,twse,食品工業,840118,913419,781599,-8.02,7.48,9781510,9070668,7.83
1203,味王公司,2006-11,twse,食品工業,144257,129691,140937,11.23,2.35,1540937,1603056,-3.87
1210,大成長城,2006-11,twse,食品工業,1272978,1321935,1326622,-3.70,-4.04,13344906,14497797,-7.95
1213,大飲,2006-11,twse,食品工業,49038,60135,55912,-18.45,-12.29,691073,676706,2.12
1215,卜蜂企業,2006-11,twse,食品工業,748994,728409,817585,2.82,-8.38,7739552,9339336,-17.12
1216,統一,2006-11,twse,食品工業,3731118,3702677,3291727,0.76,13.34,39662890,37061794,7.01
1217,愛之味,2006-11,twse,食品工業,266385,264969,331745,0.53,-19.70,4212575,4139722,1.75
1218,泰山企業,2006-11,twse,食品工業,367628,370655,368137,-0.81,-0.13,4218773,4300783,-1.90
1219,福壽實業,2006-11,twse,食品工業,528511,522150,447434,1.21,18.12,5056293,4964738,1.84
1220,台榮,2006-11,twse,食品工業,224311,223855,177154,0.20,26.61,2193511,2062614,6.34
1225,福懋油,2006-11,twse,食品工業,553763,499667,474635,10.82,16.67,4932561,4727175,4.34
1227,佳格,2006-11,twse,食品工業,460186,482394,545680,-4.60,-15.66,5350162,5687822,-5.93
1229,聯華實業,2006-11,twse,食品工業,171959,203587,208506,-15.53,-17.52,2027770,2056614,-1.40
1231,聯華食品,2006-11,twse,食品工業,238060,222516,215494,6.98,10.47,2981127,2839199,4.99
1232,大統益,2006-11,twse,食品工業,934421,872475,737197,7.10,26.75,8569574,8147178,5.18
1233,天仁,2006-11,twse,食品工業,133213,135197,123558,-1.46,7.81,1564272,1433862,9.09
1234,黑松,2006-11,twse,食品工業,186476,206222,233093,-9.57,-19.99,3045392,3185434,-4.39
1235,興泰,2006-11,twse,食品工業,42135,58735,66895,-28.26,-37.01,589975,971076,-39.24
1236,宏亞食品,2006-11,twse,食品工業,161029,193208,160346,-16.65,0.42,1687013,1668910,1.08
1702,南僑化工,2006-11,twse,食品工業,124741,117841,134791,5.85,-7.45,1321757,1423887,-7.17
1301,台塑,2006-11,twse,塑膠工業,13142216,11095769,11518334,18.44,14.09,134816482,123754191,8.93
1303,南亞塑膠,2006-11,twse,塑膠工業,16036122,14584147,12645697,9.95,26.81,165642284,153105245,8.18
1304,台聚,2006-11,twse,塑膠工業,881481,678420,578213,29.93,52.44,7912075,8284188,-4.49
1305,華夏,2006-11,twse,塑膠工業,645679,577576,627819,11.79,2.84,6816138,6867556,-0.74
1307,三芳化工,2006-11,twse,塑膠工業,363324,407955,389182,-10.94,-6.64,3831698,3812877,0.49
1308,亞聚,2006-11,twse,塑膠工業,440307,287443,383218,53.18,14.89,4085017,4217168,-3.13
1309,台達化工,2006-11,twse,塑膠工業,738745,709783,689607,4.08,7.12,7970498,8792905,-9.35
1310,台苯,2006-11,twse,塑膠工業,1230413,997645,995090,23.33,23.64,11443161,11275054,1.49
1311,福聚,2006-11,twse,塑膠工業,1571064,1446936,1198131,8.57,31.12,13763375,12627062,8.99
1312,國喬石化,2006-11,twse,塑膠工業,1393899,1348643,1072372,3.35,29.98,12697786,12084645,5.07
1313,聯成,2006-11,twse,塑膠工業,538956,439509,432080,22.62,24.73,5727203,5837250,-1.88
1314,中石化,2006-11,twse,塑膠工業,2898411,2886333,2274976,0.41,27.40,29309389,27695624,5.82
1315,達新工業,2006-11,twse,塑膠工業,208727,277363,272428,-24.74,-23.38,3055979,3117176,-1.96
1316,上曜,2006-11,twse,塑膠工業,25946,26711,27209,-2.86,-4.64,295036,342042,-13.74
1319,東陽,2006-11,twse,塑膠工業,708287,610974,657415,15.92,7.73,6875958,6772336,1.53
1321,大洋,2006-11,twse,塑膠工業,437061,378807,380401,15.37,14.89,4776079,4445454,7.43
1323,永裕,2006-11,twse,塑膠工業,116164,104960,93657,10.67,24.03,1126712,1048018,7.50
1324,地球工業,2006-11,twse,塑膠工業,110449,111703,95285,-1.12,15.91,1107010,1098761,0.75
1325,恒大,2006-11,twse,塑膠工業,90071,80940,90395,11.28,-0.35,814947,768590,6.03
1326,台化,2006-11,twse,塑膠工業,17216321,14785223,13108776,16.44,31.33,164982516,145249714,13.58
1715,亞洲化學,2006-11,twse,塑膠工業,341955,309878,441817,10.35,-22.60,3721957,4568151,-18.52
1402,遠紡,2006-11,twse,紡織纖維,3771480,3537858,3305793,6.60,14.08,36002970,34787714,3.49
1409,新纖,2006-11,twse,紡織纖維,2150646,1682301,1762975,27.83,21.98,21848044,19142651,14.13
1410,南染,2006-11,twse,紡織纖維,24365,21081,29720,15.57,-18.01,342419,356618,-3.98
1413,宏洲化工,2006-11,twse,紡織纖維,382073,289611,278192,31.92,37.34,3779433,3441435,9.82
1414,東和,2006-11,twse,紡織纖維,358319,319152,275392,12.27,30.11,3572942,3386956,5.49
1416,廣豐,2006-11,twse,紡織纖維,38606,53460,84059,-27.78,-54.07,791254,1457169,-45.69
1417,嘉裕,2006-11,twse,紡織纖維,91741,84549,173202,8.50,-47.03,1600758,1570408,1.93
1418,東華,2006-11,twse,紡織纖維,179601,166878,309713,7.62,-42.01,2827021,2667503,5.98
1419,新紡,2006-11,twse,紡織纖維,73476,65249,58129,12.60,26.40,547096,657977,-16.85
1423,利華羊毛,2006-11,twse,紡織纖維,167111,104072,155594,60.57,7.40,1884077,1954857,-3.62
1432,大魯閣,2006-11,twse,紡織纖維,7368,20796,20326,-64.57,-63.75,618507,566804,9.12
1434,福懋興業,2006-11,twse,紡織纖維,2321611,2411164,2190267,-3.71,5.99,25430960,23617310,7.67
1438,裕豐,2006-11,twse,紡織纖維,1635,1180,7837,38.55,-79.13,35339,130838,-72.99
1439,中和羊毛,2006-11,twse,紡織纖維,36971,54248,96115,-31.84,-61.53,635007,933396,-31.96
1440,南紡,2006-11,twse,紡織纖維,877014,778141,1007499,12.70,-12.95,10635285,13101194,-18.82
1441,大東紡織,2006-11,twse,紡織纖維,166614,150353,125070,10.81,33.21,1571609,1189440,32.13
1443,立益紡織,2006-11,twse,紡織纖維,74490,91831,67427,-18.88,10.47,984339,732281,34.42
1444,力麗,2006-11,twse,紡織纖維,573246,509696,527787,12.46,8.61,6117802,6770061,-9.63
1445,大宇紡織,2006-11,twse,紡織纖維,200393,155355,175615,28.99,14.10,1925713,2019953,-4.66
1446,宏和,2006-11,twse,紡織纖維,112654,130549,178024,-13.70,-36.71,1290838,1504555,-14.20
1447,力鵬,2006-11,twse,紡織纖維,1629943,1326046,880871,22.91,85.03,15420564,12071508,27.74
1449,佳和實業,2006-11,twse,紡織纖維,310224,338430,318470,-8.33,-2.58,3382746,4015509,-15.75
1451,年興紡織,2006-11,twse,紡織纖維,899101,852461,844512,5.47,6.46,9713467,9299919,4.44
1452,宏益,2006-11,twse,紡織纖維,184080,138999,177901,32.43,3.47,1683049,1839042,-8.48
1453,大將,2006-11,twse,紡織纖維,24978,1522,1964,1541.13,1171.79,54484,65634,-16.98
1454,台富,2006-11,twse,紡織纖維,181636,143698,164634,26.40,10.32,2000750,2120059,-5.62
1455,集盛,2006-11,twse,紡織纖維,1455221,942533,590920,54.39,146.26,10806978,8077489,33.79
1456,怡華,2006-11,twse,紡織纖維,259394,257296,217225,0.81,19.41,2777864,2753785,0.87
1457,宜進,2006-11,twse,紡織纖維,325574,242522,270009,34.24,20.57,3189321,3515376,-9.27
1459,聯發紡織,2006-11,twse,紡織纖維,255856,197456,174383,29.57,46.72,2751919,2484502,10.76
1460,宏遠,2006-11,twse,紡織纖維,445080,450007,374870,-1.09,18.72,4924800,4864129,1.24
1463,強盛染整,2006-11,twse,紡織纖維,70676,78658,93294,-10.14,-24.24,754604,829555,-9.03
1464,得力實業,2006-11,twse,紡織纖維,130741,115655,118643,13.04,10.19,1332485,1544034,-13.70
1465,偉全實業,2006-11,twse,紡織纖維,118740,91532,66274,29.72,79.16,1347811,1290946,4.40
1466,聚隆,2006-11,twse,紡織纖維,319829,238063,204314,34.34,56.53,2897229,3034591,-4.52
1467,南緯實業,2006-11,twse,紡織纖維,215896,227436,274340,-5.07,-21.30,3240282,2755281,17.60
1468,昶和纖維,2006-11,twse,紡織纖維,128952,120491,167726,7.02,-23.11,1330155,1283815,3.60
1469,理隆纖維,2006-11,twse,紡織纖維,26782,51565,26982,-48.06,-0.74,679661,656612,3.51
1470,大統染,2006-11,twse,紡織纖維,54552,45261,72785,20.52,-25.05,595067,679475,-12.42
1472,三洋纖,2006-11,twse,紡織纖維,64229,55202,49944,16.35,28.60,786311,866144,-9.21
1473,台南企業,2006-11,twse,紡織纖維,516483,550479,297055,-6.17,73.86,6959043,3957060,75.86
1474,弘裕,2006-11,twse,紡織纖維,311434,255698,318214,21.79,-2.13,3202283,2942448,8.83
1475,本盟光電,2006-11,twse,紡織纖維,41457,36069,68672,14.93,-39.63,494261,640976,-22.88
1476,儒鴻,2006-11,twse,紡織纖維,579115,516117,550375,12.20,5.22,5118900,5247815,-2.45
1477,聚陽實業,2006-11,twse,紡織纖維,1091941,1142772,795200,-4.44,37.31,11499111,9478004,21.32
4414,如興製衣,2006-11,twse,紡織纖維,130573,108894,304337,19.90,-57.09,2903880,2957998,-1.82
1503,士電,2006-11,twse,電機機械,964690,964511,1122168,0.01,-14.03,13161789,12220054,7.70
1504,東元電機,2006-11,twse,電機機械,2175270,1914536,2102535,13.61,3.45,24963427,24507364,1.86
1506,正道,2006-11,twse,電機機械,65377,55910,70402,16.93,-7.13,718366,775978,-7.42
1507,永大機電,2006-11,twse,電機機械,325161,270513,280665,20.20,15.85,3043626,3200160,-4.89
1512,瑞利,2006-11,twse,電機機械,359039,263549,331097,36.23,8.43,3171151,3396767,-6.64
1513,中興電,2006-11,twse,電機機械,948923,870979,850877,8.94,11.52,8904415,9254750,-3.78
1514,亞力電機,2006-11,twse,電機機械,309885,232218,342919,33.44,-9.63,2673154,2879404,-7.16
1515,力山,2006-11,twse,電機機械,520878,390094,330155,33.52,57.76,4061199,3883183,4.58
1516,川飛工業,2006-11,twse,電機機械,14863,15302,24818,-2.86,-40.11,266746,282400,-5.54
1517,利奇機械,2006-11,twse,電機機械,164112,140838,156086,16.52,5.14,1512981,1519586,-0.43
1519,華城電機,2006-11,twse,電機機械,459275,359167,289768,27.87,58.49,4662643,3621581,28.74
1521,大億,2006-11,twse,電機機械,283146,204056,346162,38.75,-18.20,3012667,3620312,-16.78
1522,堤維西,2006-11,twse,電機機械,698075,692327,533235,0.83,30.91,6995869,5766743,21.31
1523,臺灣開億,2006-11,twse,電機機械,454763,452546,430165,0.48,5.71,4569952,4607024,-0.80
1524,耿鼎公司,2006-11,twse,電機機械,266294,257959,241334,3.23,10.34,2570628,2429969,5.78
1525,江申工業,2006-11,twse,電機機械,118225,77438,116757,52.67,1.25,1215705,1499652,-18.93
1526,日馳,2006-11,twse,電機機械,36065,30805,15488,17.07,132.85,402444,344926,16.67
1527,鑽全,2006-11,twse,電機機械,166940,229598,109094,-27.29,53.02,3284008,3609467,-9.01
1528,恩德,2006-11,twse,電機機械,218114,258544,300724,-15.63,-27.47,2739507,2599612,5.38
1529,樂士,2006-11,twse,電機機械,126209,77800,105035,62.22,20.15,1463121,1629306,-10.19
1530,亞崴機電,2006-11,twse,電機機械,312399,310909,224064,0.47,39.42,2822837,2456973,14.89
1531,高林股,2006-11,twse,電機機械,280094,330462,244400,-15.24,14.60,2954951,3242337,-8.86
1533,車王電,2006-11,twse,電機機械,205424,225330,148176,-8.83,38.63,2221872,1770509,25.49
1535,中宇,2006-11,twse,電機機械,282748,208088,201673,35.87,40.20,2509249,1760280,42.54
1536,和大工業,2006-11,twse,電機機械,200838,181458,175322,10.68,14.55,1885999,1840060,2.49
1537,廣隆光電,2006-11,twse,電機機械,129703,129776,116734,-0.05,11.10,1197879,1090537,9.84
1538,正峰工業,2006-11,twse,電機機械,405525,311273,517870,30.27,-21.69,5044227,5929097,-14.92
1539,巨庭機械,2006-11,twse,電機機械,193975,194361,125586,-0.19,54.45,1744097,1501614,16.14
1540,喬福機械,2006-11,twse,電機機械,144851,121679,119920,19.04,20.78,1381806,1210092,14.19
1541,錩泰,2006-11,twse,電機機械,181803,194960,101592,-6.74,78.95,1320671,1517315,-12.95
