stock_id,name,period,market,產業別,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
4205,恆義公司,2009-01,tpex,食品工業,109683,99045,102943,10.74,6.54,109683,102943,6.54
4207,環泰企業,2009-01,tpex,食品工業,71866,93353,102513,-23.01,-29.89,71866,102513,-29.89
4303,信立,2009-01,tpex,塑膠工業,16407,44894,48521,-63.45,-66.18,16407,48521,-66.18
4304,勝昱,2009-01,tpex,塑膠工業,19496,21905,44683,-10.99,-56.36,19496,44683,-56.36
4305,世坤塑膠,2009-01,tpex,塑膠工業,54596,73326,133562,-25.54,-59.12,54596,133562,-59.12
6508,惠光,2009-01,tpex,塑膠工業,77063,122523,130030,-37.10,-40.73,77063,130030,-40.73
8354,冠郝企業,2009-01,tpex,塑膠工業,46147,76622,133150,-39.77,-65.34,46147,133150,-65.34
9950,萬國通路,2009-01,tpex,塑膠工業,185906,258626,211353,-28.11,-12.04,185906,211353,-12.04
4401,東隆興業,2009-01,tpex,紡織纖維,122223,168379,224647,-27.41,-45.59,122223,224647,-45.59
4402,福大,2009-01,tpex,紡織纖維,21521,61427,61731,-64.96,-65.13,21521,61731,-65.13
4406,新昕纖維,2009-01,tpex,紡織纖維,48125,67100,140995,-28.27,-65.86,48125,140995,-65.86
4408,聯明行動,2009-01,tpex,紡織纖維,175,1201,15415,-85.42,-98.86,175,15415,-98.86
4413,飛寶動能,2009-01,tpex,紡織纖維,2201,3462,13318,-36.42,-83.47,2201,13318,-83.47
4417,金洲海洋,2009-01,tpex,紡織纖維,120923,133579,158746,-9.47,-23.82,120923,158746,-23.82
4419,松懋工業,2009-01,tpex,紡織纖維,16914,36916,43895,-54.18,-61.46,16914,43895,-61.46
4420,光明絲織,2009-01,tpex,紡織纖維,29418,37143,71354,-20.79,-58.77,29418,71354,-58.77
4426,利勤實業,2009-01,tpex,紡織纖維,35133,47716,37497,-26.37,-6.30,35133,37497,-6.30
1558,伸興,2009-01,tpex,電機機械,90622,200364,175315,-54.77,-48.30,90622,175315,-48.30
1570,力肯實業,2009-01,tpex,電機機械,37256,39070,65013,-4.64,-42.69,37256,65013,-42.69
1580,新麥企業,2009-01,tpex,電機機械,77102,70451,58776,9.44,31.17,77102,58776,31.17
2231,為升,2009-01,tpex,電機機械,61115,67455,106708,-9.39,-42.72,61115,106708,-42.72
3162,精確實業,2009-01,tpex,電機機械,52561,50739,71600,3.59,-26.59,52561,71600,-26.59
4502,源恆,2009-01,tpex,電機機械,118280,217733,286578,-45.67,-58.72,118280,286578,-58.72
4503,金雨,2009-01,tpex,電機機械,3006,10376,20369,-71.02,-85.24,3006,20369,-85.24
4506,崇友,2009-01,tpex,電機機械,290527,301540,514846,-3.65,-43.57,290527,514846,-43.57
4510,高鋒工業,2009-01,tpex,電機機械,15270,64403,77578,-76.28,-80.31,15270,77578,-80.31
4513,福裕事業,2009-01,tpex,電機機械,39448,74515,129847,-47.06,-69.61,39448,129847,-69.61
4523,永彰機電,2009-01,tpex,電機機械,33608,68287,63008,-50.78,-46.66,33608,63008,-46.66
4527,�a霖,2009-01,tpex,電機機械,55305,92044,97769,-39.91,-43.43,55305,97769,-43.43
4528,江興鍛壓,2009-01,tpex,電機機械,35741,51790,67586,-30.98,-47.11,35741,67586,-47.11
4529,力武電機,2009-01,tpex,電機機械,29682,42210,106943,-29.68,-72.24,29682,106943,-72.24
4530,宏易精密,2009-01,tpex,電機機械,14368,24260,33971,-40.77,-57.70,14368,33971,-57.70
4533,協易機械,2009-01,tpex,電機機械,47375,146571,270114,-67.67,-82.46,47375,270114,-82.46
4534,慶騰精密,2009-01,tpex,電機機械,14470,20466,31827,-29.29,-54.53,14470,31827,-54.53
4535,至興精機,2009-01,tpex,電機機械,112032,127556,183840,-12.17,-39.06,112032,183840,-39.06
6122,擎邦國際,2009-01,tpex,電機機械,621496,557362,120408,11.50,416.15,621496,120408,416.15
6603,富強鑫,2009-01,tpex,電機機械,51098,69457,170296,-26.43,-69.99,51098,170296,-69.99
6609,瀧澤科,2009-01,tpex,電機機械,76633,99791,233828,-23.20,-67.22,76633,233828,-67.22
8083,瑞穎,2009-01,tpex,電機機械,28220,31747,46674,-11.10,-39.53,28220,46674,-39.53
8255,朋程科技,2009-01,tpex,電機機械,68950,64983,130151,6.10,-47.02,68950,130151,-47.02
8996,高力,2009-01,tpex,電機機械,68021,77808,78019,-12.57,-12.81,68021,78019,-12.81
9951,皇田工業,2009-01,tpex,電機機械,64626,66281,132155,-2.49,-51.09,64626,132155,-51.09
4609,唐鋒實業,2009-01,tpex,電器電纜,85749,68953,97560,24.35,-12.10,85749,97560,-12.10
1742,台蠟,2009-01,tpex,化學工業,19262,47430,105528,-59.38,-81.74,19262,105528,-81.74
1787,福盈科,2009-01,tpex,化學工業,28006,54985,60187,-49.06,-53.46,28006,60187,-53.46
4702,中美實,2009-01,tpex,化學工業,24666,31294,54543,-21.17,-54.77,24666,54543,-54.77
4703,金美克能,2009-01,tpex,化學工業,30091,30947,42104,-2.76,-28.53,30091,42104,-28.53
4706,大恭化學,2009-01,tpex,化學工業,54671,73678,130310,-25.79,-58.04,54671,130310,-58.04
4707,磐亞,2009-01,tpex,化學工業,134605,110225,170609,22.11,-21.10,134605,170609,-21.10
4711,永純化工,2009-01,tpex,化學工業,66370,128175,197840,-48.21,-66.45,66370,197840,-66.45
4712,南璋,2009-01,tpex,化學工業,6475,13328,17441,-51.41,-62.87,6475,17441,-62.87
4714,永捷,2009-01,tpex,化學工業,27970,34371,93750,-18.62,-70.16,27970,93750,-70.16
4716,大立高,2009-01,tpex,化學工業,41138,74151,107235,-44.52,-61.63,41138,107235,-61.63
4720,德淵企業,2009-01,tpex,化學工業,68758,98519,118207,-30.20,-41.83,68758,118207,-41.83
4721,美琪瑪,2009-01,tpex,化學工業,74687,117899,153136,-36.65,-51.22,74687,153136,-51.22
4722,國精化學,2009-01,tpex,化學工業,77870,134443,194842,-42.07,-60.03,77870,194842,-60.03
4733,上緯企業,2009-01,tpex,化學工業,105615,137689,130977,-23.29,-19.36,105615,130977,-19.36
6509,聚和,2009-01,tpex,化學工業,122232,128255,190828,-4.69,-35.94,122232,190828,-35.94
1565,精華光學,2009-01,tpex,生技醫療業,177140,172599,171989,2.63,2.99,177140,171989,2.99
1752,南光,2009-01,tpex,生技醫療業,55857,52314,68879,6.77,-18.90,55857,68879,-18.90
1777,生泰,2009-01,tpex,生技醫療業,28925,25977,24828,11.34,16.50,28925,24828,16.50
1781,合世生醫,2009-01,tpex,生技醫療業,60264,83566,60277,-27.88,-0.02,60264,60277,-0.02
1784,訊聯生物,2009-01,tpex,生技醫療業,36160,43303,44230,-16.49,-18.24,36160,44230,-18.24
1788,杏昌生技,2009-01,tpex,生技醫療業,135311,162846,150789,-16.90,-10.26,135311,150789,-10.26
1795,美時製藥,2009-01,tpex,生技醫療業,43671,48778,54645,-10.46,-20.08,43671,54645,-20.08
1799,紅電醫,2009-01,tpex,生技醫療業,11863,15925,20754,-25.50,-42.83,11863,20754,-42.83
1813,寶利徠,2009-01,tpex,生技醫療業,22572,16988,21490,32.87,5.03,22572,21490,5.03
3118,進階生物,2009-01,tpex,生技醫療業,39545,45298,25440,-12.70,55.44,39545,25440,55.44
3164,景岳生技,2009-01,tpex,生技醫療業,14344,20210,18239,-29.02,-21.35,14344,18239,-21.35
3205,佰研,2009-01,tpex,生技醫療業,2402,2758,1496,-12.90,60.56,2402,1496,60.56
3218,大學光,2009-01,tpex,生技醫療業,46960,47177,40247,-0.45,16.67,46960,40247,16.67
3266,弘如洋,2009-01,tpex,生技醫療業,21151,26037,45637,-18.76,-53.65,21151,45637,-53.65
4102,永日化工,2009-01,tpex,生技醫療業,29814,35510,22406,-16.04,33.06,29814,22406,33.06
4103,百略醫學,2009-01,tpex,生技醫療業,153318,393138,294195,-61.00,-47.88,153318,294195,-47.88
4105,台灣東洋,2009-01,tpex,生技醫療業,180865,191696,199609,-5.65,-9.39,180865,199609,-9.39
4107,邦特生技,2009-01,tpex,生技醫療業,56102,59225,43895,-5.27,27.80,56102,43895,27.80
4109,加捷科技,2009-01,tpex,生技醫療業,23932,69962,55217,-65.79,-56.65,23932,55217,-56.65
4111,濟生藥廠,2009-01,tpex,生技醫療業,56549,52966,51765,6.76,9.24,56549,51765,9.24
4113,聯上,2009-01,tpex,生技醫療業,0,2778,-2,-100.00,100.00,0,-2,100.00
4114,健喬信元,2009-01,tpex,生技醫療業,74216,72744,71418,2.02,3.91,74216,71418,3.91
4120,友華,2009-01,tpex,生技醫療業,300277,237035,371327,26.68,-19.13,300277,371327,-19.13
4121,優盛醫學,2009-01,tpex,生技醫療業,58984,56186,140821,4.97,-58.11,58984,140821,-58.11
4123,晟德,2009-01,tpex,生技醫療業,50857,43180,43421,17.77,17.12,50857,43421,17.12
