key,date,type,value
2024-03-31_EPS,2024-03-31,EPS,2.69
2024-03-31_GrossProfit,2024-03-31,GrossProfit,10100503000.0
2024-03-31_IncomeAfterTaxes,2024-03-31,IncomeAfterTaxes,9454263000.0
2024-03-31_OperatingExpenses,2024-03-31,OperatingExpenses,2303381000.0
2024-03-31_OperatingIncome,2024-03-31,OperatingIncome,7888541000.0
2024-03-31_PreTaxIncome,2024-03-31,PreTaxIncome,11626821000.0
2024-03-31_Revenue,2024-03-31,Revenue,43801429000.0
2024-03-31_TotalNonoperatingIncomeAndExpense,2024-03-31,TotalNonoperatingIncomeAndExpense,3738280000.0
2024-06-30_EPS,2024-06-30,EPS,3.98
2024-06-30_GrossProfit,2024-06-30,GrossProfit,16615099000.0
2024-06-30_IncomeAfterTaxes,2024-06-30,IncomeAfterTaxes,13964590000.0
2024-06-30_OperatingExpenses,2024-06-30,OperatingExpenses,2647723000.0
2024-06-30_OperatingIncome,2024-06-30,OperatingIncome,14132012000.0
2024-06-30_PreTaxIncome,2024-06-30,PreTaxIncome,17175201000.0
2024-06-30_Revenue,2024-06-30,Revenue,52589220000.0
2024-06-30_TotalNonoperatingIncomeAndExpense,2024-06-30,TotalNonoperatingIncomeAndExpense,3043189000.0
2024-09-30_EPS,2024-09-30,EPS,8.12
2024-09-30_GrossProfit,2024-09-30,GrossProfit,34613870000.0
2024-09-30_IncomeAfterTaxes,2024-09-30,IncomeAfterTaxes,28439728000.0
2024-09-30_OperatingExpenses,2024-09-30,OperatingExpenses,2689973000.0
2024-09-30_OperatingIncome,2024-09-30,OperatingIncome,32309110000.0
2024-09-30_PreTaxIncome,2024-09-30,PreTaxIncome,35539339000.0
2024-09-30_Revenue,2024-09-30,Revenue,72838388000.0
2024-09-30_TotalNonoperatingIncomeAndExpense,2024-09-30,TotalNonoperatingIncomeAndExpense,3230229000.0
2024-12-31_EPS,2024-12-31,EPS,3.59
2024-12-31_GrossProfit,2024-12-31,GrossProfit,16298220000.0
