date,open,high,low,close,volume
2025-01-02,76.2,77.8,76.2,76.6,37050041
2025-01-03,77.7,78.5,76.7,77.4,44889744
2025-01-06,77.4,77.5,76.2,76.5,41158063
2025-01-07,76.5,79.0,75.8,79.0,45335375
2025-01-08,78.2,78.4,77.4,77.6,34726249
2025-01-09,77.4,77.5,72.6,72.6,84021645
2025-01-10,71.5,72.6,70.6,72.2,48010504
2025-01-13,71.5,71.9,69.5,69.9,42972993
2025-01-14,70.1,72.0,70.0,72.0,24387794
2025-01-15,72.0,72.3,70.7,70.9,20422722
2025-01-16,70.8,71.2,69.6,69.8,35661234
2025-01-17,69.5,69.7,68.6,68.8,33456383
2025-01-20,68.4,68.4,67.0,67.1,31663507
2025-01-21,67.5,68.7,67.0,67.0,28493160
2025-01-22,67.5,67.8,66.5,67.8,21451068
2025-02-03,66.5,68.3,66.1,66.1,30935366
2025-02-04,66.8,66.9,64.2,64.5,33094723
2025-02-05,65.4,67.7,65.4,67.7,33344992
2025-02-06,67.5,67.5,66.7,67.0,14215108
2025-02-07,67.7,68.0,67.0,67.4,13049873
2025-02-10,67.4,68.0,67.1,67.8,17875295
2025-02-11,68.2,68.9,67.6,67.8,18766233
2025-02-12,68.8,69.6,68.3,68.4,24475759
2025-02-13,68.3,70.2,67.5,70.1,26339535
2025-02-14,70.1,70.5,69.2,70.3,19427962
2025-02-17,70.3,71.5,69.8,71.2,17721568
2025-02-18,71.3,71.6,70.8,71.5,15448882
2025-02-19,71.8,71.8,70.9,71.7,11531795
2025-02-20,71.7,72.8,71.4,71.6,18398326
2025-02-21,71.8,72.1,71.4,71.4,12700279
2025-02-24,70.7,72.7,70.5,72.4,25621274
2025-02-25,73.2,73.5,72.6,73.0,26793131
2025-02-26,74.4,75.0,73.6,74.1,34667646
2025-02-27,74.3,74.7,72.3,72.9,26680135
2025-03-03,71.3,73.0,71.2,72.6,15893637
2025-03-04,72.0,72.8,71.3,72.6,14602892
2025-03-05,73.1,73.4,72.2,73.2,14380639
2025-03-06,73.2,74.4,73.1,73.6,16522477
2025-03-07,73.9,75.5,73.7,74.8,32683490
2025-03-10,75.3,75.3,73.8,74.0,19008417
2025-03-11,72.9,74.1,72.1,73.7,28420607
2025-03-12,73.3,74.6,72.2,72.9,24871597
2025-03-13,75.4,76.0,74.2,74.4,60214327
2025-03-14,74.0,75.8,74.0,74.2,48203402
2025-03-17,74.8,76.2,74.0,75.9,45952076
2025-03-18,76.3,78.0,75.5,77.4,47721409
2025-03-19,77.4,77.8,76.8,77.1,28438090
2025-03-20,77.7,78.1,77.4,78.0,25603052
2025-03-21,78.3,78.4,76.7,76.8,24250355
2025-03-24,77.2,77.8,76.9,77.2,20226312
2025-03-25,77.8,78.1,77.4,77.9,20213536
2025-03-26,78.1,78.2,77.1,77.4,16442647
2025-03-27,77.4,77.9,76.1,76.6,20059139
2025-03-28,76.8,76.8,75.0,75.2,19004717
2025-03-31,74.0,75.0,73.0,74.4,27118024
2025-04-01,74.9,77.4,74.7,77.0,23750628
2025-04-02,77.0,77.4,76.4,77.4,15474960
2025-04-07,69.7,69.7,69.7,69.7,4820865
2025-04-08,63.5,64.3,62.8,62.8,65915496
2025-04-09,59.9,61.9,56.6,56.6,53614594
2025-04-10,62.2,62.2,62.2,62.2,11086170
2025-04-11,62.0,68.4,60.5,68.4,68828974
