date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,4781361000
2024-02-01,2024,1,4467116000
2024-03-01,2024,2,3387453000
2024-04-01,2024,3,3451376000
2024-05-01,2024,4,3457630000
2024-06-01,2024,5,3486264000
2024-07-01,2024,6,4041287000
2024-08-01,2024,7,5434779000
2024-09-01,2024,8,7018386000
2024-10-01,2024,9,6523997000
2024-11-01,2024,10,6546847000
2024-12-01,2024,11,6012336000
2025-01-01,2024,12,5636008000
2025-02-01,2025,1,4947585000
2025-03-01,2025,2,4734719000
2025-04-01,2025,3,4892942000
2025-05-01,2025,4,4374813000
2025-06-01,2025,5,3238222000
2025-07-01,2025,6,4145868000
2025-08-01,2025,7,5413207000
2025-09-01,2025,8,5968004000
2025-10-01,2025,9,6235248000
2025-11-01,2025,10,6260810000
2025-12-01,2025,11,5302915000
2026-01-01,2025,12,5617058000
2026-02-01,2026,1,5498867000
2026-03-01,2026,2,4613227000
2026-04-01,2026,3,5419732000
2026-05-01,2026,4,5362271000
2026-06-01,2026,5,4592691000
2026-07-01,2026,6,3712024000
2026-08-01,2026,7,4877118000
