date,margin_balance,short_balance,margin_limit,offset
2026-01-02,2923,46,28185,0
2026-01-05,2898,50,28185,0
2026-01-06,2879,49,28185,0
2026-01-07,2823,40,28185,0
2026-01-08,2841,37,28185,2
2026-01-09,2786,64,28185,1
2026-01-12,2659,67,28185,0
2026-01-13,2625,65,28185,0
2026-01-14,2622,67,28185,0
2026-01-15,2638,60,28185,0
2026-01-16,2638,52,28185,0
2026-01-19,2580,47,28185,0
2026-01-20,2592,48,28185,0
2026-01-21,2537,50,28185,0
2026-01-22,2525,51,28185,1
2026-01-23,2422,59,28185,1
2026-01-26,2403,39,28185,1
2026-01-27,2398,38,28185,0
2026-01-28,2382,37,28185,0
2026-01-29,2362,35,28185,0
2026-01-30,2330,31,28185,0
2026-02-02,2333,22,28185,0
2026-02-03,2270,25,28185,0
2026-02-04,2268,33,28185,0
2026-02-05,2202,31,28185,1
2026-02-06,2188,27,28185,1
2026-02-09,2271,14,28185,0
2026-02-10,2274,16,28185,0
2026-02-11,2263,12,28185,0
2026-02-23,2215,12,28185,0
2026-02-24,2238,12,28185,0
2026-02-25,2261,13,28185,0
2026-02-26,2226,13,28185,0
2026-03-02,2233,14,28185,0
2026-03-03,2284,14,28185,0
2026-03-04,2319,5,28185,0
2026-03-05,2302,5,28185,0
2026-03-06,2305,6,28185,0
2026-03-09,2324,6,28185,0
2026-03-10,2279,6,28185,0
2026-03-11,2256,8,28185,0
2026-03-12,2294,10,28185,0
2026-03-13,2243,15,28185,1
2026-03-16,2176,18,28185,0
2026-03-17,2145,16,28185,1
2026-03-18,2126,18,28185,0
2026-03-19,2075,17,28185,0
2026-03-20,2090,14,28185,0
2026-03-23,2070,0,28185,0
2026-03-24,2001,0,28185,0
2026-03-25,1893,0,28185,0
2026-03-26,1913,0,28185,0
2026-03-27,1929,0,28185,8
2026-03-30,1930,0,28185,2
2026-03-31,1952,0,28185,1
2026-04-01,1970,8,28185,0
2026-04-02,1971,3,28185,0
2026-04-07,1983,3,28185,0
2026-04-08,1997,5,28185,0
2026-04-09,2027,8,28185,0
2026-04-10,1963,10,28185,0
2026-04-13,2055,26,28185,1
2026-04-14,2246,31,28185,4
2026-04-15,2308,25,28185,0
2026-04-16,2287,27,28185,1
2026-04-17,2343,26,28185,4
2026-04-20,2763,34,28185,2
2026-04-21,2985,33,28185,2
2026-04-22,2628,33,28185,6
2026-04-23,2328,30,28185,0
2026-04-24,2321,28,28185,2
2026-04-27,2369,30,28185,1
2026-04-28,2302,31,28185,0
2026-04-29,2281,31,28185,2
2026-04-30,2080,29,28185,0
2026-05-04,2141,35,28185,0
2026-05-05,2160,32,28185,1
2026-05-06,2076,34,28185,0
2026-05-07,2051,34,28185,0
2026-05-08,2045,34,28185,0
2026-05-11,2051,36,28185,0
2026-05-12,2062,33,28185,1
2026-05-13,2054,34,28185,0
2026-05-14,2242,44,28185,6
2026-05-15,2060,78,28185,12
2026-05-18,2132,46,28185,3
2026-05-19,2178,43,28185,8
2026-05-20,2152,38,28185,0
2026-05-21,2141,42,28185,1
2026-05-22,2109,41,28185,4
2026-05-25,2002,42,28185,5
2026-05-26,1942,41,28185,1
2026-05-27,1830,32,28185,0
2026-05-28,1825,31,28185,0
2026-05-29,2102,37,28185,0
2026-06-01,2057,35,28185,3
2026-06-02,1921,0,28185,0
2026-06-03,1871,0,28185,0
2026-06-04,2146,0,28185,0
2026-06-05,2041,0,28185,0
2026-06-08,2111,8,28185,31
2026-06-09,2319,20,28185,7
2026-06-10,2024,23,28185,19
2026-06-11,1980,59,28185,10
2026-06-12,2285,22,28185,6
2026-06-15,2458,78,28185,0
2026-06-16,2409,77,28185,12
2026-06-17,2546,73,28185,5
2026-06-18,2670,73,28185,0
2026-06-22,2892,78,28185,3
2026-06-23,3058,76,28185,2
2026-06-24,3008,49,28185,0
2026-06-25,2872,59,28185,7
2026-06-26,2780,29,28185,3
2026-06-29,2734,142,28185,0
2026-06-30,2759,38,28185,0
2026-07-01,2752,19,28185,0
2026-07-02,2725,17,28185,1
2026-07-03,2691,17,28185,0
2026-07-06,2897,18,28185,1
2026-07-07,2854,15,28185,2
2026-07-08,2882,14,28185,0
2026-07-09,2928,37,28185,1
2026-07-13,2912,13,28185,0
2026-07-14,2810,14,28185,7
2026-07-15,2920,18,28185,1
2026-07-16,2872,19,28185,5
2026-07-17,2647,21,28185,2
2026-07-20,2597,23,28185,3
2026-07-21,2651,35,28185,0
2026-07-22,2666,37,28185,0
2026-07-23,2688,40,28185,0
2026-07-24,2577,34,28185,0
2026-07-27,2485,37,28185,0
2026-07-28,2414,26,28185,0
2026-07-29,2300,39,28185,1
2026-07-30,2315,28,28185,0
2026-07-31,2268,34,28185,0
2026-08-03,2236,45,28185,1
2026-08-04,2412,47,28185,1
2026-08-05,2449,57,28185,2
2026-08-06,2694,65,28185,1
2026-08-07,2808,64,28185,5
2026-08-10,2682,67,28185,1
2026-08-11,2600,67,28185,0
2026-08-12,2832,96,28185,3
2026-08-13,3581,123,28185,3
2026-08-14,3606,110,28185,2
2026-08-17,4396,138,28185,0
2026-08-18,4469,148,28185,1
2026-08-19,4326,125,28185,8
2026-08-20,4358,115,28185,4
2026-08-21,4345,116,28185,1
2026-08-24,4700,120,28185,3
2026-08-25,4674,128,28185,3
2026-08-26,5452,138,28185,5
2026-08-27,5797,196,28185,1
2026-08-28,4914,320,28185,8
2026-08-31,5079,383,28185,18
2026-09-01,3802,384,28185,11
2026-09-02,3771,436,28185,478
2026-09-03,3543,445,28185,298
2026-09-04,3702,420,28185,518
