date,foreign,trust,dealer,total
2026-02-26,2000,0,0,2000
2026-03-09,-2000,0,0,-2000
2026-03-17,1000,0,0,1000
2026-03-19,-1000,0,0,-1000
2026-03-23,2000,0,0,2000
2026-03-26,-1000,0,0,-1000
2026-03-27,-1000,0,0,-1000
2026-04-10,2000,0,0,2000
2026-04-14,-2000,0,0,-2000
2026-04-15,6000,0,0,6000
2026-04-16,3000,0,0,3000
2026-04-17,-5000,0,0,-5000
2026-04-20,-3000,0,0,-3000
2026-04-21,1000,0,0,1000
2026-04-22,-2000,0,0,-2000
2026-04-23,2000,0,0,2000
2026-04-27,1000,0,0,1000
2026-04-30,1000,0,0,1000
2026-05-04,2000,0,0,2000
2026-05-05,-1000,0,0,-1000
2026-05-06,-2000,0,0,-2000
2026-05-07,2000,0,0,2000
2026-05-08,-3000,0,0,-3000
2026-05-11,1000,0,0,1000
2026-05-12,-2000,0,0,-2000
2026-05-13,5000,0,0,5000
2026-05-14,-3000,0,0,-3000
2026-05-15,6000,0,0,6000
2026-05-18,-1000,0,0,-1000
2026-05-19,3000,0,0,3000
2026-05-20,14000,0,0,14000
2026-05-21,-22000,0,0,-22000
2026-05-22,25000,0,0,25000
2026-05-25,3000,0,0,3000
2026-05-26,32000,0,0,32000
2026-05-27,-50000,0,0,-50000
2026-05-28,3000,0,0,3000
2026-05-29,-15000,0,0,-15000
2026-06-01,12000,0,0,12000
2026-06-02,-7000,0,0,-7000
2026-06-03,5000,0,0,5000
2026-06-04,-2000,0,0,-2000
2026-06-05,-4000,0,0,-4000
2026-06-08,35000,0,0,35000
2026-06-09,-12000,0,0,-12000
2026-06-10,22000,0,0,22000
2026-06-11,-47000,0,0,-47000
2026-06-12,11000,0,0,11000
2026-06-15,-7000,0,0,-7000
2026-06-16,-6000,0,0,-6000
2026-06-17,20000,0,0,20000
2026-06-18,-13000,0,0,-13000
2026-06-22,15000,0,0,15000
2026-06-23,2000,0,0,2000
2026-06-25,-15000,0,0,-15000
2026-06-26,11000,0,0,11000
2026-06-29,-2000,0,0,-2000
2026-06-30,-4000,0,0,-4000
2026-07-01,-4000,0,0,-4000
2026-07-02,-2000,0,0,-2000
2026-07-06,10000,0,0,10000
2026-07-07,4000,0,0,4000
2026-07-08,2000,0,0,2000
2026-07-09,-12000,0,0,-12000
2026-07-13,13000,0,0,13000
2026-07-14,-5000,0,0,-5000
2026-07-15,-3000,0,0,-3000
2026-07-16,-3000,0,0,-3000
2026-07-20,-3000,0,0,-3000
2026-07-21,-3000,0,0,-3000
2026-07-22,3000,0,0,3000
2026-07-23,-11000,0,0,-11000
2026-07-24,10000,0,0,10000
2026-07-27,-2000,0,0,-2000
2026-07-28,-9000,0,0,-9000
2026-07-29,8000,0,0,8000
2026-07-31,3000,0,0,3000
2026-08-03,-8000,0,0,-8000
2026-08-04,11000,0,0,11000
2026-08-05,1000,0,0,1000
2026-08-06,-1000,0,0,-1000
2026-08-07,-3000,0,0,-3000
2026-08-10,4000,0,0,4000
2026-08-11,-1000,0,0,-1000
2026-08-13,-3000,0,0,-3000
2026-08-14,7200,0,0,7200
2026-08-18,1900,0,0,1900
2026-08-19,-7000,0,0,-7000
2026-08-20,3900,0,0,3900
2026-08-21,-3000,0,0,-3000
2026-08-24,-2000,0,0,-2000
2026-08-26,761,0,0,761
2026-08-27,-330,0,0,-330
2026-08-28,-1899,0,0,-1899
2026-08-31,-4000,0,0,-4000
2026-09-01,2806,0,0,2806
2026-09-02,-1247,0,0,-1247
