date,open,high,low,close,volume
2025-06-17,392.5,404.5,392.5,400.0,1020564
2025-06-18,401.0,413.5,397.0,413.5,2489055
2025-06-19,410.0,412.0,398.5,401.0,1299315
2025-06-20,400.0,426.0,399.5,419.0,3904838
2025-06-23,414.0,419.0,407.0,412.0,2009179
2025-06-24,419.0,419.0,413.0,414.0,1048846
2025-06-25,417.0,417.5,411.5,412.5,869533
2025-06-26,414.0,417.5,408.5,408.5,892828
2025-06-27,411.0,417.5,411.0,415.0,894371
2025-06-30,417.0,427.0,416.5,418.0,1138429
2025-07-01,420.0,429.5,418.0,419.0,1284989
2025-07-02,421.0,425.0,418.0,423.0,626781
2025-07-03,426.5,428.0,417.5,417.5,889202
2025-07-04,421.0,421.0,412.0,415.5,668439
2025-07-07,416.0,420.0,412.5,415.0,753529
2025-07-08,414.5,414.5,409.0,410.0,493877
2025-07-09,411.5,422.5,411.5,419.0,604338
2025-07-10,422.0,423.5,418.5,420.5,552113
2025-07-11,416.5,422.5,412.5,420.5,556858
2025-07-14,421.5,421.5,415.0,415.5,564086
2025-07-15,416.0,416.5,408.5,414.0,950203
2025-07-16,399.5,414.0,399.0,410.5,1568359
2025-07-17,413.0,416.0,411.5,416.0,689082
2025-07-18,417.5,424.5,414.5,418.0,1361109
2025-07-21,421.0,423.0,415.0,420.0,682992
2025-07-22,420.0,427.0,411.5,412.5,1071007
2025-07-23,416.5,420.0,416.0,418.5,390610
2025-07-24,421.0,446.0,421.0,440.0,3978959
2025-07-25,439.0,442.0,433.0,438.5,1035771
2025-07-28,436.5,445.0,435.0,439.0,1105523
2025-07-29,439.0,439.5,429.5,437.0,1058957
2025-07-30,440.0,442.5,436.0,438.0,874384
2025-07-31,441.5,443.0,433.5,433.5,628279
2025-08-01,427.5,435.0,423.0,430.0,721862
2025-08-04,425.0,442.0,425.0,439.0,935359
2025-08-05,439.5,445.0,439.5,442.0,727739
2025-08-06,439.5,442.0,431.0,432.0,625402
2025-08-07,440.5,447.5,440.5,441.0,1112634
2025-08-08,450.5,462.0,438.5,438.5,2466724
2025-08-11,442.5,442.5,437.0,438.0,449397
