date,foreign,trust,dealer,total
2026-01-02,-3659693,541727,394388,-2723578
2026-01-05,1523323,611208,-18112,2116419
2026-01-06,1156307,503261,576151,2235719
2026-01-07,333342,1141864,-647949,827257
2026-01-08,895753,-555652,-1075850,-735749
2026-01-09,448373,129950,104038,682361
2026-01-12,3582400,777945,83753,4444098
2026-01-13,1846679,690023,177414,2714116
2026-01-14,3481668,266802,167484,3915954
2026-01-15,4107077,374377,-109816,4371638
2026-01-16,1397704,-347945,-134516,915243
2026-01-19,-908727,878772,-101661,-131616
2026-01-20,793493,-187490,-284688,321315
2026-01-21,-183647,-438010,-175409,-797066
2026-01-22,3909002,-1081048,57313,2885267
2026-01-23,8083118,-4460419,506499,4129198
2026-01-26,353951,209334,-447393,115892
2026-01-27,-2472054,316154,-227032,-2382932
2026-01-28,3478630,103660,-68498,3513792
2026-01-29,1918982,180550,-212319,1887213
2026-01-30,-2101590,-1265852,-695190,-4062632
2026-02-02,586735,1237411,-107973,1716173
2026-02-03,955986,266916,358642,1581544
2026-02-04,1875291,107983,124832,2108106
2026-02-05,-10491740,-1854269,789731,-11556278
2026-02-06,15656623,857836,-116433,16398026
2026-02-09,7174852,921866,-196389,7900329
2026-02-10,4498042,-231000,-469368,3797674
2026-02-11,3876334,352000,-225573,4002761
2026-02-23,-5076511,664599,-237401,-4649313
2026-02-24,6174377,941832,189637,7305846
2026-02-25,3411642,822560,-629510,3604692
2026-02-26,7760521,-4717278,-535012,2508231
2026-03-02,-6128078,489280,288250,-5350548
2026-03-03,8077925,-1446720,370031,7001236
2026-03-04,1048734,-886388,978342,1140688
2026-03-05,-261147,4677110,-484306,3931657
2026-03-06,-1970880,563000,192135,-1215745
2026-03-09,-578708,821007,769273,1011572
2026-03-10,-4025458,3448728,-316786,-893516
2026-03-11,-4572004,-108000,185532,-4494472
2026-03-12,-4332574,-74000,-16662,-4423236
2026-03-13,536361,213113,20168,769642
2026-03-16,-3323401,339024,-59803,-3044180
2026-03-17,81101,59000,222167,362268
2026-03-18,-3735146,307728,764475,-2662943
2026-03-19,-5528842,-218000,-112426,-5859268
2026-03-20,-3002127,-973773,-97789,-4073689
2026-03-23,-914233,-99324,328328,-685229
2026-03-24,1788018,52757,40747,1881522
2026-03-25,2675055,959670,65935,3700660
2026-03-26,2291908,-314356,194010,2171562
2026-03-27,-3893473,65995,226313,-3601165
2026-03-30,-300743,225964,445084,370305
2026-03-31,-5951261,-615000,665887,-5900374
2026-04-01,6386269,218740,760489,7365498
2026-04-02,-476300,3193360,-54824,2662236
2026-04-07,-4190263,-440595,173192,-4457666
2026-04-08,8881440,-329257,634225,9186408
2026-04-09,2799402,-234745,-231745,2332912
2026-04-10,-1806129,-588575,522823,-1871881
2026-04-13,-572069,-201235,-68280,-841584
2026-04-14,-2525747,288642,-161543,-2398648
2026-04-15,1348937,298353,172743,1820033
2026-04-16,-954078,74367,141817,-737894
2026-04-17,-1307091,-280479,-142098,-1729668
2026-04-20,365591,401249,-103452,663388
2026-04-21,2058380,277495,-165717,2170158
2026-04-22,-1128918,-371910,-92468,-1593296
2026-04-23,-1938257,424094,-97817,-1611980
2026-04-24,38850,1146529,28332,1213711
2026-04-27,-4998297,674312,-394523,-4718508
2026-04-28,1400594,1112721,-189186,2324129
2026-04-29,-5135792,681037,-102019,-4556774
2026-04-30,-5394033,2861636,-70074,-2602471
2026-05-04,6172925,923654,436177,7532756
2026-05-05,-5798312,183395,-206260,-5821177
2026-05-06,-936052,1171840,-351967,-116179
2026-05-07,-1212372,3729238,220479,2737345
2026-05-08,-7779914,584030,-84163,-7280047
2026-05-11,1419718,656579,256268,2332565
2026-05-12,-2401410,5151224,45808,2795622
2026-05-13,-3899731,2660720,-343753,-1582764
2026-05-14,-880706,-355000,-314117,-1549823
2026-05-15,657293,418901,449422,1525616
2026-05-18,-5948511,262000,-144275,-5830786
2026-05-19,-3975363,17697,207600,-3750066
2026-05-20,-846510,688000,-114957,-273467
2026-05-21,2527826,-23000,-134131,2370695
2026-05-22,2979702,1248683,-253883,3974502
2026-05-25,-3417636,1131000,340067,-1946569
2026-05-26,-1468340,-42806,-434918,-1946064
2026-05-27,833804,-673952,46030,205882
2026-05-28,-2361460,401204,-79007,-2039263
2026-05-29,-10101577,-3776094,39627,-13838044
2026-06-01,2284150,-4656953,102992,-2269811
2026-06-02,1316315,-4724678,-20882,-3429245
2026-06-03,7524603,-3719275,255417,4060745
2026-06-04,1533785,-4837564,233905,-3069874
2026-06-05,-850510,-707065,178641,-1378934
2026-06-08,-4082766,162000,219181,-3701585
2026-06-09,-5557084,-28725,-76450,-5662259
2026-06-10,-5242835,2117,-39019,-5279737
2026-06-11,-2010810,283204,688896,-1038710
2026-06-12,1664379,-51685,308093,1920787
2026-06-15,2075232,-4059596,165401,-1818963
2026-06-16,4018696,-3592370,-113996,312330
2026-06-17,-846515,-2247330,-148221,-3242066
2026-06-18,13363825,-8525378,1058465,5896912
2026-06-22,15662506,-6790000,440122,9312628
2026-06-23,10811189,-5642619,-338561,4830009
2026-06-24,2322476,-8220000,-70664,-5968188
2026-06-25,235471,-5775444,-545711,-6085684
2026-06-26,6482590,-953450,13394,5542534
