stock_id,name,date,market_then,market_now,prev_close,close,pct,why
1268,漢來美食,2026-09-07,tpex,tpex,182.00,171.00,-6.04%,未歸因
1597,直得,2018-07-30,tpex,twse,165.50,136.00,-17.82%,未歸因
1597,直得,2019-08-26,tpex,twse,93.50,82.00,-12.30%,未歸因
1597,直得,2020-08-24,tpex,twse,73.00,71.80,-1.64%,未歸因
1752,南光,2018-08-23,tpex,twse,35.00,33.60,-4.00%,未歸因
1752,南光,2019-07-18,tpex,twse,30.70,29.85,-2.77%,未歸因
1752,南光,2020-07-07,tpex,twse,54.10,47.50,-12.20%,未歸因
1752,南光,2021-08-24,tpex,twse,37.90,36.50,-3.69%,未歸因
1813,寶利徠,2023-08-04,tpex,tpex,19.60,19.10,-2.55%,事件掛在休市日
1815,富喬,2026-09-09,tpex,tpex,135.00,126.00,-6.67%,未歸因
2233,宇隆,2018-09-28,tpex,twse,105.50,84.10,-20.28%,未歸因
2233,宇隆,2019-08-22,tpex,twse,71.10,67.80,-4.64%,未歸因
2365,昆盈,2024-07-26,twse,twse,64.30,64.00,-0.47%,事件掛在休市日
2743,山富,2026-09-08,tpex,tpex,59.30,54.40,-8.26%,未歸因
3010,華立,2024-07-26,twse,twse,146.50,141.50,-3.41%,事件掛在休市日
3092,鴻碩,2018-07-24,tpex,twse,47.80,43.75,-8.47%,未歸因
3092,鴻碩,2019-07-24,tpex,twse,57.20,49.50,-13.46%,未歸因
3092,鴻碩,2020-08-31,tpex,twse,42.55,37.30,-12.34%,未歸因
3563,牧德,2018-06-27,tpex,twse,434.00,425.00,-2.07%,未歸因
3652,精聯,2018-07-12,tpex,twse,20.90,20.20,-3.35%,未歸因
3652,精聯,2019-07-19,tpex,twse,16.75,16.30,-2.69%,未歸因
3652,精聯,2020-07-17,tpex,twse,22.00,24.00,+9.09%,未歸因
3652,精聯,2021-09-13,tpex,twse,26.85,26.20,-2.42%,未歸因
3652,精聯,2021-10-29,tpex,twse,27.20,25.60,-5.88%,未歸因
3652,精聯,2022-06-30,tpex,twse,21.20,20.30,-4.25%,未歸因
4160,訊聯基因,2026-09-09,tpex,tpex,39.80,39.15,-1.63%,未歸因
4549,桓達,2026-09-08,tpex,tpex,103.50,100.50,-2.90%,未歸因
4581,光隆精密-KY,2024-07-26,twse,twse,63.00,59.40,-5.71%,事件掛在休市日
4736,泰博,2018-08-09,tpex,twse,168.50,168.00,-0.30%,未歸因
4736,泰博,2019-07-11,tpex,twse,151.00,141.50,-6.29%,未歸因
4736,泰博,2020-08-10,tpex,twse,243.50,233.50,-4.11%,未歸因
4736,泰博,2021-09-16,tpex,twse,205.50,195.50,-4.87%,未歸因
4736,泰博,2022-08-04,tpex,twse,196.50,183.50,-6.62%,未歸因
4736,泰博,2023-09-04,tpex,twse,172.50,154.50,-10.43%,未歸因
5236,凌陽創新,2022-06-30,tpex,twse,103.00,89.50,-13.11%,未歸因
5236,凌陽創新,2023-07-04,tpex,twse,107.50,100.50,-6.51%,未歸因
5236,凌陽創新,2024-06-28,tpex,twse,160.50,153.00,-4.67%,未歸因
5236,凌陽創新,2025-07-03,tpex,twse,137.00,126.50,-7.66%,未歸因
5236,凌陽創新,2026-06-03,tpex,twse,181.00,169.00,-6.63%,未歸因
5306,桂盟,2018-07-17,tpex,twse,138.00,130.00,-5.80%,未歸因
5306,桂盟,2019-07-23,tpex,twse,105.50,102.50,-2.84%,未歸因
5306,桂盟,2020-07-23,tpex,twse,165.50,161.50,-2.42%,未歸因
5306,桂盟,2021-07-29,tpex,twse,239.00,238.50,-0.21%,未歸因
5306,桂盟,2021-12-09,tpex,twse,201.00,199.50,-0.75%,未歸因
6163,華電網,2026-09-09,tpex,tpex,40.65,40.35,-0.74%,未歸因
6201,亞弘電,2023-08-04,twse,twse,49.05,46.05,-6.12%,事件掛在休市日
6426,統新,2018-09-05,tpex,twse,51.90,50.10,-3.47%,未歸因
6426,統新,2019-09-06,tpex,twse,132.00,119.50,-9.47%,未歸因
6426,統新,2019-11-22,tpex,twse,147.50,142.50,-3.39%,未歸因
6426,統新,2020-09-07,tpex,twse,126.00,123.00,-2.38%,未歸因
