stock_id,date,factor,cum_factor,kind,event
00400A,2026-07-09,0.99160252,0.97505918,息,exright
00400A,2026-08-05,0.99115696,0.98331657,息,exright
00400A,2026-09-07,0.99208965,0.99208965,息,exright
00401A,2026-08-14,0.99058653,0.99058653,息,exright
00406A,2026-07-31,0.98387097,0.97004146,息,exright
00406A,2026-09-02,0.98594378,0.98594378,息,exright
0050,2015-10-26,0.96965099,0.17539226,息,exright
0050,2016-07-28,0.98780488,0.18088185,息,exright
0050,2017-02-08,0.97680764,0.18311496,息,exright
0050,2017-07-31,0.99147381,0.18746266,息,exright
0050,2018-01-29,0.97485714,0.18907475,息,exright
0050,2018-07-23,0.99173066,0.19395123,息,exright
0050,2019-01-22,0.96993464,0.19556846,息,exright
0050,2019-07-19,0.99153567,0.20163055,息,exright
0050,2020-01-31,0.96852957,0.20335179,息,exright
0050,2020-07-21,0.99278722,0.20995930,息,exright
0050,2021-01-22,0.97867133,0.21148469,息,exright
0050,2021-07-21,0.99744898,0.21609368,息,exright
0050,2022-01-21,0.97853789,0.21664635,息,exright
0050,2022-07-18,0.98441558,0.22139802,息,exright
0050,2023-01-30,0.97798476,0.22490300,息,exright
0050,2023-07-18,0.98560606,0.22996575,息,exright
0050,2024-01-17,0.97721231,0.23332421,息,exright
0050,2024-07-16,0.99491612,0.23876511,息,exright
0050,2025-01-17,0.98636708,0.23998517,息,exright
0050,2025-06-18,0.24998675,0.24330209,分割,etfsplit
0050,2025-07-21,0.99300292,0.97325994,息,exright
0050,2026-01-22,0.98608212,0.98011791,息,exright
0050,2026-07-21,0.99395161,0.99395161,息,exright
0051,2015-11-24,0.96686160,0.69941106,息,exright
0051,2016-11-23,0.97307692,0.72338281,息,exright
0051,2017-11-23,0.97376543,0.74339735,息,exright
0051,2018-11-22,0.96627319,0.76342549,息,exright
0051,2019-11-22,0.96606335,0.79007210,息,exright
0051,2020-11-20,0.97344278,0.81782639,息,exright
0051,2021-11-19,0.97177419,0.84013813,息,exright
0051,2022-11-16,0.95584177,0.86454048,息,exright
0051,2023-11-16,0.96483826,0.90448075,息,exright
0051,2024-11-18,0.96936488,0.93744288,息,exright
0051,2025-11-21,0.96706915,0.96706915,息,exright
0052,2016-05-04,0.93546681,0.09568740,息,exright
0052,2017-05-03,0.96949373,0.10228840,息,exright
0052,2018-05-03,0.96785047,0.10550702,息,exright
0052,2019-05-02,0.98138298,0.10901170,息,exright
0052,2020-04-22,0.97030769,0.11107967,息,exright
0052,2021-04-20,0.99189084,0.11447881,息,exright
0052,2022-04-20,0.91540058,0.11541473,息,exright
0052,2023-04-21,0.96231748,0.12608111,息,exright
0052,2024-04-18,0.96000000,0.13101821,息,exright
0052,2025-04-23,0.97888889,0.13647730,息,exright
0052,2025-11-26,0.14284550,0.13942063,分割,etfsplit
0052,2026-04-20,0.97602398,0.97602398,息,exright
0053,2015-11-24,0.96698459,0.72704875,息,exright
0053,2016-11-23,0.96725606,0.75187211,息,exright
0053,2017-11-23,0.97012987,0.77732479,息,exright
0053,2018-11-22,0.96505718,0.80125849,息,exright
0053,2019-11-22,0.96368039,0.83027048,息,exright
0053,2020-11-20,0.97594820,0.86156208,息,exright
0053,2021-11-19,0.97569693,0.88279489,息,exright
0053,2022-11-16,0.96978799,0.90478392,息,exright
0053,2023-11-16,0.97281831,0.93297085,息,exright
0053,2024-11-18,0.98058252,0.95903915,息,exright
0053,2025-11-21,0.97803003,0.97803003,息,exright
0054,2015-11-24,0.96772706,0.80672275,息,exright
0054,2016-11-23,0.96772706,0.83362631,息,exright
0054,2017-11-23,0.97000000,0.86142710,息,exright
0054,2018-11-22,0.96346810,0.88806917,息,exright
0054,2019-11-22,0.96948739,0.92174217,息,exright
0054,2020-11-20,0.97201493,0.95075210,息,exright
0054,2021-11-19,0.97812500,0.97812500,息,exright
0055,2015-11-24,0.96842105,0.68285618,息,exright
0055,2016-11-23,0.96875000,0.70512323,息,exright
0055,2017-11-23,0.97016706,0.72786914,息,exright
0055,2018-11-22,0.96376812,0.75025134,息,exright
