date,n1
2015-02-02,349
2015-02-03,347
2015-02-04,346
2015-02-05,347
2015-02-06,334
2015-02-09,336
2015-02-10,333
2015-02-11,332
2015-02-12,327
2015-02-13,322
2015-02-24,313
2015-02-25,319
2015-02-26,320
2015-03-02,318
2015-03-03,318
2015-03-04,317
2015-03-05,326
2015-03-06,334
2015-03-09,336
2015-03-10,335
2015-03-11,344
2015-03-12,350
2015-03-13,356
2015-03-16,356
2015-03-17,364
2015-03-18,369
2015-03-19,372
2015-03-20,376
2015-03-23,383
2015-03-24,394
2015-03-25,401
2015-03-26,409
2015-03-27,410
2015-03-30,412
2015-03-31,414
2015-04-01,415
2015-04-02,411
2015-04-07,411
2015-04-08,411
2015-04-09,412
2015-04-10,416
2015-04-13,420
2015-04-14,415
2015-04-15,412
2015-04-16,415
2015-04-17,417
2015-04-20,416
2015-04-21,413
2015-04-22,405
2015-04-23,401
2015-04-24,404
2015-04-27,405
2015-04-28,406
2015-04-29,403
2015-04-30,414
2015-05-04,416
2015-05-05,420
2015-05-06,417
2015-05-07,420
2015-05-08,423
2015-05-11,415
2015-05-12,412
2015-05-13,414
2015-05-14,414
2015-05-15,410
2015-05-18,405
2015-05-19,401
2015-05-20,400
2015-05-21,396
2015-05-22,399
2015-05-25,392
2015-05-26,388
2015-05-27,382
2015-05-28,379
2015-05-29,377
2015-06-01,373
2015-06-02,373
2015-06-03,375
2015-06-04,377
2015-06-05,378
2015-06-08,372
2015-06-09,371
2015-06-10,375
2015-06-11,379
2015-06-12,377
2015-06-15,379
2015-06-16,372
2015-06-17,373
2015-06-18,370
2015-06-22,367
2015-06-23,368
2015-06-24,371
2015-06-25,371
2015-06-26,366
2015-06-29,358
2015-06-30,355
2015-07-01,353
2015-07-02,350
2015-07-03,347
2015-07-06,342
2015-07-07,338
2015-07-08,334
2015-07-09,337
2015-07-13,339
2015-07-14,340
2015-07-15,342
2015-07-16,343
2015-07-17,346
2015-07-20,345
2015-07-21,348
2015-07-22,346
2015-07-23,343
2015-07-24,346
2015-07-27,337
2015-07-28,341
2015-07-29,341
2015-07-30,340
2015-07-31,337
2015-08-03,331
2015-08-04,328
2015-08-05,326
2015-08-06,321
2015-08-07,314
2015-08-10,308
2015-08-11,304
2015-08-12,302
2015-08-13,302
2015-08-14,300
2015-08-17,296
2015-08-18,296
2015-08-19,293
2015-08-20,296
2015-08-21,295
2015-08-24,299
2015-08-25,301
2015-08-26,302
2015-08-27,303
2015-08-28,301
2015-08-31,304
2015-09-01,302
2015-09-02,299
2015-09-03,299
2015-09-04,303
2015-09-07,309
2015-09-08,306
2015-09-09,304
2015-09-10,309
2015-09-11,310
2015-09-14,314
2015-09-15,322
2015-09-16,321
2015-09-17,323
2015-09-18,325
2015-09-21,329
2015-09-22,326
2015-09-23,325
2015-09-24,328
2015-09-25,331
2015-09-30,328
2015-10-01,331
2015-10-02,333
2015-10-05,334
2015-10-06,336
2015-10-07,340
2015-10-08,344
2015-10-12,346
2015-10-13,343
2015-10-14,346
2015-10-15,348
2015-10-16,351
2015-10-19,352
2015-10-20,351
2015-10-21,355
2015-10-22,354
2015-10-23,359
2015-10-26,360
2015-10-27,359
2015-10-28,360
2015-10-29,364
2015-10-30,369
2015-11-02,372
2015-11-03,378
2015-11-04,378
2015-11-05,380
2015-11-06,378
2015-11-09,380
2015-11-10,380
2015-11-11,382
2015-11-12,386
2015-11-13,388
2015-11-16,385
2015-11-17,381
2015-11-18,377
2015-11-19,378
2015-11-20,378
2015-11-23,374
2015-11-24,377
2015-11-25,376
2015-11-26,375
2015-11-27,375
2015-11-30,374
2015-12-01,370
2015-12-02,373
2015-12-03,374
2015-12-04,371
2015-12-07,375
2015-12-08,377
2015-12-09,378
2015-12-10,378
2015-12-11,379
2015-12-14,379
2015-12-15,377
2015-12-16,372
2015-12-17,367
2015-12-18,369
2015-12-21,367
2015-12-22,371
2015-12-23,368
2015-12-24,364
2015-12-25,361
2015-12-28,355
2015-12-29,350
2015-12-30,343
2015-12-31,339
2016-01-04,334
2016-01-05,329
2016-01-06,323
2016-01-07,319
2016-01-08,319
2016-01-11,322
2016-01-12,313
2016-01-13,309
2016-01-14,311
2016-01-15,309
2016-01-18,308
2016-01-19,304
2016-01-20,301
2016-01-21,300
2016-01-22,301
2016-01-25,294
2016-01-26,294
2016-01-27,289
2016-01-28,290
2016-01-29,290
2016-01-30,291
2016-02-01,290
2016-02-02,293
2016-02-03,286
2016-02-15,284
2016-02-16,283
2016-02-17,288
2016-02-18,283
2016-02-19,287
2016-02-22,291
2016-02-23,297
2016-02-24,302
2016-02-25,308
2016-02-26,313
2016-03-01,316
2016-03-02,325
2016-03-03,334
2016-03-04,343
2016-03-07,346
2016-03-08,350
2016-03-09,358
2016-03-10,358
2016-03-11,362
2016-03-14,371
2016-03-15,372
2016-03-16,384
2016-03-17,389
2016-03-18,394
2016-03-21,395
2016-03-22,396
2016-03-23,400
2016-03-24,398
2016-03-25,397
2016-03-28,398
2016-03-29,399
2016-03-30,398
2016-03-31,394
2016-04-01,389
2016-04-06,387
2016-04-07,382
2016-04-08,379
2016-04-11,374
2016-04-12,373
2016-04-13,371
2016-04-14,363
2016-04-15,360
2016-04-18,361
2016-04-19,356
2016-04-20,355
2016-04-21,357
2016-04-22,356
2016-04-25,354
2016-04-26,349
2016-04-27,352
2016-04-28,349
2016-04-29,342
2016-05-03,341
2016-05-04,338
2016-05-05,336
2016-05-06,331
2016-05-09,330
2016-05-10,323
2016-05-11,321
2016-05-12,319
2016-05-13,316
2016-05-16,314
2016-05-17,311
2016-05-18,305
2016-05-19,302
2016-05-20,302
2016-05-23,299
2016-05-24,292
2016-05-25,293
2016-05-26,299
2016-05-27,301
2016-05-30,295
2016-05-31,298
2016-06-01,298
2016-06-02,299
2016-06-03,304
2016-06-04,305
2016-06-06,301
2016-06-07,297
2016-06-08,300
2016-06-13,299
2016-06-14,303
2016-06-15,308
2016-06-16,307
2016-06-17,303
2016-06-20,302
2016-06-21,301
2016-06-22,300
2016-06-23,307
2016-06-24,308
2016-06-27,315
2016-06-28,311
2016-06-29,311
2016-06-30,310
2016-07-01,306
2016-07-04,308
2016-07-05,307
2016-07-06,310
2016-07-07,309
2016-07-11,311
2016-07-12,318
2016-07-13,321
2016-07-14,328
2016-07-15,332
2016-07-18,334
2016-07-19,339
2016-07-20,341
2016-07-21,348
2016-07-22,353
2016-07-25,357
2016-07-26,361
2016-07-27,362
2016-07-28,363
2016-07-29,365
2016-08-01,363
2016-08-02,368
2016-08-03,372
2016-08-04,368
2016-08-05,367
2016-08-08,371
2016-08-09,377
2016-08-10,376
2016-08-11,380
2016-08-12,381
2016-08-15,379
2016-08-16,374
2016-08-17,371
2016-08-18,374
2016-08-19,367
2016-08-22,365
2016-08-23,363
2016-08-24,362
2016-08-25,357
2016-08-26,358
2016-08-29,363
2016-08-30,359
2016-08-31,365
2016-09-01,365
2016-09-02,366
2016-09-05,363
2016-09-06,355
2016-09-07,354
2016-09-08,357
2016-09-09,356
2016-09-10,354
2016-09-12,344
2016-09-13,336
2016-09-14,334
2016-09-19,330
2016-09-20,335
2016-09-21,334
2016-09-22,330
2016-09-23,328
2016-09-26,324
2016-09-29,319
2016-09-30,319
2016-10-03,318
2016-10-04,315
2016-10-05,315
2016-10-06,315
2016-10-07,318
2016-10-11,320
2016-10-12,316
2016-10-13,311
2016-10-14,312
2016-10-17,315
2016-10-18,314
2016-10-19,311
2016-10-20,311
2016-10-21,315
2016-10-24,316
2016-10-25,313
2016-10-26,310
2016-10-27,307
2016-10-28,308
2016-10-31,305
2016-11-01,302
2016-11-02,298
2016-11-03,294
2016-11-04,289
2016-11-07,285
2016-11-08,283
2016-11-09,280
2016-11-10,284
2016-11-11,285
2016-11-14,283
2016-11-15,284
2016-11-16,283
2016-11-17,281
2016-11-18,279
2016-11-21,284
2016-11-22,291
2016-11-23,291
