stock_id,market,n_notrade_days,first,last
4413,tpex,410,2015-01-05,2016-12-30
911622,twse,390,2015-01-05,2026-09-10
2348,twse,350,2015-01-05,2016-12-27
8934,tpex,339,2015-01-05,2016-06-16
8921,tpex,331,2015-01-05,2026-09-10
6199,tpex,328,2015-01-06,2016-12-30
6240,tpex,320,2015-01-05,2016-07-06
6242,tpex,319,2015-05-26,2016-12-13
8923,tpex,292,2015-01-07,2016-12-30
2718,tpex,278,2015-01-07,2016-12-30
8917,tpex,270,2015-01-05,2016-12-30
6144,tpex,247,2015-01-05,2016-12-28
910708,twse,246,2015-05-15,2016-12-30
5601,tpex,240,2015-01-07,2026-09-10
5205,tpex,235,2015-02-04,2026-09-10
3465,tpex,208,2015-01-08,2016-12-28
3562,tpex,192,2015-01-07,2016-12-30
2429,twse,187,2015-01-05,2016-12-28
911613,tpex,186,2015-01-05,2016-06-02
4419,tpex,182,2015-01-06,2026-09-10
5364,tpex,174,2015-01-19,2016-12-29
5348,tpex,173,2015-02-03,2016-12-30
8423,tpex,161,2015-01-20,2016-12-26
6103,tpex,156,2015-01-13,2016-12-30
4907,tpex,151,2015-01-05,2016-12-30
1456,twse,149,2015-01-05,2016-12-28
5395,tpex,144,2015-01-05,2016-07-05
1312A,twse,140,2015-01-06,2026-09-10
6291,tpex,139,2015-01-12,2016-12-28
8087,tpex,138,2015-03-24,2026-09-08
1469,twse,136,2015-01-28,2016-12-30
2424,twse,134,2015-01-06,2016-12-26
3332,tpex,133,2015-01-13,2016-12-29
4416,tpex,133,2015-01-09,2016-12-28
5455,tpex,133,2015-01-05,2016-12-26
4530,tpex,126,2015-01-07,2016-11-09
911608,twse,126,2015-01-06,2016-12-16
9931,twse,117,2015-01-09,2016-12-29
2496,twse,112,2015-01-06,2016-12-30
911626,twse,112,2015-03-24,2016-05-09
0058,twse,111,2015-01-15,2016-12-30
6212,tpex,110,2015-01-05,2026-09-10
006208,twse,108,2015-01-15,2016-12-29
8077,tpex,107,2015-01-29,2026-09-10
1470,twse,103,2015-01-08,2016-12-29
0081,twse,102,2015-01-05,2015-11-09
8908,tpex,102,2015-01-14,2016-12-22
2833A,twse,100,2015-01-06,2015-09-23
006204,twse,99,2015-02-09,2016-12-30
6236,tpex,99,2015-01-05,2026-09-10
4131,tpex,95,2015-03-26,2016-12-28
006203,twse,94,2015-01-07,2016-12-30
6198,tpex,94,2015-01-15,2026-09-09
9106,twse,94,2015-01-16,2016-12-28
5432,tpex,91,2015-01-14,2016-11-16
3067,tpex,84,2015-04-23,2026-09-10
6248,tpex,80,2015-01-08,2016-12-26
0059,twse,77,2015-01-21,2016-12-28
5011,tpex,76,2015-01-08,2016-04-07
4304,tpex,75,2015-05-25,2016-12-22
3093,tpex,74,2015-01-05,2016-12-30
9918,twse,72,2015-02-02,2016-12-29
8067,tpex,71,2015-01-12,2016-12-30
5516,tpex,69,2015-04-22,2016-12-26
2910,twse,67,2015-01-27,2016-11-07
4305,tpex,67,2015-02-06,2016-12-28
8082,tpex,67,2015-01-15,2016-08-09
3288,tpex,66,2015-05-22,2016-12-30
5878,tpex,66,2015-06-11,2016-12-22
912398,twse,65,2015-01-21,2016-12-23
2722,twse,64,2015-02-02,2016-12-19
1418,twse,60,2015-08-10,2016-12-22
3609,tpex,60,2015-03-12,2016-12-22
8906,tpex,59,2015-03-03,2016-12-26
2067,tpex,58,2015-06-23,2016-11-17
2540,twse,58,2015-03-02,2016-12-30
5604,tpex,58,2015-05-22,2016-12-19
3434,tpex,57,2015-08-04,2016-12-22
2712,twse,56,2015-08-07,2016-12-21
3466,tpex,56,2015-05-04,2016-12-27
5703,tpex,56,2015-02-12,2026-09-08
3115,tpex,54,2015-01-06,2026-09-10
3629,tpex,52,2015-01-05,2016-12-29
6225,twse,52,2015-04-07,2016-12-30
8053,tpex,52,2015-01-16,2016-04-12
8291,tpex,52,2015-01-19,2016-12-12
2063,tpex,51,2015-02-03,2016-12-19
5468,tpex,49,2015-05-04,2016-12-28
4406,tpex,48,2015-01-05,2016-12-29
4950,tpex,47,2015-07-06,2016-11-04
5523,tpex,47,2015-08-03,2026-09-08
4420,tpex,46,2015-01-06,2015-08-06
5209,tpex,46,2015-02-04,2016-12-30
2528,twse,45,2015-03-05,2016-12-26
5386,tpex,45,2015-01-06,2016-09-06
6140,tpex,45,2015-02-09,2016-12-27
6287,tpex,44,2015-04-10,2016-12-26
0057,twse,43,2015-03-04,2016-12-30
3219,tpex,43,2015-05-14,2016-12-20
8097,tpex,43,2015-03-11,2016-02-24
911619,twse,43,2015-01-05,2016-12-30
8932,tpex,40,2015-01-20,2016-12-27
911868,twse,40,2015-01-16,2016-12-23
9926,twse,39,2015-01-27,2016-12-15
5266,tpex,38,2015-01-14,2016-03-21
8068,tpex,38,2015-01-08,2016-06-28
1591,tpex,36,2015-04-23,2016-11-03
6171,tpex,36,2015-01-16,2016-12-30
3701,twse,35,2015-04-14,2016-06-29
5384,tpex,35,2015-08-06,2016-12-28
913889,twse,35,2015-05-04,2015-11-02
0052,twse,33,2015-05-04,2016-12-29
1438,twse,33,2015-05-14,2016-12-30
8047,tpex,33,2015-06-02,2016-12-19
9929,twse,33,2015-05-26,2016-12-22
4415,tpex,32,2015-04-09,2016-10-12
5704,tpex,32,2015-05-11,2016-12-30
910322,twse,32,2015-01-06,2026-09-08
912000,twse,32,2015-01-06,2016-12-28
9928,twse,32,2015-08-07,2016-12-19
01007T,twse,31,2015-07-28,2016-12-29
1410,twse,30,2015-11-24,2016-12-02
3252,tpex,30,2015-01-05,2016-10-07
6172,twse,30,2015-03-17,2016-12-14
910861,twse,30,2015-02-05,2016-12-20
9950,tpex,30,2015-09-15,2016-11-07
8032,tpex,29,2015-01-26,2016-12-27
8266,tpex,29,2015-02-06,2016-11-02
1516,twse,28,2015-01-07,2016-11-04
5016,tpex,28,2015-07-06,2026-09-10
5276,tpex,28,2015-08-04,2026-09-09
5321,tpex,28,2015-02-12,2016-12-30
5906,twse,28,2016-02-18,2026-09-08
6222,tpex,28,2015-01-05,2016-06-27
910069,twse,28,2015-01-05,2015-04-29
01001T,twse,27,2015-08-21,2016-12-28
4502,tpex,27,2015-01-07,2016-03-01
5301,tpex,27,2015-01-05,2015-08-10
0080,twse,26,2015-01-29,2015-11-03
01004T,twse,26,2015-06-15,2016-12-16
2064,tpex,25,2015-10-02,2026-09-09
5212,tpex,25,2015-07-09,2016-11-29
2440,twse,24,2015-02-03,2016-11-01
2891A,twse,24,2015-10-21,2016-01-15
2002A,twse,23,2015-01-05,2016-12-28
1475,twse,22,2015-01-06,2016-12-23
1529,twse,22,2015-03-12,2016-12-23
2916,tpex,21,2015-01-26,2016-12-29
5902,tpex,21,2015-03-25,2016-12-23
8941,tpex,21,2015-01-26,2016-12-16
0054,twse,20,2015-06-12,2016-12-26
1443,twse,20,2015-03-09,2016-12-16
4402,tpex,20,2015-02-06,2016-12-29
5206,tpex,20,2015-05-20,2016-11-04
5450,tpex,20,2015-09-14,2016-12-07
1615,twse,19,2015-08-21,2016-12-09
910482,twse,19,2016-04-01,2016-12-21
0060,twse,18,2015-01-14,2016-01-22
3188,tpex,18,2015-01-27,2016-06-03
3521,tpex,17,2015-04-21,2016-09-02
4303,tpex,17,2015-10-16,2016-11-11
2035,tpex,16,2016-02-25,2026-09-09
3444,tpex,16,2015-07-14,2016-08-11
9110,twse,16,2015-09-07,2026-09-10
2734,tpex,15,2015-11-23,2016-11-01
5255,tpex,15,2015-08-17,2016-07-29
5304,tpex,15,2015-07-08,2016-11-03
5344,tpex,15,2015-07-23,2016-08-30
1617,twse,14,2015-10-26,2016-09-05
2726,tpex,14,2015-08-27,2016-07-13
2740,tpex,14,2016-04-07,2016-12-26
4542,tpex,14,2015-02-05,2016-12-02
6246,tpex,14,2015-06-18,2016-12-19
911611,twse,14,2016-05-03,2016-10-20
1333,tpex,13,2016-05-26,2016-12-27
1805,twse,13,2015-08-10,2016-12-29
4711,tpex,13,2015-04-20,2016-02-22
5340,tpex,13,2015-06-15,2016-05-16
5345,tpex,13,2015-09-01,2016-12-19
2361,twse,12,2015-01-12,2015-11-23
4154,tpex,12,2015-07-09,2026-09-10
4609,tpex,12,2015-07-31,2016-08-15
2321,twse,11,2015-07-17,2016-06-13
2491,twse,11,2016-01-20,2016-11-17
2724,tpex,11,2015-07-20,2026-09-10
3162,tpex,10,2015-02-02,2016-12-26
4429,tpex,10,2015-02-24,2016-12-26
4706,tpex,10,2015-01-12,2015-12-04
5278,tpex,10,2016-09-26,2016-12-27
5465,tpex,10,2015-09-04,2016-07-07
008201,twse,9,2016-06-04,2016-12-30
1413,twse,9,2015-12-29,2016-10-28
2596,tpex,9,2015-09-24,2016-08-05
3073,tpex,9,2015-06-15,2016-05-18
4175,tpex,9,2016-10-21,2016-12-29
5520,tpex,9,2015-01-14,2026-09-09
6174,tpex,9,2015-12-23,2016-09-09
