class,stock_id,date,official_factor,our_factor,official_src,our_event,our_kind
A,5227,2015-01-21,0.97293233,0.97293233,exDailyQ,exright,
A,1566,2015-01-27,0.97899761,0.97899761,exDailyQ,exright,
A,4131,2015-01-30,1.26231156,1.26231156,revivt,reduce,
A,1593,2015-02-04,0.98056156,0.98056156,exDailyQ,exright,
A,8050,2015-02-04,0.97688073,0.97688073,exDailyQ,exright,
A,1799,2015-02-05,0.96257745,0.96257745,exDailyQ,exright,
A,4161,2015-02-09,0.99301887,0.99301887,exDailyQ,exright,
A,4743,2015-02-10,0.96215722,0.96215722,exDailyQ,exright,
A,8111,2015-02-10,1.26802218,1.26802218,revivt,reduce,
A,3224,2015-02-24,0.93369963,0.93369963,exDailyQ,exright,
A,4541,2015-02-24,0.99327146,0.99327146,exDailyQ,exright,
A,4529,2015-03-02,0.98552632,0.98552632,exDailyQ,exright,
A,3465,2015-03-13,1.67012448,1.67012448,revivt,reduce,
A,6103,2015-03-20,2.21412301,2.21412301,revivt,reduce,
A,4419,2015-03-27,1.66666667,1.66666667,revivt,reduce,
A,1569,2015-04-22,0.98544474,0.98544474,exDailyQ,exright,
A,4304,2015-04-28,1.44324324,1.44324324,revivt,reduce,
A,3265,2015-05-04,0.94966592,0.94966592,exDailyQ,exright,
A,4413,2015-05-08,3.3338843,3.3338843,revivt,reduce,
A,6506,2015-05-25,0.91992188,0.91992188,exDailyQ,exright,
A,5266,2015-05-28,0.98029197,0.98029197,exDailyQ,exright,
A,4703,2015-06-03,1.004,1.004,exDailyQ,exright,
A,6219,2015-06-04,0.82061281,0.82061281,exDailyQ,exright,
A,1813,2015-06-05,0.96661102,0.96661102,exDailyQ,exright,
A,4747,2015-06-11,0.95091324,0.95091324,exDailyQ,exright,
A,2064,2015-06-12,0.91525424,0.91525424,exDailyQ,exright,
A,8066,2015-06-12,0.94736402,0.94736402,exDailyQ,exright,
A,3563,2015-06-15,0.92176724,0.92176724,exDailyQ,exright,
A,6023,2015-06-15,0.86058175,0.86058175,exDailyQ,exright,
A,1264,2015-06-16,0.95412844,0.95412844,exDailyQ,exright,
A,3658,2015-06-16,0.99006772,0.99006772,exDailyQ,exright,
A,2063,2015-06-17,0.94241843,0.94241843,exDailyQ,exright,
A,5211,2015-06-17,0.96763006,0.96763006,exDailyQ,exright,
A,8942,2015-06-17,0.95897436,0.95897436,exDailyQ,exright,
A,1788,2015-06-18,0.94547437,0.94547437,exDailyQ,exright,
A,3169,2015-06-18,0.94545455,0.94545455,exDailyQ,exright,
A,3259,2015-06-18,0.96648649,0.96648649,exDailyQ,exright,
A,8433,2015-06-18,0.96391753,0.96391753,exDailyQ,exright,
A,5016,2015-06-22,0.92857143,0.92857143,exDailyQ,exright,
A,8435,2015-06-22,0.91587902,0.91587902,exDailyQ,exright,
A,5263,2015-06-23,0.90645333,0.90645333,exDailyQ,exright,
A,2916,2015-06-25,0.94373402,0.94373402,exDailyQ,exright,
A,3529,2015-06-25,0.98636364,0.98636364,exDailyQ,exright,
A,6024,2015-06-25,0.94252874,0.94252874,exDailyQ,exright,
A,2233,2015-06-26,0.94207317,0.94207317,exDailyQ,exright,
A,3118,2015-06-26,0.94285714,0.94285714,exDailyQ,exright,
A,4126,2015-06-26,0.96062992,0.96062992,exDailyQ,exright,
A,4533,2015-06-26,0.95121951,0.95121951,exDailyQ,exright,
A,5878,2015-06-26,0.98357964,0.98357964,exDailyQ,exright,
A,4420,2015-06-29,0.96441281,0.96441281,exDailyQ,exright,
A,5276,2015-06-29,0.92031873,0.92031873,exDailyQ,exright,
A,5604,2015-06-29,0.95231788,0.95231788,exDailyQ,exright,
