stock_id,name,market,kind,event_date,prev_trade_date,prev_close,close,ratio,missing_trading_days,adj_events_in_range,cause,limit_on_reopen,source_note,in_universe
0081,恒香港,twse,long_hole,2015-03-31,2015-02-09,852,911,1.069249,28,0,unknown,flat,,0
6240,松崗,tpex,long_hole,2015-04-13,2015-02-10,51.9,55,1.059730,34,0,unknown,flat,,1
2348,海悅,twse,long_hole,2015-05-05,2015-03-24,39.3,39,0.992366,26,0,unknown,,,1
8934,衡平,tpex,long_hole,2015-06-03,2015-04-02,41.7,45.85,1.099520,40,0,unknown,up,,0
913889,大成糖,twse,long_hole,2015-06-10,2015-04-30,3.37,3.7,1.097923,27,0,unknown,flat,,0
2348,海悅,twse,long_hole,2015-07-21,2015-06-09,36.8,40.45,1.099185,27,0,unknown,,,1
4413,飛寶,tpex,long_hole,2015-08-27,2015-07-22,28.8,26.5,0.920139,25,0,unknown,flat,,1
6242,立康,tpex,long_hole,2015-09-09,2015-05-27,47,49.7,1.057447,72,0,unknown,flat,,1
5506,長鴻,tpex,long_hole,2015-09-23,2015-04-02,6.16,5.55,0.900974,118,0,unknown,flat,,0
8934,衡平,tpex,long_hole,2015-09-23,2015-06-03,45.85,40.5,0.883315,77,0,unknown,flat,,0
6240,松崗,tpex,long_hole,2015-11-17,2015-07-24,31.9,31.9,1.000000,78,0,unknown,flat,,1
8917,欣泰,tpex,long_hole,2015-12-01,2015-11-02,49.5,49.95,1.009091,20,0,unknown,,,1
6240,松崗,tpex,long_hole,2015-12-16,2015-11-17,31.9,31.5,0.987461,20,0,unknown,flat,,1
5205,漢康,tpex,long_hole,2015-12-17,2015-10-26,13.1,10.5,0.801527,37,0,unknown,flat,,1
911622,泰聚亨-DR,twse,long_hole,2015-12-17,2015-11-18,12.5,12.5,1.000000,20,0,unknown,,,1
4413,飛寶,tpex,long_hole,2015-12-24,2015-11-03,19,16.5,0.868421,36,0,unknown,flat,,1
6199,天品,tpex,long_hole,2016-01-11,2015-10-08,15,12.05,0.803333,64,0,unknown,flat,,1
2718,晶悅,tpex,long_hole,2016-01-15,2015-12-01,34.95,30.7,0.878398,31,0,unknown,,,1
5348,系通,tpex,long_hole,2016-02-26,2016-01-20,7.38,6.57,0.890244,20,0,unknown,flat,,1
2025,千興,twse,long_hole,2016-03-16,2016-02-02,1.81,1.74,0.961326,22,0,unknown,,,1
6242,立康,tpex,long_hole,2016-03-17,2015-10-26,45.9,50,1.089325,94,0,unknown,up,,1
6240,松崗,tpex,long_hole,2016-03-25,2015-12-24,28.5,27.3,0.957895,57,0,unknown,up,,1
2348,海悅,twse,long_hole,2016-04-20,2015-12-15,26.75,30.5,1.140187,80,0,unknown,,,1
4415,台原藥,tpex,long_hole,2016-05-09,2016-04-06,9.81,9,0.917431,21,0,unknown,,,0
8934,衡平,tpex,long_hole,2016-05-19,2016-01-26,39,42.9,1.100000,71,0,unknown,up,,0
8921,沈氏,tpex,long_hole,2016-05-27,2016-04-15,17.8,17.55,0.985955,28,0,unknown,,,1
8923,時報,tpex,long_hole,2016-06-03,2016-04-28,17.9,17.3,0.966480,24,0,unknown,,,1
6199,天品,tpex,long_hole,2016-06-28,2016-05-25,17.55,18.45,1.051282,22,0,unknown,flat,,1
6131,鈞泰,twse,long_hole,2016-07-05,2016-04-06,9.04,9.71,1.074115,61,0,unknown,,,0
