date,volume,amount,transactions,index,change,asof
2026-09-01,902905474,252387964702,1095837,410.77,9.07,2026-09-26
2026-09-02,820814304,221773156843,1052783,406.96,-3.81,2026-09-26
2026-09-03,984355552,241225808595,1205370,395.25,-11.71,2026-09-26
2026-09-04,769958855,195529166176,882384,402.48,7.23,2026-09-26
2026-09-07,795410582,203603900770,964405,409.33,6.85,2026-09-26
2026-09-08,871496084,214858284662,1019221,407.19,-2.14,2026-09-26
2026-09-09,832664141,216771977397,926244,408.09,0.90,2026-09-26
2026-09-10,804217133,173278012172,974192,405.24,-2.85,2026-09-26
2026-09-11,826150268,185181338982,1055110,395.52,-9.72,2026-09-26
2026-09-14,710545967,167847114406,827112,394.67,-0.85,2026-09-26
2026-09-15,737030104,175404583797,902311,388.73,-5.94,2026-09-26
2026-09-16,777380366,183676771560,812128,399.21,10.48,2026-09-26
2026-09-17,1018314978,263239309936,1168816,398.17,-1.04,2026-09-26
2026-09-18,1199745556,267470200600,1113671,412.68,14.51,2026-09-26
2026-09-21,1021927139,212474257357,1091371,412.57,-0.11,2026-09-26
2026-09-22,1066989186,276895956591,1213290,415.17,2.60,2026-09-26
2026-09-23,930595823,251588461650,1089727,413.76,-1.41,2026-09-26
2026-09-24,807244183,194857450260,957030,412.99,-0.77,2026-09-26
