sym,month,url,zip_sha256,content_sha256,rows,interval_mix,status
BTC,2020-01,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-01.zip,7f81b2f3694d13779e7e896b69d60cd61e9444d7b9f9e90df761935e1c1b76e2,b566eea750ede01486360de242ce63a727ebbbc81fb46fcfdf2fb68188b48835,93,"{""8"":93}",ok
BTC,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-02.zip,6599466d108d120c64a078824326c063ed2d4335b3292e52c5e572f79166533a,e1ff46ee6c1d89ed84d4b8c581eeec2ca7f47004e5495ff28dc7810170fb89ba,87,"{""8"":87}",ok
BTC,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-03.zip,eee845fde6336e29d25889563cba3d2cff2d4d640e51fb1f82ae9b28cedaee77,1ca0430f06cd053af2b365aa3595af541987ed33709da5b873bd33035f381e70,93,"{""8"":93}",ok
BTC,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-04.zip,d009ce034d08c3dcf3e7f874b0f8b0ec76ba507bc6bb4e007e541df537bafbce,f9f9f1d211c4948fe3600cb942cdce18b0dea00a84dc3288fbd34a361c42b7ad,90,"{""8"":90}",ok
BTC,2020-05,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-05.zip,3f2b56dd6b9a42457009bb367d0adadd3cf7e2216cd325172d0089e3883125a8,51e9d27a9c5717ba011d8843747024f493848a72372e33b7a63011a86116b495,93,"{""8"":93}",ok
BTC,2020-06,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-06.zip,30b3470ff98576578973d75e3c157a5cbf1778b11e4c26b4b4ff70a3cbb348ec,6ad618ae28a17664e0678c919ea89f5ec90cb34b15b2438849349459673f1069,90,"{""8"":90}",ok
BTC,2020-07,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-07.zip,18dae7b11075fc0fba79ad47df46683415cba5d027caa69c66bc2a5c9d9b459a,da2268dcb2436a3011d82373962253f1847a4ddef4351ea2cef804120f86a630,93,"{""8"":93}",ok
BTC,2020-08,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-08.zip,e6f6d1749f674c85d4766e0eb36af6ea40d91a0674234d30df80eb9876b094e3,78de37294fb2308c99b849ed3f33e1fe0c9dadb059ad653e92c511aa3020510c,93,"{""8"":93}",ok
BTC,2020-09,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-09.zip,7ae9a3b6afb2dc06e46080582908ec8c27063b707a14c7f1e679dc991ff48032,b92ada45ee14ce87ac56bb73508dbf85e8e9ba971b353b65e9efeceed7fe19f1,90,"{""8"":90}",ok
BTC,2020-10,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-10.zip,4c55b191c101f39c7fb193a6529665dd9e83302ca21876521e4c93b3902e9fb1,77b1a0826243d7866c130abdcd0db702126472c1df4dfb231109b2c0a80223ca,93,"{""8"":93}",ok
