market,stock_id,start,end,days,open_ended
tpex,020003,2022-04-28,2022-04-29,2,0
tpex,020009,2022-04-29,2022-05-03,2,0
tpex,020010,2022-09-28,2022-09-29,2,0
tpex,020013,2022-12-23,2022-12-26,2,0
tpex,020014,2022-12-28,2022-12-29,2,0
tpex,020017,2021-06-11,2021-06-15,2,0
tpex,02001B,2025-12-26,2025-12-29,2,0
tpex,020021,2022-03-16,2022-03-21,4,0
tpex,020023,2025-12-05,2025-12-08,2,0
tpex,020024,2023-12-15,2023-12-18,2,0
tpex,020026,2024-06-21,2024-06-24,2,0
tpex,020027,2026-07-17,2026-07-20,2,0
tpex,02002L,2023-12-15,2023-12-18,2,0
tpex,02003L,2022-12-23,2022-12-26,2,0
tpex,1258,2023-06-01,2023-06-08,6,0
tpex,1333,2016-10-04,2016-10-14,8,0
tpex,1333,2020-04-07,2020-11-16,154,0
tpex,1566,2019-07-25,2019-07-30,4,0
tpex,1584,2016-10-27,2016-11-07,8,0
tpex,1591,2026-06-11,2026-07-21,27,0
tpex,1742,2015-09-14,2015-10-06,15,0
tpex,1742,2018-03-06,2018-03-12,5,0
tpex,1785,2016-05-17,2016-12-30,158,0
tpex,1785,2017-09-14,2017-09-27,10,0
tpex,1787,2019-11-21,2019-11-28,6,0
tpex,1799,2022-09-30,2022-10-07,6,0
tpex,2061,2018-10-11,2018-10-19,7,0
tpex,2061,2021-01-07,2021-01-15,7,0
tpex,2641,2018-08-15,2018-08-21,5,0
tpex,2719,2019-10-08,2019-10-18,7,0
tpex,2719,2020-12-24,2020-12-30,5,0
tpex,2719,2022-07-21,2022-07-29,7,0
tpex,2724,2017-07-06,2018-01-08,130,0
tpex,2724,2021-12-29,2022-01-07,7,0
tpex,2726,2023-10-26,2023-11-03,7,0
tpex,2740,2020-02-13,2020-02-21,7,0
tpex,2740,2025-01-02,2025-01-10,7,0
tpex,2928,2021-10-14,2021-10-21,6,0
tpex,3064,2020-09-23,2020-09-29,5,0
tpex,3064,2024-01-25,2024-02-02,7,0
tpex,3067,2021-11-30,2021-12-06,5,0
tpex,3068,2018-06-07,2018-06-12,4,0
tpex,3071,2017-08-17,2017-08-29,9,0
tpex,3071,2017-11-16,2017-11-24,7,0
tpex,3071,2019-09-26,2019-10-04,6,0
tpex,3073,2020-01-02,2020-01-10,7,0
tpex,3073,2020-08-19,2021-02-18,121,0
tpex,3073,2023-02-20,2023-06-20,81,0
tpex,3085,2015-01-05,2015-01-05,1,0
tpex,3085,2020-06-24,2020-07-03,6,0
tpex,3085,2023-02-02,2023-02-10,7,0
tpex,3086,2017-03-21,2017-03-29,7,0
tpex,3086,2020-01-02,2020-01-10,7,0
tpex,3086,2026-04-09,2026-04-17,7,0
tpex,3089,2018-03-01,2018-03-09,7,0
tpex,3089,2021-01-20,2021-07-19,117,0
tpex,3089,2023-07-20,2024-03-01,149,0
tpex,3093,2022-12-01,2022-12-09,7,0
tpex,3095,2022-10-20,2022-10-28,7,0
tpex,3105,2015-08-18,2015-08-27,8,0
tpex,3105,2016-09-10,2016-09-22,8,0
tpex,3115,2025-01-09,2025-01-17,7,0
tpex,3126,2015-02-25,2016-04-01,271,0
tpex,3141,2015-12-17,2015-12-30,10,0
tpex,3144,2021-12-14,2021-12-17,4,0
tpex,3152,2026-06-23,2026-06-29,5,0
tpex,3162,2021-06-24,2021-07-02,7,0
tpex,3169,2020-08-13,2020-08-21,7,0
tpex,3171,2024-09-26,2024-10-04,5,0
tpex,3188,2018-08-23,2018-08-31,7,0
tpex,3191,2024-02-05,2024-02-20,5,0
tpex,3202,2025-04-07,2025-07-18,73,0
tpex,3207,2018-11-01,2018-11-09,7,0
tpex,3219,2017-05-26,2017-11-24,128,0
tpex,3219,2018-12-14,2018-12-22,7,0
tpex,3219,2020-02-20,2020-08-20,125,0
tpex,3230,2021-03-17,2021-03-23,5,0
tpex,3234,2016-08-18,2016-08-31,10,0
tpex,3259,2020-09-24,2020-09-30,5,0
tpex,3259,2023-08-17,2023-08-25,7,0
tpex,3288,2018-12-14,2018-12-22,7,0
tpex,3288,2022-09-15,2022-09-23,7,0
tpex,3290,2025-08-14,2025-08-22,7,0
tpex,3291,2016-09-29,2016-10-05,5,0
tpex,3299,2018-11-22,2018-11-28,5,0
tpex,3310,2016-10-06,2016-10-19,9,0
tpex,3310,2017-11-07,2017-11-13,5,0
tpex,3310,2018-10-03,2018-10-09,5,0
tpex,3339,2016-09-23,2016-10-06,8,0
tpex,3339,2020-10-08,2020-10-16,6,0
tpex,3354,2016-10-27,2016-11-09,10,0
tpex,3372,2019-09-27,2019-10-04,5,0
tpex,3426,2026-06-02,2026-06-05,4,0
tpex,3428,2018-09-18,2018-09-28,8,0
tpex,3431,2019-01-21,2019-08-30,146,0
