stock_id,name,market,prev_date,date,missing_trading_days,rows_in_hole,notrade_in_hole,halted_days,kind
1213,大飲,twse,2019-04-03,2019-09-24,117,0,0,0,uncovered
1225,福懋油,twse,2025-04-02,2025-06-23,53,0,0,0,uncovered
1235,興泰,twse,2023-01-06,2023-01-16,5,5,5,0,notrade
1333,恩得利,tpex,2018-09-28,2018-10-08,5,5,5,0,notrade
1333,恩得利,tpex,2018-11-07,2018-11-16,6,6,6,0,notrade
1418,東華,twse,2018-04-23,2018-05-02,5,5,5,0,notrade
1418,東華,twse,2018-07-31,2018-08-08,5,5,5,0,notrade
1418,東華,twse,2018-08-21,2018-08-30,6,6,6,0,notrade
1418,東華,twse,2018-09-03,2018-09-17,9,9,9,0,notrade
1418,東華,twse,2018-10-09,2018-10-18,5,5,5,0,notrade
1418,東華,twse,2018-10-19,2018-11-15,18,18,18,0,notrade
1418,東華,twse,2018-11-16,2018-11-29,8,8,8,0,notrade
1418,東華,twse,2018-12-04,2018-12-17,8,8,8,0,notrade
1418,東華,twse,2019-01-16,2019-01-28,7,7,7,0,notrade
1418,東華,twse,2019-05-27,2019-06-06,7,7,7,0,notrade
1418,東華,twse,2019-08-06,2019-08-15,5,5,5,0,notrade
1418,東華,twse,2019-08-28,2019-09-09,7,7,7,0,notrade
1418,東華,twse,2019-09-26,2019-10-15,9,9,9,0,notrade
1418,東華,twse,2020-02-18,2020-02-26,5,5,5,0,notrade
1418,東華,twse,2020-03-26,2020-04-07,5,5,5,0,notrade
1418,東華,twse,2020-05-29,2020-06-10,7,7,7,0,notrade
1418,東華,twse,2021-03-03,2021-03-11,5,5,5,0,notrade
1418,東華,twse,2021-03-18,2021-03-26,5,5,5,0,notrade
1435,中福,twse,2022-08-17,2023-03-20,139,0,0,0,uncovered
1435,中福,twse,2023-04-07,2023-09-14,109,0,0,0,uncovered
1435,中福,twse,2024-12-04,2024-12-12,5,5,5,0,notrade
1435,中福,twse,2026-04-28,2026-06-18,35,0,0,0,uncovered
1456,怡華,twse,2015-06-30,2015-07-14,8,8,8,0,notrade
1456,怡華,twse,2015-08-05,2015-08-17,7,7,7,0,notrade
1456,怡華,twse,2015-09-17,2015-10-07,11,11,11,0,notrade
1469,理隆,twse,2015-11-05,2015-11-13,5,5,5,0,notrade
1469,理隆,twse,2016-06-02,2016-06-15,7,7,7,0,notrade
1469,理隆,twse,2016-07-13,2016-07-25,7,7,7,0,notrade
1469,理隆,twse,2016-11-01,2016-11-09,5,5,5,0,notrade
1469,理隆,twse,2017-01-18,2017-02-06,6,6,6,0,notrade
1469,理隆,twse,2017-04-14,2017-04-25,6,6,6,0,notrade
1469,理隆,twse,2017-05-05,2017-05-19,9,9,9,0,notrade
1469,理隆,twse,2017-05-22,2017-06-01,5,5,5,0,notrade
1469,理隆,twse,2017-06-12,2017-06-21,6,6,6,0,notrade
1469,理隆,twse,2017-09-05,2017-09-13,5,5,5,0,notrade
1469,理隆,twse,2017-10-31,2017-11-13,8,8,8,0,notrade
1469,理隆,twse,2017-12-11,2017-12-26,10,10,10,0,notrade
1470,大統新創,twse,2015-12-01,2015-12-09,5,5,5,0,notrade
1470,大統新創,twse,2018-04-30,2018-05-09,5,5,5,0,notrade
1470,大統新創,twse,2018-05-21,2018-05-31,7,7,7,0,notrade
1470,大統新創,twse,2018-12-14,2018-12-22,5,5,5,0,notrade
1470,大統新創,twse,2019-06-11,2019-06-19,5,5,5,0,notrade
1470,大統新創,twse,2019-07-04,2019-07-17,8,8,8,0,notrade
1470,大統新創,twse,2020-02-21,2020-03-03,5,5,5,0,notrade
1472,三洋實業,twse,2022-03-09,2022-03-23,9,9,9,0,notrade
1472,三洋實業,twse,2022-03-30,2022-04-11,5,5,5,0,notrade
1472,三洋實業,twse,2022-04-28,2022-05-09,5,5,5,0,notrade
1475,業旺,twse,2019-09-09,2019-09-18,5,5,5,0,notrade
1475,業旺,twse,2019-10-16,2019-10-24,5,5,5,0,notrade
1538,正峰,twse,2022-06-14,2022-06-23,6,6,6,0,notrade
1538,正峰,twse,2026-07-30,2026-08-13,9,0,0,0,uncovered
1538,正峰,twse,2026-08-24,2026-09-07,9,0,0,0,uncovered
1591,駿吉-KY,tpex,2026-06-10,2026-07-22,27,0,0,27,halted
1603,華電,twse,2019-04-03,2019-08-19,92,0,0,0,uncovered
1742,台蠟,tpex,2015-09-11,2015-10-07,15,0,0,15,halted
1785,光洋科,tpex,2016-05-16,2017-01-03,158,0,0,158,halted
2025,千興,twse,2016-02-02,2016-03-16,22,2,2,0,mixed
2025,千興,twse,2016-05-03,2016-08-17,73,0,0,0,uncovered
2025,千興,twse,2018-09-11,2019-04-08,134,0,0,0,uncovered
2035,唐榮,tpex,2017-03-29,2017-04-10,5,5,5,0,notrade
2035,唐榮,tpex,2017-07-03,2017-07-12,6,6,6,0,notrade
2035,唐榮,tpex,2019-06-21,2019-07-01,5,5,5,0,notrade
2035,唐榮,tpex,2019-08-02,2019-08-13,5,5,5,0,notrade
2035,唐榮,tpex,2019-10-01,2019-10-14,6,6,6,0,notrade
2035,唐榮,tpex,2020-02-03,2020-02-11,5,5,5,0,notrade
2064,晉椿,tpex,2020-09-22,2020-09-30,5,5,5,0,notrade
2073,雄順,tpex,2025-02-07,2025-02-18,6,6,6,0,notrade
2073,雄順,tpex,2025-04-28,2025-05-21,15,15,15,0,notrade
2073,雄順,tpex,2025-06-23,2025-07-07,9,9,9,0,notrade
2073,雄順,tpex,2025-09-23,2025-10-03,6,6,6,0,notrade
2073,雄順,tpex,2025-11-07,2025-11-20,8,8,8,0,notrade
2073,雄順,tpex,2025-11-24,2025-12-05,8,8,8,0,notrade
2235,謚源,tpex,2024-09-27,2024-10-09,5,5,5,0,notrade
2235,謚源,tpex,2025-09-25,2025-10-09,7,7,7,0,notrade
2235,謚源,tpex,2025-11-17,2025-11-26,6,6,6,0,notrade
2235,謚源,tpex,2026-03-23,2026-03-31,5,0,0,0,unexplained
2348,海悅,twse,2015-01-07,2015-01-20,8,8,8,0,notrade
2348,海悅,twse,2015-01-21,2015-02-26,19,19,19,0,notrade
2348,海悅,twse,2015-02-26,2015-03-17,11,11,11,0,notrade
2348,海悅,twse,2015-03-24,2015-05-05,26,26,26,0,notrade
2348,海悅,twse,2015-05-05,2015-06-02,19,19,19,0,notrade
2348,海悅,twse,2015-06-09,2015-07-21,27,27,27,0,notrade
2348,海悅,twse,2015-07-21,2015-08-14,17,17,17,0,notrade
2348,海悅,twse,2015-12-15,2016-04-20,80,80,80,0,notrade
2348,海悅,twse,2016-04-20,2016-05-04,8,8,8,0,notrade
2424,隴華,twse,2015-11-27,2015-12-07,5,5,5,0,notrade
2424,隴華,twse,2016-10-13,2016-10-21,5,5,5,0,notrade
