stock_id,roc_year,month,high,low,avg_price,transactions,amount,volume,turnover,asof
1101,115,1,26.95,22.80,25.19,302381,25390279924,1007670601,13.34,20260909
1101,115,2,26.65,25.20,25.91,100328,8567359535,330578323,4.37,20260909
1101,115,3,26.50,22.40,24.14,243686,16109236625,667098602,8.86,20260909
1101,115,4,26.40,23.30,24.66,205890,14475838146,586896603,7.80,20260909
1101,115,5,25.70,23.65,24.43,203535,15009073470,614243120,8.16,20260909
1101,115,6,25.40,23.55,24.40,200211,17669112750,724044107,9.62,20260909
1101,115,7,25.05,22.40,23.71,219164,15405704718,649737733,8.63,20260909
1101,115,8,25.70,23.45,24.37,188923,26630591629,1092528357,14.52,20260909
1102,115,1,38.05,35.15,36.50,108112,7941675791,217541576,6.13,20260909
1102,115,2,36.10,34.25,35.41,47290,3600633104,101669221,2.86,20260909
1102,115,3,35.80,33.30,34.59,99393,7369771527,213025873,6.00,20260909
1102,115,4,36.15,34.55,35.44,93294,7188433050,202830280,5.71,20260909
1102,115,5,35.50,32.40,34.08,109388,14226430015,417411997,11.76,20260909
1102,115,6,36.50,33.50,35.04,123089,12534202835,357691986,10.08,20260909
1102,115,7,37.10,32.00,34.31,133873,15398948573,448699216,12.65,20260909
1102,115,8,35.30,31.60,33.57,91426,7490914822,223112840,6.29,20260909
1103,115,1,14.35,13.70,14.02,5481,108028553,7705139,0.97,20260909
1103,115,2,14.30,13.75,13.99,3555,62001660,4431673,0.56,20260909
1103,115,3,14.25,13.30,13.59,9954,91981086,6764451,0.85,20260909
1103,115,4,14.05,13.35,13.72,4750,85580023,6233824,0.78,20260909
1103,115,5,13.60,12.85,13.20,5453,87332514,6613300,0.83,20260909
1103,115,6,13.90,13.00,13.47,6010,107360628,7966588,1.00,20260909
1103,115,7,13.80,13.05,13.41,6154,155959782,11623472,1.39,20260909
1103,115,8,13.40,12.90,13.14,4526,81189038,6174925,0.74,20260909
1104,115,1,30.95,29.60,30.08,9955,374275348,12439614,1.81,20260909
1104,115,2,30.45,29.10,29.79,5858,224319175,7529920,1.09,20260909
1104,115,3,30.35,28.00,29.39,14471,467220757,15895600,2.31,20260909
1104,115,4,29.80,28.15,29.05,9916,401587279,13821055,2.01,20260909
1104,115,5,28.55,27.00,27.80,14790,423205754,15220782,2.21,20260909
1104,115,6,29.60,26.50,28.33,18055,788745210,27832829,4.05,20260909
1104,115,7,27.75,26.35,26.94,12769,438549071,16273777,2.36,20260909
1104,115,8,27.00,26.25,26.60,12098,610347512,22938464,3.34,20260909
1108,115,1,15.25,14.85,15.05,2207,82074369,5452637,1.34,20260909
1108,115,2,15.30,14.95,15.11,1202,31614885,2090977,0.51,20260909
1108,115,3,15.40,14.70,14.99,3103,108679076,7245399,1.79,20260909
1108,115,4,14.95,14.45,14.76,2585,80409170,5446544,1.34,20260909
1108,115,5,14.65,13.40,13.97,3322,100673695,7203824,1.77,20260909
1108,115,6,14.15,13.55,13.80,3365,111066509,8047909,1.98,20260909
1108,115,7,14.15,11.80,13.11,5543,162057176,12353799,3.05,20260909
1108,115,8,12.10,11.65,11.82,2832,66304850,5605600,1.38,20260909
1109,115,1,15.60,15.30,15.43,2674,42134381,2729111,0.79,20260909
1109,115,2,15.90,15.30,15.55,1424,24199485,1556066,0.45,20260909
1109,115,3,16.00,15.05,15.33,3449,60115384,3919286,1.14,20260909
1109,115,4,15.60,15.15,15.40,2395,43990827,2856043,0.83,20260909
1109,115,5,15.50,14.30,14.85,5277,70257162,4728203,1.38,20260909
1109,115,6,14.90,14.35,14.59,3910,51617024,3536751,1.03,20260909
1109,115,7,14.80,13.65,14.41,3942,61744485,4284235,1.25,20260909
1109,115,8,13.80,13.40,13.56,2580,35756587,2635994,0.77,20260909
1110,115,1,16.70,16.15,16.37,2189,105598183,6447906,1.12,20260909
1110,115,2,16.70,15.75,16.31,1500,38766425,2375775,0.41,20260909
1110,115,3,16.65,14.70,15.55,3139,78619426,5055432,0.88,20260909
1110,115,4,16.10,14.35,15.18,2809,65058797,4283422,0.74,20260909
1110,115,5,15.40,13.90,14.39,2301,59268118,4116927,0.71,20260909
1110,115,6,17.25,14.25,15.54,3658,121998388,7845776,1.37,20260909
1110,115,7,16.30,15.40,15.90,2966,105030851,6605254,1.15,20260909
1110,115,8,16.60,15.60,16.00,2488,79012077,4936138,0.86,20260909
1201,115,1,14.65,14.20,14.43,8182,120469064,8344262,1.64,20260909
1201,115,2,14.75,14.30,14.51,3917,59266068,4083386,0.80,20260909
1201,115,3,14.60,13.25,13.85,14814,134599045,9714781,1.91,20260909
1201,115,4,13.65,12.50,13.14,11395,127505118,9701075,1.91,20260909
1201,115,5,12.55,11.90,12.15,8917,118826824,9775951,1.93,20260909
1201,115,6,12.75,11.95,12.37,8034,134603857,10880229,2.14,20260909
1201,115,7,12.90,12.00,12.46,8062,143445003,11509531,2.27,20260909
1201,115,8,12.50,11.90,12.21,5511,82383929,6743356,1.33,20260909
1203,115,1,40.35,39.20,39.64,1553,13423858,338584,0.14,20260909
1203,115,2,41.75,39.00,40.41,1447,14941913,369707,0.15,20260909
1203,115,3,42.20,37.35,39.21,4347,27133591,691956,0.28,20260909
1203,115,4,44.50,39.40,42.26,5180,34030885,805161,0.33,20260909
1203,115,5,44.00,40.15,42.71,1684,24667728,577491,0.24,20260909
1203,115,6,44.30,41.15,42.92,1489,17612499,410300,0.17,20260909
1203,115,7,50.80,42.25,46.09,1987,44763543,971168,0.40,20260909
1203,115,8,49.55,42.80,45.80,1382,20478617,447098,0.18,20260909
1210,115,1,53.00,50.90,51.82,29173,1517801530,29285290,3.27,20260909
1210,115,2,52.00,50.40,51.07,19441,1074662816,21042593,2.35,20260909
1210,115,3,54.90,50.20,52.91,52435,2567077334,48512003,5.42,20260909
1210,115,4,56.00,52.70,54.28,49342,2510240462,46242894,5.16,20260909
1210,115,5,54.10,51.60,52.47,38459,2290434766,43650142,4.87,20260909
1210,115,6,56.00,51.70,54.56,64869,6356853132,116494825,13.01,20260909
1210,115,7,59.50,55.00,57.55,61544,3529646541,61325229,6.85,20260909
1210,115,8,56.50,51.40,53.36,42299,2802514297,52516026,5.86,20260909
1213,115,1,10.75,9.65,10.04,295,3542456,352694,0.62,20260909
1213,115,2,10.40,9.65,9.93,111,1104769,111248,0.19,20260909
1213,115,3,10.00,9.12,9.65,210,2331985,241621,0.42,20260909
1213,115,4,9.85,8.33,8.98,359,4623107,514282,0.90,20260909
1213,115,5,9.09,8.00,8.45,354,3945727,466512,0.82,20260909
1213,115,6,9.44,7.50,8.06,288,3336221,413633,0.73,20260909
1213,115,7,8.02,7.02,7.48,291,2967876,396640,0.70,20260909
1213,115,8,8.07,7.01,7.54,242,4462847,591444,1.04,20260909
1215,115,1,158.00,131.00,146.39,56162,4068269630,27789783,9.42,20260909
1215,115,2,156.00,145.50,149.55,18623,1356696214,9071575,3.07,20260909
1215,115,3,163.50,135.00,150.13,43671,3199350861,21309250,7.22,20260909
1215,115,4,146.50,133.50,141.15,28037,3288585207,23297141,7.90,20260909
1215,115,5,146.00,123.50,135.98,55277,5943861709,43711087,14.82,20260909
1215,115,6,125.00,112.50,116.37,60319,6378507195,54809817,18.59,20260909
1215,115,7,114.00,103.50,109.93,38666,3114683017,28332518,9.61,20260909
1215,115,8,112.00,100.50,107.06,22363,1685579450,15743901,5.34,20260909
1216,115,1,77.80,71.70,74.89,183378,17289386265,230835154,4.06,20260909
1216,115,2,76.00,71.30,73.58,83664,9737962533,132331417,2.32,20260909
1216,115,3,73.90,69.10,71.16,155382,17592619767,247217273,4.35,20260909
1216,115,4,73.70,69.30,71.78,125741,14835731771,206662657,3.63,20260909
1216,115,5,76.70,68.50,72.27,221660,26309599919,364007481,6.40,20260909
1216,115,6,77.70,72.00,74.64,146544,24498847228,328191775,5.77,20260909
1216,115,7,80.70,73.60,77.52,218530,37018694583,477489056,8.40,20260909
1216,115,8,78.60,72.40,75.42,160590,22762735693,301778593,5.31,20260909
1217,115,1,10.85,10.40,10.57,8701,129441327,12238557,2.47,20260909
1217,115,2,10.75,10.40,10.51,5331,78546308,7467867,1.51,20260909
1217,115,3,10.50,10.10,10.26,15446,132785089,12930993,2.61,20260909
1217,115,4,10.40,9.90,10.20,13581,117483612,11511021,2.32,20260909
1217,115,5,9.94,9.32,9.61,15346,146578054,15251957,3.08,20260909
1217,115,6,10.10,9.72,9.87,11205,154501141,15651372,3.16,20260909
1217,115,7,10.25,9.80,9.99,11424,131980891,13205986,2.67,20260909
1217,115,8,10.05,9.74,9.92,8146,95381462,9612027,1.94,20260909
1218,115,1,18.80,18.00,18.33,8333,214936025,11721703,2.34,20260909
1218,115,2,18.50,17.95,18.20,4674,124056570,6815714,1.36,20260909
1218,115,3,19.45,17.75,18.81,16725,469608541,24954326,4.99,20260909
1218,115,4,19.60,18.60,19.13,9930,298841955,15620839,3.12,20260909
1218,115,5,19.20,18.35,18.70,8837,243509648,13021112,2.60,20260909
1218,115,6,19.65,17.75,18.68,15645,530629125,28396809,5.67,20260909
1218,115,7,17.90,15.70,16.43,24878,637340869,38787955,7.75,20260909
1218,115,8,15.95,14.15,14.86,18461,501700569,33741019,6.74,20260909
1219,115,1,13.70,13.20,13.44,4820,80773238,6008155,1.76,20260909
1219,115,2,13.75,13.35,13.54,2813,42781018,3158473,0.92,20260909
1219,115,3,14.35,13.30,13.69,10569,125495045,9164269,2.68,20260909
1219,115,4,14.85,13.30,14.06,7162,190391825,13540392,3.96,20260909
1219,115,5,13.50,12.30,12.87,6224,151250888,11747252,3.44,20260909
1219,115,6,13.10,12.15,12.62,5242,119231424,9444380,2.76,20260909
1219,115,7,12.50,11.35,11.92,9280,240913306,20196417,5.91,20260909
1219,115,8,11.90,10.45,11.07,6431,131377299,11858246,3.47,20260909
1220,115,1,13.10,12.20,12.68,10124,78485993,6187373,3.49,20260909
1220,115,2,13.25,12.65,12.97,4243,22868966,1763008,0.99,20260909
1220,115,3,13.55,12.25,12.85,11895,48733563,3792141,2.14,20260909
1220,115,4,12.85,12.35,12.56,8172,29288073,2330722,1.31,20260909
1220,115,5,12.60,11.65,12.05,7934,35717164,2962904,1.67,20260909
1220,115,6,12.00,11.45,11.69,5662,28023473,2396186,1.35,20260909
1220,115,7,11.90,11.10,11.45,5578,28639224,2500272,1.41,20260909
1220,115,8,11.30,10.75,10.98,4464,23349141,2126256,1.20,20260909
1225,115,1,28.95,27.85,28.34,5782,85175835,3005157,1.24,20260909
1225,115,2,29.80,27.95,28.72,3438,67892940,2363909,0.97,20260909
1225,115,3,36.00,30.00,32.67,22887,416212879,12736881,5.25,20260909
1225,115,4,34.55,30.40,32.76,9141,209516159,6395380,2.63,20260909
1225,115,5,33.35,28.70,30.85,4528,181525451,5884126,2.42,20260909
1225,115,6,33.00,28.60,30.82,5578,238712327,7745092,3.19,20260909
1225,115,7,29.55,25.65,27.39,4926,131025285,4782254,1.97,20260909
1225,115,8,27.00,23.55,24.84,3170,69184116,2785112,1.14,20260909
1227,115,1,30.35,29.00,29.49,15687,535482351,18157534,1.98,20260909
1227,115,2,30.40,28.50,29.54,11916,380408775,12877430,1.40,20260909
1227,115,3,30.95,29.00,30.03,15782,691918183,23033885,2.51,20260909
1227,115,4,31.25,28.85,29.97,17763,617359743,20598284,2.25,20260909
1227,115,5,29.20,27.85,28.48,16274,600414748,21077520,2.30,20260909
1227,115,6,29.55,27.85,28.63,22212,1438074498,50221629,5.48,20260909
1227,115,7,30.65,28.60,29.80,21299,1001659760,33611432,3.67,20260909
1227,115,8,29.50,28.40,28.86,12873,503416818,17441816,1.90,20260909
1229,115,1,47.70,45.95,46.52,45337,1749392511,37599466,2.09,20260909
1229,115,2,45.95,44.30,44.99,28595,1086651650,24147987,1.34,20260909
1229,115,3,46.95,43.05,44.31,59102,2765650088,62403212,3.47,20260909
1229,115,4,45.40,41.30,43.36,53634,2282139274,52628458,2.93,20260909
1229,115,5,42.35,38.00,39.95,65698,3021976707,75630861,4.21,20260909
1229,115,6,44.90,40.00,42.43,71522,3930303118,92624542,5.15,20260909
1229,115,7,44.20,39.70,41.64,56191,3094383230,74306971,4.13,20260909
1229,115,8,42.50,39.90,41.27,51147,1591650854,38561207,2.10,20260909
1231,115,1,98.00,93.00,94.64,22532,739032396,7808231,2.61,20260909
1231,115,2,95.50,86.50,90.62,19612,683519864,7542021,2.52,20260909
1231,115,3,93.30,80.50,87.23,26164,948488464,10872835,3.64,20260909
1231,115,4,93.80,85.10,89.46,21521,619179991,6920674,2.31,20260909
1231,115,5,88.30,84.10,85.97,17601,637598371,7416421,2.48,20260909
1231,115,6,89.50,84.70,87.34,13089,672117004,7695150,2.57,20260909
1231,115,7,93.50,80.40,88.64,20674,1041690200,11750685,3.93,20260909
1231,115,8,84.30,79.00,80.95,12945,600949610,7422980,2.48,20260909
1232,115,1,150.00,144.00,145.33,4373,180557260,1242334,0.77,20260909
1232,115,2,152.00,145.00,148.55,2696,187403715,1261489,0.78,20260909
1232,115,3,153.50,148.00,150.41,7405,305167700,2028896,1.26,20260909
1232,115,4,152.50,147.50,149.61,3655,253523939,1694482,1.05,20260909
1232,115,5,149.00,147.50,148.13,3862,279947420,1889839,1.18,20260909
1232,115,6,150.50,140.50,145.21,8344,627845364,4323448,2.70,20260909
1232,115,7,178.00,141.00,157.94,38188,2176613263,13780929,8.61,20260909
1232,115,8,159.50,150.50,154.97,8119,599697216,3869648,2.41,20260909
1233,115,1,32.50,31.80,32.18,504,16625570,516640,0.57,20260909
1233,115,2,33.65,31.25,32.43,388,14949316,460860,0.50,20260909
1233,115,3,33.70,28.55,31.20,1967,11015033,352995,0.38,20260909
1233,115,4,30.00,28.30,28.99,776,10707499,369246,0.40,20260909
1233,115,5,29.30,27.60,28.17,636,42926255,1523405,1.68,20260909
1233,115,6,28.40,27.00,27.85,877,16984522,609746,0.67,20260909
1233,115,7,30.10,27.80,28.52,1416,16183435,567302,0.62,20260909
1233,115,8,29.05,27.55,28.22,624,14769306,523191,0.57,20260909
1234,115,1,37.95,36.80,37.22,2797,87599445,2353122,0.58,20260909
1234,115,2,37.75,36.60,37.08,2020,51029993,1376020,0.34,20260909
1234,115,3,37.45,35.45,36.14,4243,304285945,8419421,2.09,20260909
1234,115,4,36.40,35.10,35.73,3650,101163535,2830692,0.70,20260909
1234,115,5,35.35,33.30,34.33,4963,142242816,4142487,1.03,20260909
1234,115,6,35.50,33.25,34.78,4275,136130018,3912941,0.97,20260909
1234,115,7,34.45,33.00,33.55,4556,122459128,3649095,0.90,20260909
1234,115,8,34.00,33.10,33.46,2379,71117572,2125443,0.52,20260909
1235,115,1,46.00,39.50,43.01,874,13002843,302255,0.16,20260909
1235,115,2,46.00,40.10,43.02,562,14760246,343083,0.18,20260909
1235,115,3,47.80,35.50,40.12,1587,24912602,620845,0.32,20260909
1235,115,4,46.85,37.50,43.89,1076,64221761,1462993,0.77,20260909
1235,115,5,45.80,36.40,40.94,1178,23322678,569669,0.30,20260909
1235,115,6,41.70,35.45,39.12,636,31081250,794444,0.42,20260909
1235,115,7,37.95,35.20,36.65,554,30853711,841769,0.44,20260909
1235,115,8,40.15,35.10,36.63,431,14076107,384211,0.20,20260909
1236,115,1,26.75,24.30,25.30,4682,42410997,1675736,1.93,20260909
1236,115,2,26.80,25.75,26.35,1394,34177451,1296760,1.49,20260909
1236,115,3,28.70,25.85,27.44,2954,55801251,2033376,2.34,20260909
1236,115,4,27.40,25.10,25.97,2408,27568555,1061509,1.22,20260909
1236,115,5,26.75,23.20,24.94,4106,24269974,973092,1.12,20260909
1236,115,6,26.00,24.30,25.50,1595,25482435,999024,1.15,20260909
1236,115,7,27.35,22.80,24.55,3195,62147309,2530451,2.91,20260909
1236,115,8,25.90,24.40,25.31,2083,55935932,2209198,2.54,20260909
1256,115,1,171.00,143.00,157.86,13494,249446486,1580134,4.41,20260909
1256,115,2,171.00,153.50,160.13,9981,161276052,1007142,2.81,20260909
1256,115,3,172.50,143.00,160.03,16601,247980629,1549561,4.33,20260909
1256,115,4,167.00,146.00,156.57,5663,177256623,1132082,3.16,20260909
1256,115,5,212.50,161.50,187.51,29901,615961533,3284841,9.18,20260909
1256,115,6,218.50,171.00,188.17,28885,591713071,3144462,8.79,20260909
1256,115,7,205.00,170.00,187.78,8045,460554050,2452531,6.85,20260909
1256,115,8,195.50,173.00,181.05,15747,364705195,2014280,5.62,20260909
1301,115,1,52.80,37.90,45.53,521044,48552156727,1066310249,16.75,20260909
1301,115,2,53.40,43.70,48.36,242488,22969301796,474892238,7.46,20260909
1301,115,3,54.80,44.65,48.14,477945,46862573929,973299181,15.28,20260909
1301,115,4,56.30,45.75,51.01,343911,33126094462,649306648,10.20,20260909
1301,115,5,52.20,44.20,47.36,213077,19484926949,411338924,6.46,20260909
1301,115,6,59.80,43.10,51.24,456927,56014908599,1093021563,17.17,20260909
1301,115,7,69.80,52.80,61.71,834739,106042923963,1718191523,26.99,20260909
1301,115,8,66.20,52.90,59.15,322360,35111057982,593513448,9.32,20260909
1303,115,1,83.50,55.10,71.62,1758960,237901192312,3321253844,41.87,20260909
1303,115,2,96.50,70.00,81.90,860238,112316144715,1371234574,17.28,20260909
1303,115,3,94.70,70.90,81.57,1143977,161606109649,1981004336,24.97,20260909
1303,115,4,93.60,75.80,86.69,1097670,158979968913,1833819779,23.12,20260909
1303,115,5,101.50,80.40,90.69,910336,140355877129,1547644361,19.51,20260909
1303,115,6,169.50,93.10,126.06,773235,206334365567,1636764506,20.63,20260909
1303,115,7,230.00,135.50,190.02,1165503,379486213355,1996983451,25.18,20260909
1303,115,8,242.50,162.00,197.58,1458002,436968667220,2211601893,27.88,20260909
1304,115,1,13.00,10.40,11.82,51448,1863536689,157589174,13.25,20260909
1304,115,2,12.85,10.95,11.76,24271,785825948,66793790,5.61,20260909
1304,115,3,19.55,11.90,15.50,226709,11095035476,715385079,60.17,20260909
1304,115,4,18.70,13.70,16.17,163874,7599809922,469924025,39.53,20260909
1304,115,5,14.00,11.85,12.66,45945,1587437699,125352462,10.54,20260909
1304,115,6,14.45,12.15,13.31,52882,1878366616,141064806,11.86,20260909
1304,115,7,15.80,10.90,13.76,68802,2764540348,200878690,16.89,20260909
1304,115,8,12.65,11.00,11.97,22678,653771726,54591225,4.59,20260909
1305,115,1,13.30,10.55,12.09,33311,1136371809,93927338,16.16,20260909
1305,115,2,12.85,11.25,12.00,16493,413263570,34436070,5.92,20260909
1305,115,3,20.10,12.00,16.30,176347,8345191274,511933292,88.10,20260909
1305,115,4,18.10,14.00,16.30,108380,4555254702,279366703,48.07,20260909
1305,115,5,14.30,11.90,12.84,38093,1058458947,82386628,14.17,20260909
1305,115,6,14.10,12.20,13.08,36509,917806356,70161388,12.07,20260909
1305,115,7,15.00,10.60,13.24,46690,1322367472,99873858,17.18,20260909
1305,115,8,12.65,10.80,11.91,16751,383510135,32189684,5.53,20260909
1307,115,1,33.00,30.65,31.89,13947,586290921,18383659,4.62,20260909
1307,115,2,36.65,30.10,33.50,13709,738418990,22039734,5.54,20260909
1307,115,3,36.20,32.30,34.20,26942,1459247586,42659326,10.72,20260909
1307,115,4,32.90,30.90,31.74,11065,509711850,16058098,4.03,20260909
1307,115,5,33.00,30.60,31.62,12086,591133284,18690811,4.69,20260909
1307,115,6,38.30,30.80,35.07,23526,1247747100,35569904,8.94,20260909
1307,115,7,36.55,30.00,32.89,15509,758953956,23069000,5.79,20260909
1307,115,8,32.75,30.10,30.88,10099,401905487,13011828,3.27,20260909
1308,115,1,14.80,12.65,13.77,23746,720213692,52269358,8.80,20260909
1308,115,2,14.40,12.90,13.58,11455,290532243,21383494,3.60,20260909
1308,115,3,21.15,13.55,17.38,157677,7190927533,413558584,69.65,20260909
1308,115,4,19.50,14.50,16.91,86917,3604766945,213113984,35.89,20260909
1308,115,5,14.65,12.75,13.42,25798,847464079,63120034,10.63,20260909
1308,115,6,14.75,13.00,13.83,25445,796223368,57541196,9.69,20260909
1308,115,7,17.00,12.25,14.77,36068,1427117746,96597120,16.26,20260909
1308,115,8,14.50,12.35,13.63,17204,468910441,34402348,5.79,20260909
1309,115,1,13.10,10.80,12.05,18559,452326448,37515705,9.43,20260909
1309,115,2,12.80,11.45,12.18,9790,225671568,18525094,4.65,20260909
1309,115,3,26.75,12.25,18.83,152747,7867546953,417774767,105.07,20260909
1309,115,4,27.00,17.95,22.68,215301,11531097678,508240960,127.83,20260909
1309,115,5,20.20,14.50,16.93,67540,2601354500,153621327,38.63,20260909
1309,115,6,18.10,14.10,15.77,44651,1589450491,100732574,25.33,20260909
1309,115,7,16.70,12.15,15.20,52709,2038704908,134077840,33.72,20260909
1309,115,8,13.75,12.20,13.05,18313,462543181,35417142,8.90,20260909
1310,115,1,9.35,8.54,8.94,26406,583098024,65220562,12.35,20260909
1310,115,2,9.41,8.66,9.02,12324,270223531,29950390,5.67,20260909
1310,115,3,13.25,9.03,11.46,134957,5241615435,457040147,86.58,20260909
1310,115,4,11.55,9.36,10.37,56614,1781092457,171701525,32.52,20260909
1310,115,5,9.45,7.70,8.31,31312,613928432,73817894,13.98,20260909
1310,115,6,10.60,7.97,9.48,55066,1588385163,167395969,31.71,20260909
1310,115,7,12.45,7.04,10.08,71828,2306835485,228757434,43.33,20260909
1310,115,8,8.78,7.15,8.10,38347,723772477,89286369,16.91,20260909
1312,115,1,14.25,11.10,13.13,78211,3404042601,259219337,23.42,20260909
1312,115,2,14.10,12.10,13.06,30017,1153121021,88280074,7.97,20260909
