event_date,stock_id,name,last_close,ref_price,limit_up,limit_down,base_price
2019-09-09,6548,長科*,312.00,31.20,34.30,28.10,31.20
2022-08-29,6613,朋億*,169.00,84.50,92.90,76.10,84.50
2022-09-05,6548,長科*,90.60,36.24,39.85,32.65,36.25
2022-09-19,5536,聖暉*,206.00,103.00,113.00,92.70,103.00
2022-12-12,3093,港建*,109.50,27.38,30.10,24.65,27.40
2024-09-09,6763,綠界科技*,491.00,49.10,54.00,44.20,49.10
2024-09-09,8932,智通*,169.50,84.75,93.20,76.30,84.80
2024-12-09,5278,尚凡*,319.50,31.95,35.10,28.80,31.95
2025-03-31,5314,世紀*,1390.00,69.50,76.40,62.60,69.50
2026-03-09,8932,智通*,199.50,99.75,109.50,89.80,99.80
2026-04-13,8937,合騏*,145.50,36.38,40.00,32.75,36.40
2026-04-20,3086,華義*,325.00,32.50,35.75,29.25,32.50
2026-08-10,5904,寶雅*,720.00,72.00,79.20,64.80,72.00
2026-08-31,4747,強生*,56.50,28.25,31.05,25.45,28.25
