date,stock_id,name,last_close,ref_price,limit_up,limit_down,open_base,ratio,par_before,par_after,halt_date
2019-09-09,6548,長科*,312.0,31.2,34.3,28.1,31.2,10.0,10.0,1.0,2019-08-29
2022-08-29,6613,朋億*,169.0,84.5,92.9,76.1,84.5,2.0,10.0,5.0,2022-08-18
2022-09-05,6548,長科*,90.6,36.24,39.85,32.65,36.25,2.5,1.0,0.4,2022-08-25
2022-09-19,5536,聖暉*,206.0,103.0,113.0,92.7,103.0,2.0,10.0,5.0,2022-09-07
2022-12-12,3093,港建*,109.5,27.38,30.1,24.65,27.4,4.0,10.0,2.5,2022-12-01
2024-09-09,6763,綠界科技*,491.0,49.1,54.0,44.2,49.1,10.0,10.0,1.0,2024-08-29
2024-09-09,8932,智通*,169.5,84.75,93.2,76.3,84.8,2.0,10.0,5.0,2024-08-29
2024-12-09,5278,尚凡*,319.5,31.95,35.1,28.8,31.95,10.0,10.0,1.0,2024-11-28
2025-03-31,5314,世紀*,1390.0,69.5,76.4,62.6,69.5,20.0,10.0,0.5,2025-03-20
2026-03-09,8932,智通*,199.5,99.75,109.5,89.8,99.8,2.0,5.0,2.5,2026-02-25
2026-04-13,8937,合騏*,145.5,36.38,40.0,32.75,36.4,4.0,10.0,2.5,2026-04-01
2026-04-20,3086,華義*,325.0,32.5,35.75,29.25,32.5,10.0,10.0,1.0,2026-04-09
2026-08-10,5904,寶雅*,720.0,72.0,79.2,64.8,72.0,10.0,10.0,1.0,2026-07-30
2026-08-31,4747,強生*,56.5,28.25,31.05,25.45,28.25,2.0,10.0,5.0,2026-08-20
