date,stock_id,name,last_close,ref_price,factor,reason,shares_per_1000,cash_return,factor_official,asof
2013-01-16,6248,沛波,4.21,6.92,1.64370546,彌補虧損,607.982470,0.00000000,1.64478426,2026-09-12
2013-02-06,3252,海灣,13.55,23.71,1.74981550,彌補虧損,571.428570,0.00000000,1.75000000,2026-09-12
2013-08-22,6287,元隆,3.00,5.77,1.92333333,彌補虧損,519.857400,0.00000000,1.92360443,2026-09-12
2013-09-14,6291,沛亨,2.00,4.00,2.00000000,彌補虧損,500.000000,0.00000000,2.00000000,2026-09-12
2013-09-26,5701,劍湖山,3.55,6.60,1.85915493,彌補虧損,538.277300,0.00000000,1.85777851,2026-09-12
2013-10-07,3071,協禧,7.44,6.86,0.92204301,現金減資,816.173000,1.83827000,0.92250136,2026-09-12
2013-10-07,3073,普格,6.35,15.34,2.41574803,彌補虧損,414.063950,0.00000000,2.41508588,2026-09-12
2013-10-07,4703,揚華,20.50,26.28,1.28195122,彌補虧損,780.000000,0.00000000,1.28205128,2026-09-12
2013-10-07,5523,宏都,12.45,19.49,1.56546185,彌補虧損,638.646000,0.00000000,1.56581267,2026-09-12
2013-10-07,5601,台聯櫃,29.30,31.44,1.07303754,現金減資,900.000000,1.00000000,1.07318923,2026-09-12
2013-10-18,8941,關中,3.10,31.00,10.00000000,彌補虧損,100.000000,0.00000000,10.00000000,2026-09-12
2013-10-31,8433,弘帆,40.50,48.13,1.18839506,現金減資,800.000000,2.00000000,1.18827160,2026-09-12
2013-11-04,8935,邦泰,4.78,8.02,1.67782427,彌補虧損,595.864960,0.00000000,1.67823260,2026-09-12
2013-11-25,5321,友銓,6.49,20.28,3.12480740,彌補虧損,320.000000,0.00000000,3.12500000,2026-09-12
2013-11-28,6198,凌泰,8.73,15.45,1.76975945,彌補虧損,565.000310,0.00000000,1.76991053,2026-09-12
2013-12-09,8066,來思達,19.25,37.02,1.92311688,彌補虧損,520.000000,0.00000000,1.92307692,2026-09-12
2013-12-10,5364,易福,1.15,46.04,40.03478261,彌補虧損,24.979000,0.00000000,40.03362825,2026-09-12
2013-12-20,6246,臺龍,5.00,6.54,1.30800000,彌補虧損,765.029180,0.00000000,1.30713968,2026-09-12
2013-12-23,4530,宏易,2.20,6.11,2.77727273,彌補虧損,360.000000,0.00000000,2.77777778,2026-09-12
2014-01-06,3224,三顧,19.80,27.72,1.40000000,彌補虧損,714.218560,0.00000000,1.40013163,2026-09-12
2014-02-21,1799,紅電醫,24.25,31.84,1.31298969,彌補虧損,761.580910,0.00000000,1.31305812,2026-09-12
2014-02-24,6179,世仰,12.25,18.94,1.54612245,彌補虧損,646.861540,0.00000000,1.54592589,2026-09-12
2014-02-24,6199,精威,14.50,22.07,1.52206897,彌補虧損,657.000000,0.00000000,1.52207002,2026-09-12
2014-02-25,5205,漢康,5.95,14.88,2.50084034,彌補虧損,400.000000,0.00000000,2.50000000,2026-09-12
2014-04-11,6242,亨豐,7.10,26.52,3.73521127,彌補虧損,267.760960,0.00000000,3.73467439,2026-09-12
2014-04-30,5301,寶得利,64.40,87.05,1.35170807,彌補虧損,739.785230,0.00000000,1.35174367,2026-09-12
2014-05-12,8266,中日新,8.00,20.71,2.58875000,彌補虧損,386.286480,0.00000000,2.58875226,2026-09-12
2014-08-15,8928,鉅明,27.00,33.75,1.25000000,彌補虧損,799.999990,0.00000000,1.25000002,2026-09-12
2014-08-25,5315,光聯,4.33,6.45,1.48960739,彌補虧損,671.617300,0.00000000,1.48894318,2026-09-12
2014-08-29,5371,中光電,39.60,49.47,1.24924242,現金減資,750.000000,2.50000000,1.24915825,2026-09-12
2014-09-15,3555,擎泰,7.47,12.08,1.61713521,彌補虧損,618.459000,0.00000000,1.61692206,2026-09-12
2014-09-22,3095,及成,3.05,6.35,2.08196721,彌補虧損,480.396160,0.00000000,2.08161531,2026-09-12
2014-09-30,6138,茂達,28.30,34.26,1.21060071,現金減資,754.349500,2.45650500,1.21057640,2026-09-12
2014-09-30,8942,森鉅,69.00,79.38,1.15043478,現金減資,850.363890,1.49636108,1.15046466,2026-09-12
2014-10-06,8043,蜜望實,17.40,18.51,1.06379310,現金減資,870.000000,1.30000000,1.06354869,2026-09-12
2014-10-09,6240,松崗,17.20,46.69,2.71453488,彌補虧損,368.400000,0.00000000,2.71444083,2026-09-12
2014-10-20,8077,冠華,5.37,21.06,3.92178771,彌補虧損,255.000000,0.00000000,3.92156863,2026-09-12
2014-10-24,4907,富宇,11.00,15.48,1.40727273,彌補虧損,710.450800,0.00000000,1.40755700,2026-09-12
2014-10-27,8107,大億科,13.40,22.21,1.65746269,彌補虧損,603.409450,0.00000000,1.65724948,2026-09-12
2014-11-07,3629,卓韋,2.87,5.22,1.81881533,彌補虧損,550.000000,0.00000000,1.81818182,2026-09-12
2014-11-14,4402,福大,4.24,8.76,2.06603774,彌補虧損,484.166160,0.00000000,2.06540664,2026-09-12
2014-11-27,3086,華義,9.90,12.33,1.24545455,彌補虧損,802.855820,0.00000000,1.24555365,2026-09-12
2014-11-27,5465,富驊,10.45,11.26,1.07751196,彌補虧損,928.240250,0.00000000,1.07730730,2026-09-12
2014-11-28,6248,沛波,8.30,27.67,3.33373494,彌補虧損,300.000000,0.00000000,3.33333333,2026-09-12
2014-12-01,3066,李洲,5.52,10.04,1.81884058,彌補虧損,550.000000,0.00000000,1.81818182,2026-09-12
2014-12-12,6199,精威,17.40,18.91,1.08678161,彌補虧損,920.100000,0.00000000,1.08683839,2026-09-12
2014-12-15,3431,長天,11.35,19.15,1.68722467,彌補虧損,592.751390,0.00000000,1.68704792,2026-09-12
2014-12-26,8047,星雲,12.40,12.98,1.04677419,現金減資,804.766980,1.95233020,1.04695401,2026-09-12
2014-12-30,5455,訊利電,1.97,13.13,6.66497462,彌補虧損,150.000010,0.00000000,6.66666622,2026-09-12
