stock_id,event_date,prev_trade_date,prev_close,close,ratio,shares_before,shares_after,share_mult,evidence,in_universe
6548,2019-09-09,2019-08-28,312,34.3,0.109936,36413105,364131050,10.0000,shares_int_mult,1
8070,2020-08-17,2020-08-05,190,20.9,0.110000,,,,price_name_gap,1
6531,2021-10-18,2021-10-06,750,377.5,0.503333,,,,price_name_gap,1
6415,2022-07-13,2022-07-05,2485,560,0.225352,,,,price_name_gap,1
6613,2022-08-29,2022-08-17,169,92,0.544379,33928000,67856000,2.0000,shares_int_mult,1
6548,2022-09-05,2022-08-24,90.6,36.65,0.404525,384198680,960496700,2.5000,shares_int_mult,1
5536,2022-09-19,2022-09-06,206,106,0.514563,57303995,114607990,2.0000,shares_int_mult,1
3093,2022-12-12,2022-11-30,109.5,27.8,0.253881,36288894,145155576,4.0000,shares_int_mult,1
6763,2024-09-09,2024-08-28,491,46.6,0.094908,18403913,184039130,10.0000,shares_int_mult,1
8932,2024-09-09,2024-08-28,169.5,82.8,0.488496,79551484,159102968,2.0000,shares_int_mult,1
8476,2024-11-11,2024-10-30,58.8,29.85,0.507653,,,,price_name_gap,1
5278,2024-12-09,2024-11-27,319.5,35.1,0.109859,30000000,300000000,10.0000,shares_int_mult,1
5314,2025-03-31,2025-03-19,1390,75.8,0.054532,14700000,294000000,20.0000,shares_int_mult,1
4763,2025-06-30,2025-06-18,885,90.5,0.102260,,,,price_name_gap,1
6919,2025-07-21,2025-07-11,1215,133.5,0.109877,,,,price_name_gap,1
2327,2025-08-25,2025-08-13,546,143,0.261905,,,,price_name_gap,1
8422,2025-11-17,2025-11-05,250,24.7,0.098800,,,,price_name_gap,1
7780,2026-01-19,2026-01-08,185,20.35,0.110000,,,,price_name_gap,1
8932,2026-03-09,2026-02-24,199.5,89.8,0.450125,178981642,357963284,2.0000,shares_int_mult,1
8937,2026-04-13,2026-03-31,145.5,38,0.261168,107920068,431680272,4.0000,shares_int_mult,1
3086,2026-04-20,2026-04-08,325,35.75,0.110000,27271051,272710510,10.0000,shares_int_mult,1
5904,2026-08-10,2026-07-29,720,79.2,0.110000,106443826,1064438260,10.0000,shares_int_mult,1
4747,2026-08-31,2026-08-19,56.5,27.35,0.484071,45461032,90922064,2.0000,shares_int_mult,1
6949,2026-09-07,2026-08-26,1490,67.1,0.045034,,,,price_name_gap,1
