date,stock_id,name,shares,close,mktval_m,asof
2026-09-10,1240,茂生農經,46443992,55.30,2568,2026-09-11
2026-09-10,1259,安心,32389500,65.20,2111,2026-09-11
2026-09-10,1264,德麥,37052367,249.00,9226,2026-09-11
2026-09-10,1268,漢來美食,42223730,172.50,7283,2026-09-11
2026-09-10,1294,漢田生技,36625875,53.00,1941,2026-09-11
2026-09-10,1295,生合,37599800,45.50,1710,2026-09-11
2026-09-10,1336,台翰,77614419,16.55,1284,2026-09-11
2026-09-10,1565,精華光學,50416516,98.20,4950,2026-09-11
2026-09-10,1569,濱川企業,144247441,48.85,7046,2026-09-11
2026-09-10,1570,力肯實業,51500839,32.10,1653,2026-09-11
2026-09-10,1580,新麥,49339242,98.50,4859,2026-09-11
2026-09-10,1584,精剛精密,232470533,17.85,4149,2026-09-11
2026-09-10,1586,和勤,129500467,18.10,2343,2026-09-11
2026-09-10,1591,駿吉-KY,38048047,36.50,1388,2026-09-11
2026-09-10,1593,祺驊,39784772,31.45,1251,2026-09-11
2026-09-10,1595,川寶,57724656,63.30,3653,2026-09-11
2026-09-10,1599,宏佳騰,73028764,23.25,1697,2026-09-11
2026-09-10,1742,台蠟,92671300,17.60,1631,2026-09-11
2026-09-10,1777,生泰合成,44591713,74.90,3339,2026-09-11
2026-09-10,1780,立弘,109075173,24.80,2705,2026-09-11
2026-09-10,1781,合世生醫,47407605,10.10,478,2026-09-11
2026-09-10,1784,訊聯,53121191,59.00,3134,2026-09-11
2026-09-10,1785,光洋科技,595980243,98.30,58584,2026-09-11
2026-09-10,1788,杏昌生技,44520971,128.00,5698,2026-09-11
2026-09-10,1796,金穎生技,41459793,29.75,1233,2026-09-11
2026-09-10,1799,易威,248775894,29.80,7413,2026-09-11
2026-09-10,1813,寶利徠,46635510,11.35,529,2026-09-11
2026-09-10,1815,富喬,614703462,126.00,77452,2026-09-11
2026-09-10,2035,唐榮公司,350000000,27.75,9712,2026-09-11
2026-09-10,2061,風青,57378052,48.25,2768,2026-09-11
2026-09-10,2063,世鎧精密,48101453,23.95,1152,2026-09-11
2026-09-10,2064,晉椿,69330000,12.25,849,2026-09-11
2026-09-10,2065,世豐,63516707,35.85,2277,2026-09-11
2026-09-10,2066,世德,44449527,52.70,2342,2026-09-11
2026-09-10,2067,嘉鋼,45138177,4.74,213,2026-09-11
2026-09-10,2070,精湛,41782800,61.90,2586,2026-09-11
2026-09-10,2073,雄順,27500000,26.60,731,2026-09-11
2026-09-10,2221,大甲,42325000,96.50,4084,2026-09-11
2026-09-10,2230,泰茂,68029605,22.20,1510,2026-09-11
2026-09-10,2235,謚源,35878000,28.30,1015,2026-09-11
2026-09-10,2596,綠意開發,100000000,35.25,3525,2026-09-11
2026-09-10,2640,大車隊,59264956,155.00,9186,2026-09-11
2026-09-10,2641,正德,330333744,17.85,5896,2026-09-11
2026-09-10,2643,捷迅,35000000,62.90,2201,2026-09-11
2026-09-10,2718,全心投控,87576000,40.60,3555,2026-09-11
2026-09-10,2719,燦星旅,69182500,19.35,1338,2026-09-11
2026-09-10,2724,藝舍-KY,59656345,10.70,638,2026-09-11
2026-09-10,2726,雅茗-KY,37922454,8.05,305,2026-09-11
2026-09-10,2729,瓦城,43040783,155.00,6671,2026-09-11
2026-09-10,2732,六角,46518570,62.80,2921,2026-09-11
2026-09-10,2734,易飛網,57259760,14.60,835,2026-09-11
2026-09-10,2736,富野,79972230,11.45,915,2026-09-11
2026-09-10,2740,華軒,16762016,31.25,523,2026-09-11
2026-09-10,2743,山富,46815210,52.70,2467,2026-09-11
2026-09-10,2745,五福,33808526,86.80,2934,2026-09-11
2026-09-10,2751,王座,19844500,53.30,1057,2026-09-11
2026-09-10,2752,豆府,26693861,179.50,4791,2026-09-11
2026-09-10,2754,亞洲藏壽司,46907000,69.40,3255,2026-09-11
2026-09-10,2755,揚秦,46799854,98.70,4619,2026-09-11
2026-09-10,2756,聯發國際,24597584,64.00,1574,2026-09-11
2026-09-10,2916,滿心企業,64626878,40.10,2591,2026-09-11
2026-09-10,2924,宏太-KY,52035934,17.00,884,2026-09-11
2026-09-10,2926,誠品生活,47389650,30.00,1421,2026-09-11
2026-09-10,2937,集雅社,47896173,43.50,2083,2026-09-11
2026-09-10,2941,米斯特,15390000,31.70,487,2026-09-11
2026-09-10,2947,振宇五金,23642366,61.80,1461,2026-09-11
2026-09-10,2948,寶陞,32000000,38.30,1225,2026-09-11
2026-09-10,2949,欣新網,30641100,63.70,1951,2026-09-11
2026-09-10,3064,泰偉電子,13011451,18.20,236,2026-09-11
2026-09-10,3066,李洲科技,83070612,23.90,1985,2026-09-11
2026-09-10,3067,全域,20000000,16.50,330,2026-09-11
2026-09-10,3071,協禧電機,110000000,23.25,2557,2026-09-11
2026-09-10,3073,天方能源,39511028,22.40,885,2026-09-11
2026-09-10,3078,僑威科技,227391064,43.55,9902,2026-09-11
2026-09-10,3081,聯亞,101769004,2830.00,288006,2026-09-11
2026-09-10,3083,中華網龍,86486858,22.75,1967,2026-09-11
2026-09-10,3085,新零售,69019288,11.60,800,2026-09-11
2026-09-10,3086,華義*,272710510,29.40,8017,2026-09-11
2026-09-10,3088,艾訊,111071218,126.00,13994,2026-09-11
2026-09-10,3093,港建*,145155576,44.60,6473,2026-09-11
2026-09-10,3095,及成,10000000,35.15,351,2026-09-11
2026-09-10,3105,穩懋,423940384,461.50,195648,2026-09-11
2026-09-10,3114,好德科技,67722584,30.30,2051,2026-09-11
2026-09-10,3115,富榮綱,72197615,8.73,630,2026-09-11
2026-09-10,3118,進階,32452860,31.40,1019,2026-09-11
2026-09-10,3122,笙泉,40771918,24.25,988,2026-09-11
2026-09-10,3128,昇銳,50156538,19.90,998,2026-09-11
2026-09-10,3131,弘塑科技,29903550,2460.00,73562,2026-09-11
2026-09-10,3141,晶宏,75460728,92.10,6949,2026-09-11
2026-09-10,3147,大綜,43686831,223.50,9764,2026-09-11
2026-09-10,3152,璟德電子,39016200,226.00,8817,2026-09-11
2026-09-10,3158,嘉實,30665925,84.00,2575,2026-09-11
2026-09-10,3162,精確,154341112,70.80,10927,2026-09-11
2026-09-10,3163,波若威,94635370,707.00,66907,2026-09-11
2026-09-10,3169,亞信電子,63306981,101.50,6425,2026-09-11
2026-09-10,3171,炎洲流通,33118158,60.00,1987,2026-09-11
2026-09-10,3176,基亞,139306755,34.95,4868,2026-09-11
2026-09-10,3178,公準,45050000,60.30,2716,2026-09-11
2026-09-10,3188,鑫龍騰,189087767,23.90,4519,2026-09-11
2026-09-10,3191,雲嘉南,43597381,16.60,723,2026-09-11
2026-09-10,3205,佰研生化,67545631,47.35,3198,2026-09-11
2026-09-10,3206,志豐電子,58916621,35.20,2073,2026-09-11
2026-09-10,3207,耀勝電子,66422124,38.40,2550,2026-09-11
2026-09-10,3211,順達科技,154394021,374.00,57743,2026-09-11
2026-09-10,3213,茂訊電腦,58685547,122.50,7188,2026-09-11
2026-09-10,3217,優群科技,90104203,127.50,11488,2026-09-11
2026-09-10,3218,大學光學,84724899,137.00,11607,2026-09-11
2026-09-10,3219,倚強科,71780880,88.30,6338,2026-09-11
2026-09-10,3221,台灣嘉碩,104989210,47.45,4981,2026-09-11
2026-09-10,3224,三顧,78172648,33.40,2610,2026-09-11
2026-09-10,3226,龍鋒,64430573,55.80,3595,2026-09-11
2026-09-10,3227,原相科技,151912842,183.50,27876,2026-09-11
2026-09-10,3228,金麗科,71937495,169.50,12193,2026-09-11
2026-09-10,3230,錦明實業,86010900,42.25,3633,2026-09-11
2026-09-10,3232,昱捷,46567865,19.50,908,2026-09-11
2026-09-10,3234,光環,126474692,195.00,24662,2026-09-11
2026-09-10,3236,千如電機,105000613,45.00,4725,2026-09-11
2026-09-10,3252,海灣,50195754,15.40,773,2026-09-11
2026-09-10,3259,鑫創科技,72965934,11.10,809,2026-09-11
2026-09-10,3260,威剛科技,334463418,407.00,136126,2026-09-11
2026-09-10,3264,欣銓科技,490170076,240.00,117640,2026-09-11
2026-09-10,3265,台星科,136261659,171.00,23300,2026-09-11
2026-09-10,3268,海德威,34720796,17.80,618,2026-09-11
2026-09-10,3272,東碩,61176789,14.30,874,2026-09-11
2026-09-10,3276,宇環科技,69712666,14.35,1000,2026-09-11
2026-09-10,3284,太普高,108627709,19.90,2161,2026-09-11
2026-09-10,3285,微端,42735324,40.70,1739,2026-09-11
2026-09-10,3287,廣寰科,43970483,35.70,1569,2026-09-11
2026-09-10,3288,點晶科技,16380000,20.35,333,2026-09-11
2026-09-10,3289,宜特科技,86746371,138.00,11970,2026-09-11
2026-09-10,3290,東浦,90215034,46.35,4181,2026-09-11
2026-09-10,3293,鈊象電子,281801560,704.00,198388,2026-09-11
2026-09-10,3294,英濟,132015919,29.35,3874,2026-09-11
2026-09-10,3297,杭特電子,36049445,26.90,969,2026-09-11
2026-09-10,3303,岱稜,94090607,49.00,4610,2026-09-11
2026-09-10,3306,鼎天國際,50607702,44.75,2264,2026-09-11
2026-09-10,3310,佳穎精密,74948402,67.50,5059,2026-09-11
2026-09-10,3313,斐成,221133831,10.80,2388,2026-09-11
2026-09-10,3317,尼克森,90000000,56.00,5040,2026-09-11
2026-09-10,3322,建舜電子,137582157,11.20,1540,2026-09-11
2026-09-10,3323,加百裕,99593385,27.05,2694,2026-09-11
2026-09-10,3324,雙鴻科技,93076837,1440.00,134030,2026-09-11
2026-09-10,3325,旭品,110168610,11.25,1239,2026-09-11
2026-09-10,3332,幸康電子,48104246,62.50,3006,2026-09-11
2026-09-10,3339,泰谷光電,66568300,43.65,2905,2026-09-11
2026-09-10,3349,寶德,47821648,20.50,980,2026-09-11
2026-09-10,3354,律勝,70112426,30.45,2134,2026-09-11
2026-09-10,3357,臺慶科,117930191,207.00,24411,2026-09-11
2026-09-10,3360,尚立,76402244,14.65,1119,2026-09-11
2026-09-10,3362,先進光,147445475,182.50,26908,2026-09-11
2026-09-10,3363,上詮,113640567,714.00,81139,2026-09-11
2026-09-10,3372,典範,235324000,14.40,3388,2026-09-11
2026-09-10,3373,熱映光電,47618782,16.00,761,2026-09-11
2026-09-10,3374,精材,271364316,488.00,132425,2026-09-11
2026-09-10,3379,彬台,38041748,26.90,1023,2026-09-11
2026-09-10,3388,崇越電通,81124504,83.10,6741,2026-09-11
2026-09-10,3390,旭軟電子,79329659,21.80,1729,2026-09-11
2026-09-10,3402,漢科,73047692,124.50,9094,2026-09-11
2026-09-10,3430,奇鈦科,33716085,103.50,3489,2026-09-11
2026-09-10,3434,哲固資訊,35754740,29.05,1038,2026-09-11
2026-09-10,3438,類比科,47165815,61.90,2919,2026-09-11
2026-09-10,3441,聯一光,40039920,151.00,6046,2026-09-11
2026-09-10,3444,利機企業,44996877,81.40,3662,2026-09-11
2026-09-10,3455,由田新技,59850750,229.00,13705,2026-09-11
2026-09-10,3465,進泰電子,42329862,29.20,1236,2026-09-11
2026-09-10,3466,德晉,77892073,24.95,1943,2026-09-11
2026-09-10,3467,台灣精材,31106569,53.30,1657,2026-09-11
2026-09-10,3479,安勤,73026088,133.00,9712,2026-09-11
2026-09-10,3483,力致科技,99049257,76.80,7606,2026-09-11
2026-09-10,3484,崧騰,78828189,44.70,3523,2026-09-11
2026-09-10,3485,敘豐,38500850,199.50,7680,2026-09-11
2026-09-10,3489,森寶,90452155,22.20,2008,2026-09-11
2026-09-10,3490,單井,55006435,40.85,2247,2026-09-11
2026-09-10,3491,昇達科技,68805125,1355.00,93230,2026-09-11
2026-09-10,3492,長盛,35531600,19.30,685,2026-09-11
2026-09-10,3498,陽程,61273008,191.00,11703,2026-09-11
2026-09-10,3499,環天科技,54970596,13.45,739,2026-09-11
2026-09-10,3508,位速,108866737,20.90,2275,2026-09-11
2026-09-10,3511,矽瑪科技,79972945,19.15,1531,2026-09-11
2026-09-10,3512,皇龍,113072372,19.20,2170,2026-09-11
2026-09-10,3516,亞帝歐,59560874,25.70,1530,2026-09-11
2026-09-10,3520,華盈,68846778,17.45,1201,2026-09-11
2026-09-10,3521,台鋼建設,185765552,12.05,2238,2026-09-11
2026-09-10,3522,御嵿,104096209,12.10,1259,2026-09-11
2026-09-10,3523,迎輝科技,64257868,14.60,938,2026-09-11
2026-09-10,3526,凡甲科技,67302693,273.00,18373,2026-09-11
2026-09-10,3527,聚積,44445125,49.40,2195,2026-09-11
2026-09-10,3529,力旺電子,74686492,2730.00,203894,2026-09-11
2026-09-10,3531,先益電子,61175011,21.35,1306,2026-09-11
2026-09-10,3537,堡達,56242979,53.10,2986,2026-09-11
2026-09-10,3540,曜越,84458548,22.30,1883,2026-09-11
2026-09-10,3541,西柏科技,56349142,22.00,1239,2026-09-11
2026-09-10,3546,宇峻奧汀,61348690,73.90,4533,2026-09-11
2026-09-10,3548,兆利科技,67744175,81.50,5521,2026-09-11
2026-09-10,3551,世禾科技,62274890,177.50,11053,2026-09-11
2026-09-10,3552,同致電子,97918334,42.05,4117,2026-09-11
2026-09-10,3555,博士旺,39998797,189.50,7579,2026-09-11
2026-09-10,3556,禾瑞亞,63702844,56.20,3580,2026-09-11
2026-09-10,3558,神準,59060881,120.50,7116,2026-09-11
2026-09-10,3564,其陽,59123100,47.30,2796,2026-09-11
2026-09-10,3567,逸昌,33954000,25.25,857,2026-09-11
2026-09-10,3570,大塚資訊,17097000,163.00,2786,2026-09-11
2026-09-10,3577,泓格科技,63965653,109.00,6972,2026-09-11
2026-09-10,3580,友威科,39470657,86.20,3402,2026-09-11
2026-09-10,3581,博磊,51006000,100.50,5126,2026-09-11
2026-09-10,3587,閎康科技,71684696,245.00,17562,2026-09-11
2026-09-10,3594,磐儀,95948358,46.35,4447,2026-09-11
2026-09-10,3597,映興,39236440,26.80,1051,2026-09-11
2026-09-10,3609,三一東林,38419387,19.20,737,2026-09-11
2026-09-10,3611,鼎翰科技,47554634,183.00,8702,2026-09-11
2026-09-10,3615,安可光電,68466976,35.10,2403,2026-09-11
2026-09-10,3623,富晶通,29185946,27.10,790,2026-09-11
2026-09-10,3624,光頡科技,117340842,113.50,13318,2026-09-11
2026-09-10,3625,西勝,114246765,12.15,1388,2026-09-11
2026-09-10,3628,盈正,45000000,76.30,3433,2026-09-11
2026-09-10,3629,地心引力,32954782,19.95,657,2026-09-11
2026-09-10,3630,新鉅科,204191848,26.50,5411,2026-09-11
2026-09-10,3631,晟楠,81820909,39.05,3195,2026-09-11
2026-09-10,3632,研勤科技,40889738,7.11,290,2026-09-11
2026-09-10,3646,艾恩特,39297371,24.20,950,2026-09-11
2026-09-10,3663,鑫科,108494074,60.00,6509,2026-09-11
2026-09-10,3664,安瑞-KY,75945377,7.58,575,2026-09-11
2026-09-10,3666,光耀,138949850,25.00,3473,2026-09-11
2026-09-10,3672,康聯訊,40790375,11.75,479,2026-09-11
2026-09-10,3675,德微,53057923,269.00,14272,2026-09-11
2026-09-10,3680,家登,96211690,535.00,51473,2026-09-11
2026-09-10,3684,榮昌,30309737,54.00,1636,2026-09-11
2026-09-10,3685,元創精密,79574000,36.85,2932,2026-09-11
2026-09-10,3687,歐買尬,30124059,62.60,1885,2026-09-11
2026-09-10,3689,湧德,89508815,110.00,9845,2026-09-11
2026-09-10,3691,碩禾,91883420,97.30,8940,2026-09-11
2026-09-10,3693,營邦,42990694,691.00,29706,2026-09-11
2026-09-10,3707,漢磊,400746192,61.80,24766,2026-09-11
2026-09-10,3709,鑫聯大投控,145569450,63.00,9170,2026-09-11
2026-09-10,3713,新晶投控,88099380,14.50,1277,2026-09-11
2026-09-10,3718,中光電投控,390981110,65.60,25648,2026-09-11
2026-09-10,4102,永日化工,42373443,18.55,786,2026-09-11
2026-09-10,4105,東洋藥品,248649959,77.40,19245,2026-09-11
2026-09-10,4107,邦特生技,69298336,113.00,7830,2026-09-11
2026-09-10,4109,加捷生醫,118736681,11.00,1306,2026-09-11
2026-09-10,4111,濟生,59832135,28.95,1732,2026-09-11
2026-09-10,4113,聯上實業,231138137,15.65,3617,2026-09-11
2026-09-10,4114,健喬信元,550429688,29.75,16375,2026-09-11
2026-09-10,4116,明基醫,44566000,39.90,1778,2026-09-11
2026-09-10,4120,友華生技,86747119,46.00,3990,2026-09-11
2026-09-10,4121,優盛醫學,83111045,12.65,1051,2026-09-11
2026-09-10,4123,晟德,807456341,30.35,24506,2026-09-11
2026-09-10,4126,太平洋醫,72600000,77.60,5633,2026-09-11
2026-09-10,4127,天良,45760000,62.60,2864,2026-09-11
2026-09-10,4128,中天生技,588170597,14.70,8646,2026-09-11
2026-09-10,4129,聯合骨科,96437650,83.00,8004,2026-09-11
2026-09-10,4131,浩泰,39879000,31.20,1244,2026-09-11
2026-09-10,4138,曜亞國際,39930000,52.90,2112,2026-09-11
2026-09-10,4139,馬光-KY,45009911,41.00,1845,2026-09-11
2026-09-10,4147,中裕,273202425,61.60,16829,2026-09-11
2026-09-10,4153,鈺緯,58668197,32.55,1909,2026-09-11
2026-09-10,4154,樂威科-KY,38390000,12.20,468,2026-09-11
2026-09-10,4157,太景*-KY,711833575,8.86,6306,2026-09-11
2026-09-10,4160,訊聯基因,28013734,38.90,1089,2026-09-11
2026-09-10,4161,聿新科,59808204,22.45,1342,2026-09-11
2026-09-10,4162,智擎,143677640,54.80,7873,2026-09-11
2026-09-10,4163,鐿鈦,50679643,129.00,6537,2026-09-11
2026-09-10,4166,友霖,243035089,23.85,5796,2026-09-11
2026-09-10,4167,松瑞藥,331554307,19.10,6332,2026-09-11
2026-09-10,4168,醣聯,112521318,21.60,2430,2026-09-11
2026-09-10,4171,瑞基,58057469,16.60,963,2026-09-11
2026-09-10,4173,久裕,74574355,17.10,1275,2026-09-11
2026-09-10,4174,浩鼎,131579687,26.15,3440,2026-09-11
2026-09-10,4175,杏一,42323307,51.00,2158,2026-09-11
2026-09-10,4183,福永生技,23800000,14.00,333,2026-09-11
2026-09-10,4188,安克,63332900,15.45,978,2026-09-11
2026-09-10,4192,杏國,35164500,18.90,664,2026-09-11
2026-09-10,4198,欣大健康,24108000,48.80,1176,2026-09-11
2026-09-10,4205,中華食品,97649228,68.90,6728,2026-09-11
2026-09-10,4207,環泰企業,198538008,19.75,3921,2026-09-11
2026-09-10,4303,信立,132447444,36.90,4887,2026-09-11
2026-09-10,4304,勝昱科技,61038065,18.00,1098,2026-09-11
2026-09-10,4305,世坤塑膠,55014000,41.90,2305,2026-09-11
2026-09-10,4401,東隆興業,122692012,13.85,1699,2026-09-11
2026-09-10,4402,郡都開發,67991830,14.30,972,2026-09-11
2026-09-10,4406,新昕纖維,51912000,10.00,519,2026-09-11
2026-09-10,4413,飛寶企業,31314689,19.10,598,2026-09-11
2026-09-10,4416,三圓建設,73586213,11.30,831,2026-09-11
2026-09-10,4417,金洲製網,83971399,47.70,4005,2026-09-11
2026-09-10,4419,皇家美食,169163133,45.30,7663,2026-09-11
2026-09-10,4420,光明,40455000,39.20,1585,2026-09-11
2026-09-10,4430,耀億,56273609,17.50,984,2026-09-11
2026-09-10,4432,銘旺實,50589000,15.65,791,2026-09-11
2026-09-10,4433,興采,61299774,18.75,1149,2026-09-11
2026-09-10,4442,竣邦-KY,32739154,54.00,1767,2026-09-11
2026-09-10,4502,健信科技,57469686,15.80,908,2026-09-11
2026-09-10,4503,金雨企業,78313326,23.15,1812,2026-09-11
2026-09-10,4506,崇友實業,177012000,121.00,21418,2026-09-11
2026-09-10,4510,高鋒工業,108977724,43.80,4773,2026-09-11
2026-09-10,4513,福裕事業,143761921,15.50,2228,2026-09-11
2026-09-10,4523,永彰,64949000,24.55,1594,2026-09-11
2026-09-10,4527,方土霖,76152370,40.75,3103,2026-09-11
2026-09-10,4528,江興鍛壓,84165695,14.90,1254,2026-09-11
2026-09-10,4529,淳紳,84549096,3.73,315,2026-09-11
2026-09-10,4530,天意能創,35794959,25.80,923,2026-09-11
2026-09-10,4533,協易機械,178434110,24.85,4434,2026-09-11
2026-09-10,4534,慶騰精密,86788948,29.30,2542,2026-09-11
2026-09-10,4535,至興精機,75661740,28.00,2118,2026-09-11
2026-09-10,4538,大詠城,59469604,17.60,1046,2026-09-11
2026-09-10,4541,晟田,72647068,58.00,4213,2026-09-11
2026-09-10,4542,科嶠,35317412,276.50,9765,2026-09-11
2026-09-10,4543,萬在,62760915,28.65,1798,2026-09-11
2026-09-10,4549,桓達,58142493,96.30,5599,2026-09-11
2026-09-10,4550,長佳,37838783,23.95,906,2026-09-11
2026-09-10,4554,橙的,30276584,28.65,867,2026-09-11
2026-09-10,4556,旭然,42302840,86.00,3638,2026-09-11
2026-09-10,4558,寶緯,50000000,17.60,880,2026-09-11
2026-09-10,4561,健椿,58521619,41.20,2411,2026-09-11
2026-09-10,4563,百德,54950000,44.15,2426,2026-09-11
2026-09-10,4568,科際精密,32045125,38.50,1233,2026-09-11
2026-09-10,4577,達航科技,49137998,87.80,4314,2026-09-11
2026-09-10,4580,捷流閥業,46803109,81.10,3795,2026-09-11
2026-09-10,4584,君帆,30002400,38.05,1141,2026-09-11
2026-09-10,4609,唐鋒實業,47946820,4.20,201,2026-09-11
2026-09-10,4702,中美實,72333200,9.34,675,2026-09-11
2026-09-10,4706,大恭化學,79030093,35.85,2833,2026-09-11
2026-09-10,4707,磐亞,413808151,26.75,11069,2026-09-11
2026-09-10,4711,永純,61056000,16.65,1016,2026-09-11
2026-09-10,4714,永捷,221838188,11.00,2440,2026-09-11
2026-09-10,4716,大立,94427191,17.00,1605,2026-09-11
