減資恢復交易參考價
恢復買賣日期:102/09/01至115/09/21
恢復買賣日期,股票代號,名稱,最後交易日之收盤價格,減資恢復買賣開始日參考價格,漲停價格,跌停價格,開始交易基準價,除權參考價,減資原因
"1020914","6291","沛亨","2.00","4.00","4.28","3.72","4.00","0.00","彌補虧損"
"1020926","5701","劍湖山","3.55","6.60","7.06","6.14","6.60","0.00","彌補虧損"
"1021007","3073","普格","6.35","15.34","16.40","14.30","15.35","0.00","彌補虧損"
"1021007","3071","協禧","7.44","6.86","7.34","6.38","6.86","0.00","現金減資"
"1021007","4703","揚華","20.50","26.28","28.10","24.45","26.30","0.00","彌補虧損"
"1021007","5523","宏都","12.45","19.49","20.85","18.15","19.50","0.00","彌補虧損"
"1021007","5601","台聯櫃","29.30","31.44","33.60","29.25","31.45","0.00","現金減資"
"1021018","8941","關中","3.10","31.00","33.15","28.85","31.00","0.00","彌補虧損"
"1021031","8433","弘帆","40.50","48.13","51.40","44.80","48.15","0.00","現金減資"
"1021104","8935","邦泰","4.78","8.02","8.58","7.46","8.02","0.00","彌補虧損"
"1021125","5321","友銓","6.49","20.28","21.65","18.90","20.30","0.00","彌補虧損"
"1021128","6198","凌泰","8.73","15.45","16.50","14.40","15.45","0.00","彌補虧損"
"1021209","8066","來思達","19.25","37.02","39.60","34.45","37.00","0.00","彌補虧損"
"1021210","5364","易福","1.15","46.04","49.25","42.85","46.05","0.00","彌補虧損"
"1021220","6246","臺龍","5.00","6.54","6.99","6.09","6.54","0.00","彌補虧損"
"1021223","4530","宏易","2.20","6.11","6.53","5.69","6.11","0.00","彌補虧損"
"1030106","3224","三顧","19.80","27.72","29.65","25.80","27.70","0.00","彌補虧損"
"1030221","1799","紅電醫","24.25","31.84","34.05","29.65","31.85","0.00","彌補虧損"
"1030224","6179","世仰","12.25","18.94","20.25","17.65","18.95","0.00","彌補虧損"
"1030224","6199","精威","14.50","22.07","23.60","20.55","22.05","0.00","彌補虧損"
"1030225","5205","漢康","5.95","14.88","15.90","13.85","14.90","0.00","彌補虧損"
"1030411","6242","亨豐","7.10","26.52","28.35","24.70","26.50","0.00","彌補虧損"
"1030430","5301","寶得利","64.40","87.05","93.10","81.00","87.10","0.00","彌補虧損"
"1030512","8266","中日新","8.00","20.71","22.15","19.30","20.70","0.00","彌補虧損"
"1030815","8928","鉅明","27.00","33.75","0.00","0.00","0.00","0.00","彌補虧損"
"1030825","5315","光聯","4.33","6.45","6.90","6.00","6.45","0.00","彌補虧損"
"1030829","5371","中光電","39.60","49.47","52.90","46.05","49.45","0.00","現金減資"
"1030915","3555","擎泰","7.47","12.08","12.90","11.25","12.10","0.00","彌補虧損"
"1030922","3095","及成","3.05","6.35","6.79","5.91","6.35","0.00","彌補虧損"
"1030930","6138","茂達","28.30","34.26","36.65","31.90","34.25","0.00","現金減資"
"1030930","8942","森鉅","69.00","79.38","84.90","73.90","79.40","0.00","現金減資"
"1031006","8043","蜜望實","17.40","18.51","19.80","17.25","18.50","0.00","現金減資"
"1031009","6240","松崗","17.20","46.69","49.95","43.45","46.70","0.00","彌補虧損"
"1031020","8077","冠華","5.37","21.06","22.50","19.60","21.05","0.00","彌補虧損"
"1031024","4907","富宇","11.00","15.48","16.55","14.40","15.50","0.00","彌補虧損"
"1031027","8107","大億科","13.40","22.21","23.75","20.70","22.20","0.00","彌補虧損"
"1031107","3629","卓韋","2.87","5.22","5.58","4.86","5.22","0.00","彌補虧損"
"1031114","4402","福大","4.24","8.76","9.37","8.15","8.76","0.00","彌補虧損"
"1031127","5465","富驊","10.45","11.26","12.00","10.50","11.25","0.00","彌補虧損"
"1031127","3086","華義","9.90","12.33","13.15","11.50","12.35","0.00","彌補虧損"
"1031128","6248","沛波","8.30","27.67","29.60","25.75","27.65","0.00","彌補虧損"
"1031201","3066","李洲","5.52","10.04","10.70","9.34","10.05","0.00","彌補虧損"
"1031212","6199","精威","17.40","18.91","20.20","17.60","18.90","0.00","彌補虧損"
"1031215","3431","長天","11.35","19.15","20.45","17.85","19.15","0.00","彌補虧損"
"1031226","8047","星雲","12.40","12.98","13.85","12.10","13.00","0.00","現金減資"
"1031230","5455","訊利電","1.97","13.13","14.00","12.25","13.15","0.00","彌補虧損"
"1040130","4131","晶宇","9.95","12.56","13.40","11.70","12.55","0.00","彌補虧損"
"1040210","8111","立碁","5.41","6.86","7.34","6.38","6.86","0.00","彌補虧損"
"1040313","3465","祥業","4.82","8.05","8.61","7.49","8.05","0.00","彌補虧損"
"1040320","6103","合邦","4.39","9.72","10.40","9.04","9.72","0.00","彌補虧損"
"1040327","4419","松懋","4.77","7.95","8.50","7.40","7.95","0.00","彌補虧損"
"1040428","4304","勝昱","11.10","16.02","17.10","14.90","16.00","0.00","彌補虧損"
"1040508","4413","飛寶","6.05","20.17","21.55","18.80","20.15","0.00","彌補虧損"
"1040828","3105","穩懋","27.50","31.87","35.05","28.70","31.85","0.00","現金減資"
"1040902","4107","邦特","82.10","100.05","110.00","90.10","100.00","0.00","現金減資"
"1040921","3555","擎泰","3.07","8.38","9.21","7.55","8.38","0.00","彌補虧損"
"1041006","6150","撼訊","5.46","7.64","8.40","6.88","7.64","0.00","彌補虧損"
"1041021","5403","中菲","20.35","22.18","24.35","20.00","22.20","0.00","現金減資"
"1041022","6156","松上","9.26","11.99","13.15","10.80","12.00","0.00","彌補虧損"
"1041106","6194","育富","18.30","20.38","22.40","18.35","20.40","0.00","現金減資"
"1041117","3434","哲固","9.01","13.02","14.30","11.75","13.00","0.00","彌補虧損"
"1041123","4502","源恆","8.80","24.44","26.85","22.00","24.45","0.00","彌補虧損"
"1041127","3629","卓韋","8.50","17.64","19.40","15.90","17.65","0.00","彌補虧損"
"1041231","3141","晶宏","19.30","25.41","27.95","22.90","25.40","0.00","現金減資"
"1041231","6248","沛波","22.85","25.44","27.95","22.90","25.45","0.00","彌補虧損"
"1050108","3623","富晶通","43.80","66.00","72.60","59.40","66.00","0.00","現金減資"
"1050224","6264","富裔","6.24","9.94","10.90","8.95","9.94","0.00","彌補虧損"
"1050304","8107","大億科","19.90","21.40","23.50","19.30","21.40","0.00","現金減資"
"1050321","5398","力瑋","21.45","27.08","29.75","24.40","27.10","0.00","彌補虧損"
"1050826","5371","中光電","29.85","34.81","38.25","31.35","34.80","0.00","現金減資"
"1050901","3234","光環","65.00","88.57","97.40","79.80","88.60","0.00","現金減資"
"1050914","5511","德昌","23.25","25.06","27.55","22.60","25.05","0.00","現金減資"
"1050919","4503","金雨","13.85","18.35","20.15","16.55","18.35","0.00","彌補虧損"
"1050923","3105","穩懋","59.00","80.52","88.50","72.50","80.50","0.00","現金減資"
"1050930","3555","重鳥鵬","31.55","62.27","68.40","56.10","62.30","0.00","彌補虧損"
"1051003","6276","安鈦克","5.92","7.64","8.40","6.88","7.64","0.00","彌補虧損"
"1051007","3339","泰谷","2.60","7.44","8.18","6.70","7.44","0.00","彌補虧損"
"1051007","5353","台林","10.50","10.56","11.60","9.51","10.55","0.00","現金減資"
"1051014","8913","全銓","18.45","20.56","22.60","18.55","20.55","0.00","現金減資"
"1051017","3562","頂晶科","3.10","12.40","13.60","11.20","12.40","0.00","彌補虧損"
"1051017","1333","恩得利","2.97","4.95","5.44","4.46","4.95","0.00","彌補虧損"
"1051017","6208","日揚","14.20","14.88","16.35","13.40","14.90","0.00","現金減資"
"1051020","3310","佳穎","14.45","15.93","17.50","14.35","15.95","0.00","現金減資"
"1051031","6246","臺龍","3.06","19.13","21.00","17.25","19.15","0.00","彌補虧損"
"1051103","6150","撼訊","12.50","20.83","22.90","18.75","20.85","0.00","彌補虧損"
"1051103","8176","智捷","8.00","8.73","9.60","7.86","8.73","0.00","彌補虧損"
"1051108","1584","精剛","15.35","16.65","18.30","15.00","16.65","0.00","現金減資"
"1051110","3354","律勝","10.35","10.41","11.45","9.37","10.40","0.00","現金減資"
"1051115","6228","全譜","8.60","16.66","18.30","15.00","16.65","0.00","彌補虧損"
"1051124","4712","南璋","6.70","10.66","11.70","9.60","10.65","0.00","彌補虧損"
"1051129","3465","祥業","5.55","11.10","12.20","9.99","11.10","0.00","彌補虧損"
"1051229","6222","上揚","4.18","8.36","0.00","0.00","0.00","0.00","彌補虧損"
"1060330","3086","華義","7.06","14.25","15.65","12.85","14.25","0.00","彌補虧損"
"1060425","5475","德宏","4.13","6.16","6.77","5.55","6.16","0.00","彌補虧損"
"1060830","3071","協禧","14.05","14.54","15.95","13.10","14.55","0.00","彌補虧損"
"1060901","6219","富旺","10.10","10.11","11.10","9.10","10.10","0.00","現金減資"
"1060906","5511","德昌","19.70","21.41","23.55","19.30","21.40","0.00","現金減資"
"1060915","6291","沛亨","2.91","4.80","5.28","4.32","4.80","0.00","彌補虧損"
"1060918","8913","全銓","32.00","120.00","132.00","108.00","120.00","0.00","現金減資"
"1060919","6173","信昌電","34.00","35.83","39.40","32.25","35.85","0.00","現金減資"
"1060928","1785","光洋科","15.00","17.02","18.70","15.35","17.00","0.00","彌補虧損"
"1060928","6121","新普","107.00","171.67","188.50","155.00","171.50","0.00","現金減資"
"1061005","3615","安可","27.45","27.99","30.75","25.20","28.00","0.00","現金減資"
"1061006","4303","信立","37.30","109.40","120.00","98.50","109.50","0.00","現金減資"
"1061006","8107","大億科","41.35","51.52","56.60","46.40","51.50","0.00","現金減資"
"1061012","4506","崇友","45.60","49.56","54.50","44.65","49.55","0.00","現金減資"
"1061020","5353","台林","12.30","12.51","13.75","11.30","12.50","0.00","現金減資"
"1061030","3580","友威科","37.20","69.19","76.10","62.30","69.20","0.00","彌補虧損"
"1061030","3664","安瑞-KY","17.70","20.94","23.00","18.85","20.95","0.00","現金減資"
"1061031","5213","亞昕","16.20","16.89","18.55","15.25","16.90","0.00","現金減資"
"1061106","8935","邦泰","7.03","10.03","11.00","9.03","10.05","0.00","彌補虧損"
"1061106","3623","富晶通","38.90","46.09","50.60","41.50","46.10","0.00","現金減資"
"1061113","3516","亞帝歐","11.00","14.64","16.10","13.20","14.65","0.00","彌補虧損"
"1061114","3310","佳穎","23.55","28.07","30.85","25.30","28.05","0.00","現金減資"
"1061127","3071","協禧","22.25","24.41","26.85","22.00","24.40","0.00","現金減資"
"1061206","8067","志旭","5.40","8.06","8.86","7.26","8.06","0.00","彌補虧損"
"1061215","8091","翔名","93.60","129.43","142.00","116.50","129.50","0.00","現金減資"
"1070102","5383","金利","10.50","14.97","16.45","13.50","14.95","0.00","彌補虧損"
"1070115","5381","合正","4.99","7.90","8.69","7.11","7.90","0.00","彌補虧損"
"1070312","3089","遠昇","5.23","12.24","13.45","11.05","12.25","0.00","彌補虧損"
"1070313","1742","台蠟","9.78","15.26","16.75","13.75","15.25","0.00","彌補虧損"
"1070403","3629","群富通","22.10","33.69","37.05","30.35","33.70","0.00","彌補虧損"
"1070822","2641","正德","7.43","9.36","10.25","8.43","9.36","0.00","彌補虧損"
"1070827","4198","環瑞醫","5.61","18.70","20.55","16.85","18.70","0.00","彌補虧損"
"1070827","8924","大田","25.20","32.00","35.20","28.80","32.00","0.00","現金減資"
"1070903","3188","鑫龍騰","17.05","20.07","22.05","18.10","20.05","0.00","彌補虧損"
"1070903","3523","迎輝","6.30","12.60","13.85","11.35","12.60","0.00","彌補虧損"
"1070904","5356","協益","24.85","28.56","31.40","25.75","28.55","0.00","現金減資"
"1070907","4304","勝昱","5.13","7.31","8.04","6.58","7.31","0.00","彌補虧損"
"1070918","6486","互動","40.70","48.38","53.20","43.55","48.40","0.00","現金減資"
"1070925","4944","兆遠","13.30","17.12","18.80","15.45","17.10","0.00","彌補虧損"
"1070925","5213","亞昕","17.75","18.53","20.35","16.70","18.55","0.00","現金減資"
"1070925","6109","亞元","10.50","10.63","11.65","9.57","10.65","0.00","現金減資"
"1071001","6138","茂達","53.60","72.29","79.50","65.10","72.30","0.00","現金減資"
"1071001","6148","驊宏資","6.46","8.64","9.50","7.78","8.64","0.00","彌補虧損"
"1071001","6161","捷波","16.00","18.57","20.40","16.75","18.55","0.00","現金減資"
"1071003","5309","系統電","6.66","9.41","10.35","8.47","9.41","0.00","彌補虧損"
