stock_id,name,market,kind,first_seen,last_seen
00400A,主動國泰動能高息,twse,etf,2026-09-02,2026-09-02
00401A,主動摩根台灣鑫收,twse,etf,2026-09-02,2026-09-02
00402A,主動安聯美國科技,twse,etf,2026-09-02,2026-09-02
00403A,主動統一升級50,twse,etf,2026-09-02,2026-09-02
00404A,主動聯博動能50,twse,etf,2026-09-02,2026-09-02
00405A,主動富邦台灣龍耀,twse,etf,2026-09-02,2026-09-02
00406A,主動中信台灣收益,twse,etf,2026-09-02,2026-09-02
00407A,主動凱基台灣,twse,etf,2026-09-02,2026-09-02
00408A,主動第一金優股息,twse,etf,2026-09-02,2026-09-02
00409A,主動復華全球50,twse,etf,2026-09-02,2026-09-02
00410A,主動永豐科技趨勢,twse,etf,2026-09-02,2026-09-02
00411A,主動統一前沿科技,tpex,etf,2026-09-02,2026-09-02
0050,元大台灣50,twse,etf,2026-09-02,2026-09-02
0051,元大中型100,twse,etf,2026-09-02,2026-09-02
0052,富邦科技,twse,etf,2026-09-02,2026-09-02
0053,元大電子,twse,etf,2026-09-02,2026-09-02
0055,元大MSCI金融,twse,etf,2026-09-02,2026-09-02
0056,元大高股息,twse,etf,2026-09-02,2026-09-02
0057,富邦摩台,twse,etf,2026-09-02,2026-09-02
0061,元大寶滬深,twse,etf,2026-09-02,2026-09-02
006201,元大富櫃50,tpex,etf,2026-09-02,2026-09-02
006203,元大MSCI台灣,twse,etf,2026-09-02,2026-09-02
006204,永豐臺灣加權,twse,etf,2026-09-02,2026-09-02
006205,富邦上証,twse,etf,2026-09-02,2026-09-02
006206,元大上證50,twse,etf,2026-09-02,2026-09-02
006207,復華滬深,twse,etf,2026-09-02,2026-09-02
006208,富邦台50,twse,etf,2026-09-02,2026-09-02
00631L,元大台灣50正2,twse,etf,2026-09-02,2026-09-02
00632R,元大台灣50反1,twse,etf,2026-09-02,2026-09-02
00633L,富邦上証正2,twse,etf,2026-09-02,2026-09-02
00634R,富邦上証反1,twse,etf,2026-09-02,2026-09-02
00635U,期元大S&P黃金,twse,etf,2026-09-02,2026-09-02
00636,國泰中國A50,twse,etf,2026-09-02,2026-09-02
00636K,國泰中國A50+U,twse,etf,2026-09-02,2026-09-02
00637L,元大滬深300正2,twse,etf,2026-09-02,2026-09-02
00638R,元大滬深300反1,twse,etf,2026-09-02,2026-09-02
00639,富邦深100,twse,etf,2026-09-02,2026-09-02
00640L,富邦日本正2,twse,etf,2026-09-02,2026-09-02
00641R,富邦日本反1,twse,etf,2026-09-02,2026-09-02
00642U,期元大S&P石油,twse,etf,2026-09-02,2026-09-02
00643,群益深証中小,twse,etf,2026-09-02,2026-09-02
00643K,群益深証中小+R,twse,etf,2026-09-02,2026-09-02
00645,富邦日本,twse,etf,2026-09-02,2026-09-02
00646,元大S&P500,twse,etf,2026-09-02,2026-09-02
00647L,元大S&P500正2,twse,etf,2026-09-02,2026-09-02
00648R,元大S&P500反1,twse,etf,2026-09-02,2026-09-02
00650L,復華香港正2,twse,etf,2026-09-02,2026-09-02
00651R,復華香港反1,twse,etf,2026-09-02,2026-09-02
00652,富邦印度,twse,etf,2026-09-02,2026-09-02
00653L,富邦印度正2,twse,etf,2026-09-02,2026-09-02
00654R,富邦印度反1,twse,etf,2026-09-02,2026-09-02
00655L,國泰中國A50正2,twse,etf,2026-09-02,2026-09-02
00656R,國泰中國A50反1,twse,etf,2026-09-02,2026-09-02
00657,國泰日經225,twse,etf,2026-09-02,2026-09-02
00657K,國泰日經225+U,twse,etf,2026-09-02,2026-09-02
00660,元大歐洲50,twse,etf,2026-09-02,2026-09-02
00661,元大日經225,twse,etf,2026-09-02,2026-09-02
