stock_id,name,market,sec_kind,halt_date,resume_date,source,asof
03009X,元展09,twse,其他,2017-10-19,2017-10-20,twse-TWTAWU,2026-09-07
03010X,元展10,twse,其他,2016-03-30,2016-03-31,twse-TWTAWU,2026-09-07
03022X,富展01,twse,其他,2016-03-30,2016-03-31,twse-TWTAWU,2026-09-07
03026P,J8元富,twse,其他,2016-05-13,2016-05-16,twse-TWTAWU,2026-09-07
03027P,J9元富,twse,其他,2016-03-30,2016-03-31,twse-TWTAWU,2026-09-07
03040X,元展37,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
03042X,元展39,twse,其他,2016-05-26,2016-05-27,twse-TWTAWU,2026-09-07
03043X,元展40,twse,其他,2016-05-26,2016-05-27,twse-TWTAWU,2026-09-07
03044X,元展41,twse,其他,2018-08-07,2018-08-08,twse-TWTAWU,2026-09-07
03046P,中壽群益6A售03,twse,其他,2017-10-19,2017-10-20,twse-TWTAWU,2026-09-07
03050P,永豐IJ,twse,其他,2016-05-13,2016-05-16,twse-TWTAWU,2026-09-07
03051X,元展48,twse,其他,2017-07-27,2017-07-28,twse-TWTAWU,2026-09-07
03060P,宏達電統一6A售05,twse,其他,2017-09-21,2017-09-22,twse-TWTAWU,2026-09-07
03062P,玉山H9,twse,其他,2016-03-30,2016-03-31,twse-TWTAWU,2026-09-07
03065X,元展60,twse,其他,2017-04-19,2017-04-21,twse-TWTAWU,2026-09-07
03071P,康和DP,twse,其他,2016-05-13,2016-05-16,twse-TWTAWU,2026-09-07
03071X,元展66,twse,其他,2016-05-13,2016-05-16,twse-TWTAWU,2026-09-07
03072X,元展67,twse,其他,2017-09-21,2017-09-22,twse-TWTAWU,2026-09-07
03075X,元展70,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
03085P,MW兆豐,twse,其他,2016-05-26,2016-05-27,twse-TWTAWU,2026-09-07
03113P,大成鋼台新83售01,twse,其他,2018-10-02,2018-10-03,twse-TWTAWU,2026-09-07
03114P,群益2G,twse,其他,2016-05-26,2016-05-27,twse-TWTAWU,2026-09-07
03126P,大成鋼元大83售01,twse,其他,2018-10-02,2018-10-03,twse-TWTAWU,2026-09-07
03130P,群益2Q,twse,其他,2016-05-13,2016-05-16,twse-TWTAWU,2026-09-07
03137P,AZ富邦,twse,其他,2016-05-26,2016-05-27,twse-TWTAWU,2026-09-07
03141P,N7元富,twse,其他,2016-05-13,2016-05-16,twse-TWTAWU,2026-09-07
03150P,宏達電兆豐6C售02,twse,其他,2017-09-21,2017-09-22,twse-TWTAWU,2026-09-07
03161P,凱基7R,twse,其他,2016-05-26,2016-05-27,twse-TWTAWU,2026-09-07
03172P,HM國泰,twse,其他,2016-05-13,2016-05-16,twse-TWTAWU,2026-09-07
03176P,宏達電國泰6C售01,twse,其他,2017-09-21,2017-09-22,twse-TWTAWU,2026-09-07
03179P,宏達電群益6B售02,twse,其他,2017-09-21,2017-09-22,twse-TWTAWU,2026-09-07
