level,label,low_shares,high_shares,is_bucket
1,1-999,1,999,1
2,"1,000-5,000",1000,5000,1
3,"5,001-10,000",5001,10000,1
4,"10,001-15,000",10001,15000,1
5,"15,001-20,000",15001,20000,1
6,"20,001-30,000",20001,30000,1
7,"30,001-40,000",30001,40000,1
8,"40,001-50,000",40001,50000,1
9,"50,001-100,000",50001,100000,1
10,"100,001-200,000",100001,200000,1
11,"200,001-400,000",200001,400000,1
12,"400,001-600,000",400001,600000,1
13,"600,001-800,000",600001,800000,1
14,"800,001-1,000,000",800001,1000000,1
15,"1,000,001 以上",1000001,,1
16,差異數調整,,,0
17,合計,,,0
