kind,period,market,status,note
bs,2015Q1,otc,ok,已存在，--fill 跳過
bs,2015Q1,sii,ok,已存在，--fill 跳過
bs,2015Q2,otc,ok,已存在，--fill 跳過
bs,2015Q2,sii,ok,已存在，--fill 跳過
bs,2015Q3,otc,ok,已存在，--fill 跳過
bs,2015Q3,sii,ok,已存在，--fill 跳過
bs,2015Q4,otc,ok,已存在，--fill 跳過
bs,2015Q4,sii,ok,已存在，--fill 跳過
bs,2016Q1,otc,ok,已存在，--fill 跳過
bs,2016Q1,sii,ok,已存在，--fill 跳過
bs,2016Q2,otc,ok,已存在，--fill 跳過
bs,2016Q2,sii,ok,已存在，--fill 跳過
bs,2016Q3,otc,ok,已存在，--fill 跳過
bs,2016Q3,sii,ok,已存在，--fill 跳過
bs,2016Q4,otc,ok,已存在，--fill 跳過
bs,2016Q4,sii,ok,已存在，--fill 跳過
bs,2017Q1,otc,ok,已存在，--fill 跳過
bs,2017Q1,sii,ok,已存在，--fill 跳過
bs,2017Q2,otc,ok,已存在，--fill 跳過
bs,2017Q2,sii,ok,已存在，--fill 跳過
bs,2017Q3,otc,ok,已存在，--fill 跳過
bs,2017Q3,sii,ok,已存在，--fill 跳過
bs,2017Q4,otc,ok,已存在，--fill 跳過
bs,2017Q4,sii,ok,已存在，--fill 跳過
bs,2018Q1,otc,ok,已存在，--fill 跳過
bs,2018Q1,sii,ok,已存在，--fill 跳過
bs,2018Q2,otc,ok,已存在，--fill 跳過
bs,2018Q2,sii,ok,已存在，--fill 跳過
bs,2018Q3,otc,ok,已存在，--fill 跳過
bs,2018Q3,sii,ok,已存在，--fill 跳過
bs,2018Q4,otc,ok,已存在，--fill 跳過
bs,2018Q4,sii,ok,已存在，--fill 跳過
bs,2019Q1,otc,ok,已存在，--fill 跳過
bs,2019Q1,sii,ok,已存在，--fill 跳過
bs,2019Q2,otc,ok,已存在，--fill 跳過
bs,2019Q2,sii,ok,已存在，--fill 跳過
bs,2019Q3,otc,ok,已存在，--fill 跳過
bs,2019Q3,sii,ok,已存在，--fill 跳過
bs,2019Q4,otc,ok,已存在，--fill 跳過
bs,2019Q4,sii,ok,已存在，--fill 跳過
bs,2020Q1,otc,ok,已存在，--fill 跳過
bs,2020Q1,sii,ok,已存在，--fill 跳過
bs,2020Q2,otc,ok,已存在，--fill 跳過
bs,2020Q2,sii,ok,已存在，--fill 跳過
bs,2020Q3,otc,ok,已存在，--fill 跳過
bs,2020Q3,sii,ok,已存在，--fill 跳過
bs,2020Q4,otc,ok,已存在，--fill 跳過
bs,2020Q4,sii,ok,已存在，--fill 跳過
bs,2021Q1,otc,ok,已存在，--fill 跳過
bs,2021Q1,sii,ok,已存在，--fill 跳過
bs,2021Q2,otc,ok,已存在，--fill 跳過
bs,2021Q2,sii,ok,已存在，--fill 跳過
bs,2021Q3,otc,ok,已存在，--fill 跳過
bs,2021Q3,sii,ok,已存在，--fill 跳過
bs,2021Q4,otc,ok,已存在，--fill 跳過
bs,2021Q4,sii,ok,已存在，--fill 跳過
bs,2022Q1,otc,ok,已存在，--fill 跳過
bs,2022Q1,sii,ok,已存在，--fill 跳過
bs,2022Q2,otc,ok,已存在，--fill 跳過
bs,2022Q2,sii,ok,已存在，--fill 跳過
bs,2022Q3,otc,ok,已存在，--fill 跳過
bs,2022Q3,sii,ok,已存在，--fill 跳過
bs,2022Q4,otc,ok,已存在，--fill 跳過
bs,2022Q4,sii,ok,已存在，--fill 跳過
bs,2023Q1,otc,ok,已存在，--fill 跳過
bs,2023Q1,sii,ok,已存在，--fill 跳過
bs,2023Q2,otc,ok,已存在，--fill 跳過
bs,2023Q2,sii,ok,已存在，--fill 跳過
bs,2023Q3,otc,ok,已存在，--fill 跳過
bs,2023Q3,sii,ok,已存在，--fill 跳過
bs,2023Q4,otc,ok,已存在，--fill 跳過
bs,2023Q4,sii,ok,已存在，--fill 跳過
bs,2024Q1,otc,ok,已存在，--fill 跳過
bs,2024Q1,sii,ok,已存在，--fill 跳過
bs,2024Q2,otc,ok,已存在，--fill 跳過
bs,2024Q2,sii,ok,已存在，--fill 跳過
bs,2024Q3,otc,ok,已存在，--fill 跳過
bs,2024Q3,sii,ok,已存在，--fill 跳過
bs,2024Q4,otc,ok,已存在，--fill 跳過
bs,2024Q4,sii,ok,已存在，--fill 跳過
bs,2025Q1,otc,ok,已存在，--fill 跳過
bs,2025Q1,sii,ok,已存在，--fill 跳過
bs,2025Q2,otc,ok,已存在，--fill 跳過
bs,2025Q2,sii,ok,已存在，--fill 跳過
bs,2025Q3,otc,ok,已存在，--fill 跳過
bs,2025Q3,sii,ok,已存在，--fill 跳過
bs,2025Q4,otc,ok,已存在，--fill 跳過
bs,2025Q4,sii,ok,已存在，--fill 跳過
bs,2026Q1,otc,ok,已存在，--fill 跳過
bs,2026Q1,sii,ok,已存在，--fill 跳過
bs,2026Q2,otc,ok,已存在，--fill 跳過
bs,2026Q2,sii,ok,已存在，--fill 跳過
bs,2026Q3,otc,pending,0 張表
bs,2026Q3,sii,pending,0 張表
fs,2015Q1,otc,ok,已存在，--fill 跳過
fs,2015Q1,sii,ok,已存在，--fill 跳過
fs,2015Q2,otc,ok,已存在，--fill 跳過
fs,2015Q2,sii,ok,已存在，--fill 跳過
fs,2015Q3,otc,ok,已存在，--fill 跳過
fs,2015Q3,sii,ok,已存在，--fill 跳過
fs,2015Q4,otc,ok,已存在，--fill 跳過
fs,2015Q4,sii,ok,已存在，--fill 跳過
fs,2016Q1,otc,ok,已存在，--fill 跳過
fs,2016Q1,sii,ok,已存在，--fill 跳過
fs,2016Q2,otc,ok,已存在，--fill 跳過
fs,2016Q2,sii,ok,已存在，--fill 跳過
fs,2016Q3,otc,ok,已存在，--fill 跳過
fs,2016Q3,sii,ok,已存在，--fill 跳過
fs,2016Q4,otc,ok,已存在，--fill 跳過
fs,2016Q4,sii,ok,已存在，--fill 跳過
fs,2017Q1,otc,ok,已存在，--fill 跳過
fs,2017Q1,sii,ok,已存在，--fill 跳過
fs,2017Q2,otc,ok,已存在，--fill 跳過
fs,2017Q2,sii,ok,已存在，--fill 跳過
fs,2017Q3,otc,ok,已存在，--fill 跳過
fs,2017Q3,sii,ok,已存在，--fill 跳過
fs,2017Q4,otc,ok,已存在，--fill 跳過
fs,2017Q4,sii,ok,已存在，--fill 跳過
fs,2018Q1,otc,ok,已存在，--fill 跳過
