period,status,zip_bytes,files,ci_files,companies,with_rd,with_rev,note,asof
2013Q1,ok,39743902,1530,1441,1441,1110,1441,39743902 bytes,2026-09-26 16:29:30
2013Q2,ok,46214903,1965,1743,1743,1365,1739,46214903 bytes,2026-09-26 16:30:07
2013Q3,ok,37955969,1557,1470,1470,1143,1470,37955969 bytes,2026-09-26 16:31:21
2013Q4,ok,53198072,2024,1801,1801,1407,1796,53198072 bytes,2026-09-26 16:32:52
2014Q1,ok,38342173,1569,1482,1482,1146,1482,38342173 bytes,2026-09-26 16:33:26
2014Q2,ok,50729971,2037,1815,1815,1416,1808,50729971 bytes,2026-09-26 16:34:22
2014Q3,ok,43116956,1605,1518,1518,1176,1517,43116956 bytes,2026-09-26 16:35:31
2014Q4,ok,60702336,2123,1905,1905,1486,1892,60702336 bytes,2026-09-26 16:36:41
2015Q1,ok,41631392,1634,1546,1546,1201,1544,41631392 bytes,2026-09-26 16:37:37
2015Q2,ok,58001821,2327,2111,2111,1593,2101,58001821 bytes,2026-09-26 16:38:20
2015Q3,ok,44685538,1647,1559,1559,1213,1557,44685538 bytes,2026-09-26 16:39:04
2015Q4,ok,66062507,2393,2180,2180,1644,2164,66062507 bytes,2026-09-26 16:41:01
2016Q1,ok,40224550,1676,1590,1590,1237,1587,40224550 bytes,2026-09-26 16:42:11
2016Q2,ok,55652997,2344,2127,2127,1609,2112,55652997 bytes,2026-09-26 16:43:19
2016Q3,ok,44122054,1690,1603,1603,1253,1602,44122054 bytes,2026-09-26 16:44:01
2016Q4,ok,70772478,2402,2188,2188,1652,2174,70772478 bytes,2026-09-26 16:44:38
2017Q1,ok,40840537,1703,1616,1616,1263,1613,40840537 bytes,2026-09-26 16:46:07
2017Q2,ok,57475738,2354,2145,2145,1630,2133,57475738 bytes,2026-09-26 16:47:59
2017Q3,ok,45677770,1717,1631,1631,1281,1630,45677770 bytes,2026-09-26 16:48:46
2017Q4,ok,73940021,2422,2216,2216,1692,2202,73940021 bytes,2026-09-26 16:50:29
2018Q1,ok,47747007,1744,1658,1658,1303,1656,47747007 bytes,2026-09-26 16:51:59
2018Q2,ok,65606815,2376,2171,2171,1656,2155,65606815 bytes,2026-09-26 16:53:21
2018Q3,ok,52924925,1755,1669,1669,1320,1667,52924925 bytes,2026-09-26 16:55:29
2018Q4,ok,78094912,2449,2244,2244,1714,2228,78094912 bytes,2026-09-26 16:58:35
2019Q1,ok,75679023,1760,1674,1674,1324,1672,75679023 bytes,2026-09-26 17:01:07
2019Q2,ok,103828077,2391,2187,2187,1674,2176,103828077 bytes,2026-09-26 17:06:09
2019Q3,ok,82915728,1774,1688,1688,1336,1688,82915728 bytes,2026-09-26 17:08:15
2019Q4,ok,119645284,2451,2247,2247,1726,2236,119645284 bytes,2026-09-26 17:13:52
2020Q1,ok,71789407,1780,1695,1695,1336,1695,71789407 bytes,2026-09-26 17:16:19
2020Q2,ok,100472538,2393,2190,2190,1683,2178,100472538 bytes,2026-09-26 17:19:14
2020Q3,ok,80635246,1783,1698,1698,1340,1698,80635246 bytes,2026-09-26 17:21:08
2020Q4,ok,119992613,2478,2274,2274,1753,2262,119992613 bytes,2026-09-26 17:22:12
2021Q1,ok,74187122,1799,1714,1714,1348,1713,74187122 bytes,2026-09-26 17:25:26
2021Q2,ok,101628028,2445,2243,2243,1728,2225,101628028 bytes,2026-09-26 17:26:57
2021Q3,ok,80898407,1819,1734,1734,1371,1734,80898407 bytes,2026-09-26 17:28:40
2021Q4,ok,121862516,2545,2339,2339,1801,2327,121862516 bytes,2026-09-26 17:33:41
2022Q1,ok,73782085,1828,1743,1743,1375,1743,73782085 bytes,2026-09-26 17:34:30
2022Q2,ok,101557386,2487,2283,2283,1758,2270,101557386 bytes,2026-09-26 17:37:23
2022Q3,ok,80757728,1838,1754,1754,1388,1754,80757728 bytes,2026-09-26 17:38:35
2022Q4,ok,123720673,2605,2399,2399,1852,2391,123720673 bytes,2026-09-26 17:39:43
2023Q1,ok,74465121,1860,1778,1778,1409,1776,74465121 bytes,2026-09-26 17:41:58
2023Q2,ok,104066983,2545,2344,2344,1809,2333,104066983 bytes,2026-09-26 17:43:16
2023Q3,ok,81869324,1885,1802,1802,1431,1801,81869324 bytes,2026-09-26 17:44:40
2023Q4,ok,126398421,2663,2460,2460,1917,2454,126398421 bytes,2026-09-26 17:46:06
2024Q1,ok,77075750,1923,1840,1840,1463,1838,77075750 bytes,2026-09-26 17:48:44
2024Q2,ok,107410567,2613,2412,2412,1884,2404,107410567 bytes,2026-09-26 17:53:03
2024Q3,ok,85393481,1947,1864,1864,1492,1864,85393481 bytes,2026-09-26 17:55:01
2024Q4,ok,130584517,2717,2514,2514,1964,2504,130584517 bytes,2026-09-26 17:56:25
2025Q1,ok,79342537,1985,1902,1902,1525,1901,79342537 bytes,2026-09-26 17:58:40
2025Q2,ok,109303335,2678,2478,2478,1945,2469,109303335 bytes,2026-09-26 18:02:20
2025Q3,ok,87854145,2020,1938,1938,1564,1938,87854145 bytes,2026-09-26 18:03:43
2025Q4,ok,131453318,2723,2525,2525,1988,2516,131453318 bytes,2026-09-26 18:05:53
