stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2015Q2,twse,50310351,167992959,52413907,96000708,1202,697550,52724773,999022,,1453221713,3222524,270559218,67709,,74670561,9252974,32755236,320939,2151505,2691020,2270053871,94709529,,19581568,48782,34915443,8866155,39447936,2191011,,1832743231,48844155,1282000,,17443162,14856015,6105529,3110549,2124145065,99063042,17758986,29075570,9712,,,145907310,1496,145908806,,0,0,15.64
2881,富邦金,2015Q2,twse,158709096,176955522,116541776,1779486801,454113,119451664,159669575,1362439,47760,1641150988,15826134,287111219,16841702,,835601851,135975309,43346843,30381290,3679125,52411631,5575004838,115270328,9399921,51555392,2436800,128613627,6812708,114732384,9339464,,1867224466,142718051,1100000,,2536890073,176437914,6353714,14464698,5183349540,102336040,74446982,191101017,15772635,,,383656674,7998624,391655298,0,0,0,37.49
2882,國泰金,2015Q2,twse,372119468,112290016,195710500,1400955397,439100,35679580,157516768,4322279,0,1785464539,6509331,80468255,23967500,,2406919427,380818127,93033402,9372025,12827314,44125549,7122538577,58056657,0,74579183,0,78456022,27787344,67746464,2311243,,1753509341,107195124,,,3939159951,540706290,25272007,14658083,6689437709,125632102,88782304,178812835,34039120,0,0,427266361,5834507,433100868,0,0,0,34.01
2883,凱基金,2015Q2,twse,29154651,75433971,128137287,122366363,,49112441,134725187,853690,,221182539,,142564,10330090,33933981,60693223,2064638,14357752,8865512,5579665,13077976,910011530,3141056,,29468553,0,116949579,22035374,74675211,930048,,329569141,26577343,41363779,,987898,83642336,1477654,12266259,743084231,151644553,599342,15467270,-1985749,-2376748,,163348668,3578631,166927299,,25000,323231938,11.01
2884,玉山金,2015Q2,twse,23219866,62538183,308894547,120946389,0,755560,87944359,269438,,986149409,,4931711,,,58239975,625672,24830476,5629567,163201,2656302,1687794655,67564202,,24821109,,7167477,3750571,24943484,1161316,,1390800078,47300000,825521,,368043,2204585,713818,1807277,1573427481,79517000,20501164,12329673,1232031,,,113579868,787306,114367174,0,0,0,15.56
2885,元大金,2015Q2,twse,36729476,79641610,323450682,127089122,,20245571,167552808,1624732,0,475409993,281303,68129450,1747184,2183175,98085005,6738650,16300872,26512686,3475319,18661257,1473858895,26592272,,92041694,,122527861,17946185,182214562,3409110,,599507774,45829216,20725440,,110054704,48090463,1994671,11450966,1282384918,107129605,35564830,28502000,5095758,,,176292193,15181784,191473977,0,0,0,16.89
2886,兆豐金,2015Q2,twse,132296074,346317354,173344558,312595878,,5156686,221799243,889093,2673,1751864248,3244023,174097983,2948185,,20815372,1294268,22044493,281347,4127813,3723210,3176842501,315592318,46629161,20521169,,180550514,11901583,77420147,10633759,,2157860049,50200000,5036174,,21332599,11206604,2183026,9790301,2920857404,124498240,55268667,75695955,364414,0,,255827276,157821,255985097,,0,0,20.55
2887,台新新光金,2015Q2,twse,14611542,33355156,93690542,265753533,0,4998,103273640,177358,,826906987,,2534,33638198,,12185784,917395,18053012,2049396,3387988,14687871,1422695934,62262518,0,23979538,0,76835695,1072984,21994695,1029602,,984714922,64100000,7788093,,786496,54614842,53863,2620086,1301853334,95831636,10216066,14329668,320901,,0,120698271,144329,120842600,0,1672395,0,12.59
2889,國票金,2015Q2,twse,2795842,1310057,109469290,87194414,,207005,18579052,761168,,,,394913,1566114,,4710432,,1937221,456753,58666,1004048,230444975,,21077947,387261,,154123135,10705500,7129534,56399,,,,,,1464057,1489783,20051,313821,196767488,27664862,7544,2163477,268375,-485234,,29619024,4058463,33677487,0,0,50000000,11.23
2890,永豐金,2015Q2,twse,29699627,105325898,92151147,195921679,,11701819,149442852,267998,,818134492,,64137930,439630,,46144306,1769063,13520779,2742735,2986884,14428957,1548815796,73396211,,15509927,36155,35331488,31268689,39990228,961882,,1121503830,41367621,23122452,18437,3176344,27629569,1451007,7823254,1422587094,101679807,2227009,21106931,1155498,,,126169245,59457,126228702,,0,0,13.32
