stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1259,安心,2016Q1,tpex,2076475,500904,2577379,863314,30936,894250,323895,809816,510097,-7136,,1636672,,,46457,1683129,0,0,0,50.53
1264,德麥,2016Q1,tpex,2102442,801589,2904031,455965,44561,500526,306327,737569,1038399,1054,,2083349,,,320156,2403505,0,0,0,68.01
1336,台翰,2016Q1,tpex,939831,1613190,2553021,1009596,203295,1212891,627532,819780,-121658,14476,,1340130,,,,1340130,,0,0,21.36
1565,精華,2016Q1,tpex,4232006,2547559,6779565,1198896,579934,1778830,504165,526000,3964154,6416,,5000735,,,,5000735,0,0,0,99.19
1569,濱川,2016Q1,tpex,1798938,2450535,4249473,1993427,339157,2332584,937847,681949,189521,107572,,1916889,,,,1916889,0,0,0,20.44
1570,力肯,2016Q1,tpex,613512,265654,879166,246944,8638,255582,515008,0,108447,129,0,623584,,,0,623584,0,0,0,12.11
1580,新麥,2016Q1,tpex,1895643,914782,2810425,703043,196985,900028,485316,74811,1240633,42573,,1843333,,,67064,1910397,0,0,0,37.98
1584,精剛,2016Q1,tpex,1196999,1256107,2453106,280478,891417,1171895,1024705,403683,-120112,-27065,0,,,,,1281211,,0,0,12.50
1586,和勤,2016Q1,tpex,1532629,1116498,2649127,1365816,205091,1570907,477683,277387,296263,26887,0,1078220,,,0,1078220,0,0,0,22.57
1591,駿吉-KY,2016Q1,tpex,221374,447422,668796,190518,101934,292452,301498,22159,119798,-67111,,376344,,,,376344,0,0,0,12.48
1593,祺驊,2016Q1,tpex,704418,309376,1013794,133327,71982,205309,303006,282451,227746,-7829,0,805374,,,3111,808485,0,0,0,26.58
1595,川寶,2016Q1,tpex,1708403,821037,2529440,342761,289458,632219,386875,253563,1246424,10359,,1897221,,,,1897221,,0,0,49.04
1599,宏佳騰,2016Q1,tpex,1319115,655686,1974801,544765,25745,570510,449805,487161,481190,-13865,,1404291,,,,1404291,0,0,0,31.22
1742,台蠟,2016Q1,tpex,552315,493222,1045537,371841,55160,427001,646906,,-34297,5927,,618536,,,,618536,0,0,0,9.56
1777,生泰,2016Q1,tpex,800575,435246,1235821,145298,70437,215735,300595,314322,405831,-662,,,,,,1020086,0,0,0,33.94
1781,合世,2016Q1,tpex,399768,268334,668102,147350,1224,148574,474076,126797,-90114,8769,,519528,,,,519528,0,0,0,10.96
1784,訊聯,2016Q1,tpex,839108,1059281,1898389,164288,334709,498997,496889,623624,45667,-5419,-17824,1142937,,,256455,1399392,0,0,616000,23.29
1785,光洋科,2016Q1,tpex,10796561,10348557,21145118,7239998,10072580,17312578,4085643,3048106,-3418083,124984,-289112,3551538,,,281002,3832540,0,0,13171000,8.98
1788,杏昌,2016Q1,tpex,1966157,552539,2518696,932404,10813,943217,350000,658219,565571,1689,,1575479,,,0,1575479,0,0,0,45.01
1799,易威,2016Q1,tpex,332190,580947,913137,23014,3797,26811,654114,637027,-461255,5388,,835274,,,51052,886326,,0,0,12.77
1813,寶利徠,2016Q1,tpex,494912,667586,1162498,91843,31579,123422,466355,262855,318305,-8439,,1039076,,,0,1039076,0,0,0,22.28
1815,富喬,2016Q1,tpex,3271425,9097670,12369095,2128026,3425652,5553678,4115573,1726335,1123789,-43989,-106291,6815417,,,,6815417,,0,10000000,16.97
2035,唐榮公司,2016Q1,tpex,3938295,14958291,18896586,3934355,9493624,13427979,3500000,0,1853929,114678,0,5468607,,,0,5468607,0,0,0,15.62
2061,風青,2016Q1,tpex,746196,226164,972360,333255,17382,350637,621481,90620,-89055,,-1323,621723,,,,621723,,0,73000,10.02
2063,世鎧精密,2016Q1,tpex,614868,620288,1235156,397058,210286,607344,432689,28778,165583,762,,627812,,,,627812,0,0,0,14.51
2064,晉椿,2016Q1,tpex,1453386,1520767,2974153,1028947,517590,1546537,700000,93653,633824,10,0,1427487,,,129,1427616,0,0,0,20.39
2066,世德,2016Q1,tpex,1021068,357692,1378760,243664,13536,257200,365029,148208,608323,,,,,,,1121560,0,0,0,30.73
2067,嘉鋼,2016Q1,tpex,622296,684431,1306727,639030,258658,897688,303662,96441,-37426,18865,,381542,,,27497,409039,,0,0,12.56
2221,大甲,2016Q1,tpex,692967,460240,1153207,238092,279074,517166,424250,52849,159486,-4292,-8967,623326,0,,12715,636041,0,0,570000,14.89
2230,泰茂,2016Q1,tpex,670684,353988,1024672,236156,212317,448473,396173,63383,67399,7132,,534087,,,42112,576199,,0,0,13.48
