stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1101,台泥,2016Q3,twse,74178175,190899771,265077946,61983521,57636521,119620042,36921759,13534162,45208495,9511612,,105176028,,,40281876,145457904,,0,0,28.49
1102,亞泥,2016Q3,twse,41216329,197310910,238527239,51580408,47627893,99208301,33614472,1167204,90194048,-3414094,,121561630,,,17757308,139318938,,0,0,36.16
1103,嘉泥,2016Q3,twse,8638868,17312584,25951452,2134150,7925507,10059657,7747805,617579,8176328,-1246523,-1149426,14145763,,,1746032,15891795,,0,131226000,21.98
1104,環泥,2016Q3,twse,2650785,17454049,20104834,2514312,1384636,3898948,6345720,49272,9160940,525302,,16081234,,,124652,16205886,,0,0,25.34
1108,幸福,2016Q3,twse,5367970,2433071,7801041,2611678,417435,3029113,4047380,8,657936,36514,0,4741838,,,30090,4771928,0,0,0,11.72
1109,信大,2016Q3,twse,2350290,5958548,8308838,984222,1058187,2042409,3789007,22299,1497743,45594,0,5354643,,,911786,6266429,0,0,0,14.13
1110,東泥,2016Q3,twse,2078659,7263503,9342162,324074,316172,640246,5720008,185044,2025366,649723,-12185,8567956,,,133960,8701916,,0,2112865,15.03
1201,味全,2016Q3,twse,21668714,14104276,35772990,22770829,5136271,27907100,5060629,688,65188,-13156,,5113349,,,2752541,7865890,0,0,0,10.10
1203,味王,2016Q3,twse,3649031,4768102,8417133,1714650,1628866,3343516,2400000,112965,1695881,79002,-38464,4249384,,,824233,5073617,0,0,2293865,17.88
1210,大成,2016Q3,twse,19331754,18586491,37918245,15576013,2481480,18057493,7363944,2470076,3926504,967794,-306199,14422119,,,5438633,19860752,,0,52894691,21.10
1213,大飲,2016Q3,twse,470956,441471,912427,177581,36861,214442,566226,21938,110054,-233,,697985,,,,697985,0,0,0,12.33
1215,卜蜂,2016Q3,twse,4362016,6342832,10704848,3901881,537009,4438890,2679910,967,1813353,1624423,,6118653,,,147305,6265958,0,0,0,22.83
1216,統一,2016Q3,twse,133122301,244956234,378078535,139795081,86792274,226587355,56820154,3880615,34754113,-1541164,,93913718,,,57577462,151491180,0,0,0,16.53
1217,愛之味,2016Q3,twse,2490135,9204650,11694785,2704337,3119047,5823384,4945134,256854,158292,-178227,0,5182053,,,689348,5871401,0,0,0,10.48
1218,泰山,2016Q3,twse,3192676,4778721,7971397,2139585,2155629,4295214,3533360,23770,348875,-31043,-203876,3671086,0,,5097,3676183,0,0,13680042,10.81
1219,福壽,2016Q3,twse,4010963,3971459,7982422,1725631,2363262,4088893,3188256,36696,621747,-1104,,3845595,,,47934,3893529,0,0,0,12.06
1220,台榮,2016Q3,twse,1856473,1098882,2955355,395554,211133,606687,1770779,1413,490627,-61682,0,2201137,,,147531,2348668,,0,0,12.43
