stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2016Q4,twse,45199330,194825223,34699024,86265,,20280261,56689,,1367259890,76824866,204864541,,,23097828,20801823,13753981,423465,2447734,530584,2005151504,139162582,0,18093146,,2954981,33834971,550984,,1624429817,31375226,,,2718964,4524224,6672201,3310883,1867627979,89647626,,47775705,100194,0,,,,,137523525,,0,0,15.34
2812,台中銀,2016Q4,twse,14105611,86216971,22383134,0,3627189,9802310,6313,0,425166259,37455220,14276270,130935,285234,1171178,9436524,78268,166769,713301,2081215,627102701,11617728,4199858,162792,0,4222258,9805707,60890,0,539809008,13000000,0,0,807967,1307838,111021,615599,585720666,32381307,684156,8302938,13634,0,41382035,,,0,41382035,0,0,0,12.78
2820,華票,2016Q4,twse,334499,1023091,107982899,,200092,1276545,119050,,,90637886,0,,,177924,157643,,,105326,1324136,203339091,14822790,,27883,,161213032,689356,,,,,,,2499824,1530697,5645,112806,180902033,13429600,2474,8781359,223625,,,,,,22437058,0,0,0,16.71
2834,臺企銀,2016Q4,twse,49564948,90619262,1443693,,619201,24000980,116062,,1045014647,73330688,192523259,,,2132723,14120706,,183061,1240678,3819074,1498728982,75817857,0,214259,,2758905,35412594,310077,,1253804477,42750000,,,10819145,3606753,884569,1480006,1427858642,59688949,0,12210873,-1029482,0,70870340,0,,0,70870340,0,0,0,11.87
2836,高雄銀,2016Q4,twse,3992115,10574542,3986251,,3349155,1149528,48251,,175615779,31298076,21609828,,,1199328,2907253,,66674,193307,184233,256174320,8892284,,1349,,1101523,3673012,7768,,225470045,4000000,,,12221,426018,,125066,243709286,8232238,1872395,2404335,-43934,,12465034,,,0,12465034,0,0,0,15.14
2838,聯邦銀,2016Q4,twse,10971118,54414461,9538090,,27855242,17888230,186231,,282416950,39978425,7192115,53447,,57403743,8156305,5415376,2167730,1447039,7622068,532706570,8389312,0,39523,0,28874137,6981464,97549,0,431618915,11200000,1135884,0,4235138,189572,834410,2892210,496488114,26051524,32413,8673248,1192131,,35949316,,,269140,36218456,,0,0,13.80
2845,遠東銀,2016Q4,twse,7361878,32744760,33830105,,6396656,22847242,4117,,355963672,79594706,2630635,1702220,,12841547,2889674,,1750568,635104,222399,561415283,7432194,,7954542,,13711223,5799874,405097,,452720460,24309357,,,6385369,1240278,,506012,520464406,31113672,456426,9609340,-228561,,40950877,,,,40950877,,0,0,13.16
2849,安泰銀,2016Q4,twse,4317897,24016375,26970324,,1389700,3975434,97722,89967,182231120,26088335,30521290,,,151726,803521,,212307,2091945,1679116,304636779,5006933,,1307927,,2250000,2447186,113455,,248308550,10000000,,1414865,2689367,436257,41580,123141,274139261,16796775,1461505,12246537,-7299,0,,,,,30497518,0,0,0,18.16
2897,王道銀行,2016Q4,twse,5979980,17126977,147722285,,200092,19046408,200582,,162544641,126981565,5544703,107981,148214,1520931,3771171,0,1499011,565263,3924946,496884750,56697931,,2377872,,163304781,3753143,75726,,184587611,17450000,,,18831642,1801044,248870,1885021,451013641,23905063,3193,5195687,284715,0,29388658,,,16482451,45871109,0,0,0,12.29
5876,上海商銀,2016Q4,twse,66775994,244371302,12744976,,0,15326174,112400,,849330659,351138563,72666706,1421566,,6749,22280250,5760628,,870520,4002465,1646808952,35428666,,1377770,,10186212,25340348,873972,,1354361910,38150000,,,3280387,1796539,10744497,2246221,1483786522,40791031,4647655,66538513,8339449,-83144,120233504,,,42788926,163022430,,11397439,0,29.56
