stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,按攤銷後成本衡量之債務工具投資,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2018Q1,twse,45345134,172291903,9208528,85083777,227362,260028625,,26178418,119086,,,1368570176,0,0,,,58716477,20570760,13746194,396020,3818966,2148690,2066450116,136291380,,11827999,,3145460,23171680,1449842,,1680942525,39526097,,,4004164,5035800,7208709,2439488,1915043144,94130007,,54352476,2924489,0,,,,,151406972,,0,0,16.08
2812,台中銀,2018Q1,twse,11831594,29704135,36524229,32605834,0,90457442,9917874,13466426,1804,0,0,426493810,0,0,158616,246619,21606,9354877,45927,163709,808380,2102330,663905212,12735991,5035680,269079,0,5274254,7520168,379676,0,566642126,17500000,0,0,1387608,1551470,111021,884349,619291422,32931789,684156,10427501,570344,0,44613790,,,0,44613790,0,0,0,13.55
2820,華票,2018Q1,twse,307139,0,103583731,98963801,,,5313971,1041515,257576,,,,0,0,,,548542,153547,,,126151,49405,210345378,17361056,,4544,,165560312,388763,,,,,,,1999772,1524181,1230,117187,186957045,13429600,2474,9366981,589278,,,,,,23388333,0,0,0,17.42
2834,臺企銀,2018Q1,twse,40234825,104407457,1443488,69774058,,207519924,29128876,32184885,129455,,,1110793874,0,0,,,80751,14193727,,258692,1540108,2059384,1613749504,91298057,94082,3580781,,1587734,35369372,352190,,1344558848,42000000,,,9560255,3281435,881594,1058380,1533622728,61479617,0,16441772,2205387,0,80126776,0,,0,80126776,0,0,0,13.03
2836,高雄銀,2018Q1,twse,3094329,10153813,187309,18940551,,43764856,13063849,1048032,65450,,,173074354,0,0,,,16449,2933374,,122844,321499,185102,266971811,6595047,,30732,,5776754,3381043,10462,,230920717,5500000,,,1011,352973,0,100545,252669284,10032238,1657705,2385022,227562,,,,,,14302527,,0,0,14.26
2838,聯邦銀,2018Q1,twse,8712391,20586314,30524641,36891104,,96712238,22486395,17532775,23471,,,320031872,0,0,52966,,1652082,8057287,5361375,2161944,1271373,7930485,579988713,10061079,,191980,,42545459,3920465,79204,,452309919,11700000,1457643,,4321334,284931,1104600,3041038,531017652,28051524,8032413,10898062,1719675,,48701674,,,269387,48971061,0,0,0,17.36
2845,遠東銀,2018Q1,twse,6298683,21646661,51725611,107233030,,2084845,13595583,22801793,127,,,360614190,0,0,1788874,,3853924,2890157,,1718714,618838,229674,597100704,10565773,,5136506,,14079321,5412309,290893,,487557789,18601900,,,10248834,1229089,,493245,553615659,31829286,456426,11224364,-25031,,43485045,,,,43485045,,0,0,13.66
2849,安泰銀,2018Q1,twse,4319631,21814326,14149394,36020844,,37398102,2393442,3417264,59969,0,,186291561,0,0,,,0,799647,,194820,1376557,913889,309149446,3797030,,507939,,0,1949009,0,,265601702,0,,772388,3326261,432329,43090,163595,276593343,17353240,1441228,13478237,283398,0,,,,,32556103,0,0,0,18.76
2897,王道銀行,2018Q1,twse,7517968,31884580,146072870,148219316,,499850,5711661,19069879,323562,,,181553851,0,0,,,291258,2997417,,2416215,713739,901903,548174069,66902873,,1030483,,171560818,5053877,180808,,212405023,20400000,,,20055990,1990984,268243,2159018,502008117,24130063,7730,5060619,-181033,,29017379,,,17148573,46165952,,0,0,12.03
5876,上海商銀,2018Q1,twse,59308607,222477040,15872582,357772195,,117409314,200164,18103293,91138,,,940943392,0,0,1473283,,5391,21021630,5174617,,864476,3134278,1763851400,42427438,,737968,,35233176,29095237,1993150,,1417232793,52372024,,,4751729,1933003,10161584,3051986,1598990088,40791031,4655555,75728074,2582721,-83144,123674237,,,41187075,164861312,,11397439,0,30.40
