stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1101,台泥,2018Q1,twse,75261374,207827210,283088584,53357480,63969234,117326714,42465090,25870809,51870788,29549421,-218166,149537942,,,16223928,165761870,,0,6000000,35.26
1102,亞泥,2018Q1,twse,54268970,195630899,249899869,50810456,50455950,101266406,33614472,1168705,97806689,-3053056,,129536810,,,19096653,148633463,,0,0,38.54
1103,嘉泥,2018Q1,twse,9415913,20078930,29494843,2707627,6759092,9466719,7747805,643184,9511808,1461308,-1149426,18214679,,,1813445,20028124,,0,131226016,28.30
1104,環泥,2018Q1,twse,3880052,17921608,21801660,2790203,1321784,4111987,6536092,46951,10235852,755076,,17573971,,,115702,17689673,,0,0,26.89
1108,幸福,2018Q1,twse,5018173,2137684,7155857,1868350,876877,2745227,4047380,8,350333,-8391,0,4389330,,,21300,4410630,,0,0,10.84
1109,信大,2018Q1,twse,2912700,5833293,8745993,1017643,710109,1727752,3599557,22452,2232604,-33915,0,5820698,,,1197543,7018241,0,0,0,16.17
1110,東泥,2018Q1,twse,2141571,7130322,9271893,388288,330807,719095,5720008,187952,2148128,469113,-12185,8513016,,,39782,8552798,,0,2112865,14.94
1201,味全,2018Q1,twse,18931905,13449130,32381035,18496057,5921820,24417877,5060629,688,379683,-122827,,5318173,,,2644985,7963158,0,0,0,10.51
1203,味王,2018Q1,twse,4497218,4797853,9295071,1902849,1561227,3464076,2400000,112965,2086948,103987,-38464,4665436,,,1165559,5830995,0,0,2293865,19.63
1210,大成,2018Q1,twse,20652758,20545486,41198244,15200955,3304450,18505405,7363944,2550673,6311075,990441,-306199,16909934,,,5782905,22692839,,0,52894691,24.74
1213,大飲,2018Q1,twse,404267,438443,842710,113102,31950,145052,566226,21938,109752,-258,,697658,,,,697658,0,0,0,12.32
1215,卜蜂,2018Q1,twse,5174761,9048207,14222968,5200401,1616345,6816746,2679910,1145,3090635,1298146,,7069836,,,336386,7406222,0,0,0,26.38
