stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2018Q2,twse,52706403,179420764,87543791,0,182747701,420281078,0,409651,56516668,542061,,,1590264840,4157349,0,58134,,19454745,10126814,32416896,583755,3068724,2778987,2643078361,101404538,,6142000,1108,49591770,22421073,53514907,1555618,,2121199714,64637734,2789000,,20208984,13991367,6099615,11677000,2475234428,115436133,17758986,30619287,4027494,,,167841900,2033,167843933,,0,0,15.19
2881,富邦金,2018Q2,twse,162261927,230652328,912499367,0,822182564,2417060516,4626433,57451262,180532237,529059,47754,,1775491053,21191973,0,27911495,,222873765,176526858,57408345,28249512,21873316,69468878,7188838642,168560900,2899167,101991434,3937194,186496140,10736611,135431736,9717293,,2227728133,191547481,6279357,,3385569793,196556190,10940169,44543940,6682935538,115002640,136979037,266940934,-13335498,,,505587113,315991,505903104,0,0,0,43.96
2882,國泰金,2018Q2,twse,309655895,109711078,1423426036,0,1149474661,2496164317,217899,109042261,189220327,2536508,,,2119649909,7781759,0,42829463,,583446775,319005665,165211367,54793271,39100999,87977919,9209246109,91802507,,167696630,,105689690,53847245,92897195,6869180,,2121960307,90600000,218389,,5177374930,654949610,28014899,17654575,8609575157,140965102,165452143,276958638,7114564,,,590490447,9180505,599670952,,0,0,41.89
2883,凱基金,2018Q2,twse,72988044,31087128,402915728,0,447197374,905571036,,57444637,118147374,821578,,,363591273,567242,0,16477145,44740227,92608497,25293174,31199805,21620213,12317349,55835245,2700423069,34237060,,123527547,,138257733,23360687,104070264,1484257,,407176069,24800000,30323783,,1440860134,109195535,7427295,25600480,2470320844,149572949,1240569,20264903,-6505421,-3861394,,160711606,69390619,230102225,,0,479215700,11.10
2884,玉山金,2018Q2,twse,50342321,68948408,462607884,0,157490081,4337284,,,106098425,12051,,,1262911423,,0,,,8541868,2012592,28294202,6015429,990285,7511797,2166114050,98311947,,52152821,,11111595,6607986,38933846,1031578,,1744576147,45550000,366163,,877012,9294475,2042112,2305576,2013161258,108289000,24710706,18924688,923343,,,152847737,105055,152952792,,0,0,15.01
2885,元大金,2018Q2,twse,54871306,47725861,506296778,0,237859597,327710205,,32290897,183709403,813450,0,,755338054,393210,0,1759805,2415060,47562572,5020898,22512240,35496412,5847685,40984743,2308608176,25545134,,109478792,,208166030,68853418,173703330,5034944,0,1037092446,60418764,71266194,0,208595746,69524927,3921548,38948179,2080549452,118202325,37710996,52506844,4541001,-2116607,,210844559,17214165,228058724,0,0,149621000,18.07
2886,兆豐金,2018Q2,twse,100346842,499939421,200975765,0,446166696,283529859,,10724573,102732196,848032,,,1835786645,4128887,0,3230494,,3444336,1836418,21873171,402612,7297764,4583373,3527847084,338408824,48149527,26299695,,232192786,13496543,86606848,10170042,,2392721826,23599698,3041525,,26887047,13961170,2434248,7646115,3225615894,135998240,68194233,90867106,7142419,0,0,302201998,29192,302231190,,0,0,22.22
2887,台新新光金,2018Q2,twse,19761557,68085966,120338515,0,303831820,7600,,903217,156450939,364615,,,991874672,,0,38829061,,7069149,765183,18889282,2267649,3150015,16623577,1749212817,54099381,,42117687,,90750355,16800231,40156504,1870141,,1216363114,61700000,11755338,,1662334,52786651,226152,4129815,1594417703,111498028,25828163,17118461,216701,,,154661353,133761,154795114,,92000,0,14.45
2889,國票金,2018Q2,twse,2713705,50372,121686640,0,103730496,,,1390042,24926735,224062,,,,,,1655796,,4711542,,1841082,220521,157438,1021568,264329999,,34366391,359466,,165246564,12851638,11972644,276617,,,,,,1527601,2000097,30251,422907,229054176,28198659,122240,2834683,645672,-158123,,31643131,3632692,35275823,0,0,20000000,11.44
2890,永豐金,2018Q2,twse,26895906,81325798,121671401,0,238577061,79439937,,23177579,86547956,326818,,,880440674,,0,444762,,35395716,2614662,12611985,2309664,2340885,21257177,1615377981,53634753,,27308959,0,62209513,50364998,43551738,1029650,,1137098764,42680788,13478093,18437,3296321,31261169,1458669,9875138,1477266990,112710541,2228771,22721596,446557,,,138107465,3526,138110991,,0,0,12.50
2891,中信金,2018Q2,twse,113026717,266666653,346121032,0,410320269,1615587089,148808,10849931,192939443,1560667,,,2268302128,2694272,0,34517617,,74141739,57686897,53120859,23800710,14853529,57674273,5544012633,59834742,16957916,118068280,453506,56273699,17696022,105888121,4574993,,3076643805,110833235,,,1464222860,181933919,2258821,15612658,5231252577,198303196,50368539,89008040,-25000524,0,,312679251,80805,312760056,0,0,0,15.77
