stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2019Q1,twse,50807365,210256545,8892021,95753735,260258988,261845,,25871665,1290979,,,1338709421,,,50986526,21051054,1883055,13741151,718729,3878385,1872858,2086234322,114730982,,11171677,,3634684,36325948,789974,,1685252580,49568558,,,4913856,5190220,1657241,9010869,3185340,1925431929,97895207,,58430362,4476824,0,160802393,,,,160802393,,0,0,16.43
2812,台中銀,2019Q1,twse,13823472,33965896,26176003,29141470,102756672,,12386734,12964286,331,,,445731622,153602,457741,429,9417264,998798,108927,157774,783117,1734281,690758419,7529607,5176340,141707,,11107726,11749736,550345,,580725424,20000000,,,1190911,1435674,1003617,111034,844943,641567064,35255084,726981,12257058,952232,,49191355,,,,49191355,,0,0,13.95
2820,華票,2019Q1,twse,315644,0,99158081,96334247,,,300000,1496079,265504,,,,,,549362,151255,15057,,,72951,47749,198705929,10479210,,5221,,159879409,1250954,,,,,,,1499465,1390931,15088,5629,358767,174884674,13429600,7333,9908302,476020,,,,,,23821255,0,0,0,17.74
2834,臺企銀,2019Q1,twse,43960475,70487038,19857283,80954953,261948456,,43820251,25713610,64880,,,1113128111,,,17692,14338914,827723,,268177,1434403,4993404,1681815370,103714109,679554,9232025,,1406238,39541771,1096247,,1367689645,53250000,,,10669192,3268910,819357,887764,1725255,1593980067,63938802,0,20163838,3732663,0,87835303,0,,0,87835303,0,0,0,13.74
2836,高雄銀,2019Q1,twse,3034457,10039754,269324,17582198,44043731,,4873397,1165582,19143,,,179838017,,,51072,2874145,311761,,125091,257556,128261,264613489,10227628,,75377,,9947846,3781964,0,,218628408,6300000,,,236,356628,324966,,102881,249745934,10403431,1487157,2681357,295610,,,,,,14867555,,0,0,14.29
2838,聯邦銀,2019Q1,twse,11785289,23362176,40668159,38845114,95206672,,42566071,18927789,85182,,,350847013,1614016,,5100561,7953656,1234440,5405782,2152971,665670,8230706,654651267,15314768,,417632,,59736903,7385286,35471,,499792037,8200000,1480848,,4014460,328426,1207081,1414618,3070693,602398223,28900129,8032413,11991852,3073301,,51997695,,,255349,52253044,,0,0,17.99
2845,遠東銀,2019Q1,twse,7227762,23358568,51520923,126127908,2598334,,9553266,20113072,107,,,379896174,1806915,,4455454,2727875,891375,,1693231,278654,179418,632429036,9145594,,2968532,,11333381,6912856,304974,,515352981,20501900,,,16904176,1213664,895599,,641919,586175576,32691859,456426,12772380,332795,,46253460,,,,46253460,,0,0,14.15
2849,安泰銀,2019Q1,twse,3173856,13002634,22946596,38062929,33215529,,1378202,6089898,51249,,,192294865,,,0,707586,781831,,190867,860881,1177383,313934306,5492230,,720283,,1343605,3880939,20100,,264073975,,,398284,2368683,458344,795525,38169,349217,279939354,18187938,1052639,14306442,447933,0,,,,,33994952,0,0,0,18.69
2897,王道銀行,2019Q1,twse,6055568,26564189,166995053,144311061,499968,,300000,17921549,356046,,,196600313,,,1335384,2917773,501758,,2418276,681164,930248,568388350,32543390,,475034,,163879603,4984563,169989,,276896595,17850000,,,15818645,1887958,503683,364590,2579474,517953524,27130063,9757,5527430,251586,,32918836,,,17515990,50434826,,0,0,12.13
5876,上海商銀,2019Q1,twse,42023620,230796997,13666986,444181724,109705582,,1074934,17505747,40900,,,1042776996,1838814,,4452591,21474872,1998013,5693411,1887824,812200,3066024,1942997235,66075438,,3662906,,18584908,31176503,1813212,,1539820331,74013389,,,4065748,2196756,2024195,9534307,3549223,1756516916,41016031,5893238,82491645,8037353,-83144,137355123,,,49125196,186480319,,11397439,0,33.58
