stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1240,茂生農經,2019Q1,tpex,917130,676124,1593254,419856,30901,450757,330000,134278,340006,338213,,,,,,1142497,,0,0,34.62
1259,安心,2019Q1,tpex,2378119,2327940,4706059,1532318,1323954,2856272,323895,809816,697997,-20924,-10123,1800661,,,49126,1849787,0,0,117000,55.80
1264,德麥,2019Q1,tpex,2464568,943730,3408298,443922,70845,514767,336960,706936,1376124,-23284,,2396736,,,496795,2893531,0,0,0,71.13
1268,漢來美食,2019Q1,tpex,1639477,2337416,3976893,1202562,1241868,2444430,373937,959686,261925,2725,-65810,1532463,,,,1532463,,0,500000,41.54
1336,台翰,2019Q1,tpex,1005589,1437999,2443588,752447,18645,771092,841154,762982,125973,-57613,0,1672496,,,,1672496,,0,0,19.88
1565,精華,2019Q1,tpex,4540910,4551133,9092043,1829682,1068962,2898644,504165,526000,5161299,1935,,6193399,,,,6193399,0,0,0,122.84
1569,濱川,2019Q1,tpex,3186846,3207027,6393873,2688214,901081,3589295,1127133,1053283,583076,-68253,,2695239,,,109339,2804578,,0,0,23.91
1570,力肯,2019Q1,tpex,663392,243330,906722,151765,9686,161451,515008,0,232293,-2030,0,745271,,,0,745271,0,0,0,14.47
1580,新麥,2019Q1,tpex,2080621,1112234,3192855,754201,207481,961682,502302,75738,1660456,-65155,,2173341,,,57832,2231173,0,0,0,43.27
1584,精剛,2019Q1,tpex,635824,1479720,2115544,736348,425632,1161980,824705,286822,-127021,-79442,,905064,,,48500,953564,,0,0,10.97
1586,和勤,2019Q1,tpex,1866268,1229574,3095842,1528137,136328,1664465,764888,512998,329611,-55578,-120542,1431377,,,,1431377,,0,3242000,19.54
1591,駿吉-KY,2019Q1,tpex,372832,366749,739581,259339,36215,295554,331648,22159,203393,-113173,,444027,,,,444027,0,0,0,13.39
1593,祺驊,2019Q1,tpex,735139,369310,1104449,170214,9414,179628,319484,285787,331520,-18490,0,918301,,,6520,924821,0,0,0,28.74
1595,川寶,2019Q1,tpex,2602299,1165248,3767547,997296,338214,1335510,471481,545756,1431161,-5881,-10480,2432037,,,,2432037,,0,222000,51.83
1599,宏佳騰,2019Q1,tpex,1462873,785662,2248535,636405,32474,668879,620025,487161,616141,-22421,-121250,1579656,,,,1579656,0,0,2956000,26.75
1742,台蠟,2019Q1,tpex,666218,470754,1136972,504606,43451,548057,550500,23080,20560,6209,-11434,588915,,,,588915,0,0,598000,10.82
1777,生泰,2019Q1,tpex,1132129,760046,1892175,662360,90837,753197,300595,314322,526266,-2205,,,,,,1138978,0,0,0,37.89
