stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2021Q2,twse,32934881,191137336,123205034,288382429,625477494,,1089541,63281398,371224,,,1875971308,6147913,352122,,35137600,11653441,31751375,1856297,941061,3309567,5257979,3298258000,104084779,24827720,4500572,,45109381,19867354,82988156,1491562,,2645364529,71690180,2904250,,23498772,59569398,1814923,6107538,4766025,3098585139,128547788,17758986,43214977,10149103,,,199670854,2007,199672861,,0,0,15.53
2881,富邦金,2021Q2,twse,237501896,308266837,1617967170,916618999,3059860795,3836320,82286940,250474702,1512670,139999,,2419776529,29478429,35702262,,531289139,304867748,62050936,8446921,33318819,30620958,56440400,9990458469,203598901,6222100,52895186,10457162,185310835,47728698,239484693,15525485,,3016307064,261357264,1569322,,4392990257,576589585,21633682,26537813,56581755,9114789802,125236244,128561334,420496300,168299853,-698392,,841895339,33773328,875668667,0,0,22051000,73.35
2882,國泰金,2021Q2,twse,544477045,197432609,1815942101,1588241683,3174595890,129913,71938703,190169621,4318128,,,2263477801,12034071,33204066,,712764024,429841499,99362398,4168739,52646092,67992966,55706122,11318443471,87645603,1076000,95581687,36014,21854793,44829587,157844631,15557668,,2725931758,141800000,1962265,,6279543571,739667099,14486802,60297442,32911999,10421026919,147025102,177251872,427879633,133980387,0,0,886136994,11279558,897416552,,0,0,60.27
2883,凱基金,2021Q2,twse,160037493,34459520,560348481,576353806,1152304045,161329,36899750,191982560,223017,,,409548840,1032766,15809853,,150799117,30022906,35157330,13847475,19012943,15020122,95234507,3498255860,22436696,97870,102282120,301767,119972567,23092311,136525792,4004265,,488565344,72332612,46042873,,1945908444,164824626,4340685,10316879,46333215,3187378066,149912200,11998917,52531695,11403074,0,,225845886,85031908,310877794,,1365000,0,15.07
2884,玉山金,2021Q2,twse,56221657,124162120,629978685,306343420,33847921,,3511272,114837479,36876,,,1666096316,,,,6395474,1777192,33278991,7129215,6178850,2073553,8801610,3000670631,74339824,10467950,63114993,,17273129,6434945,40507443,2240282,,2487556880,40670000,585192,,998622,54931498,4114085,1299540,3411001,2807945384,125866000,25662214,41494306,-437613,,,192584907,140340,192725247,,0,0,15.32
2885,元大金,2021Q2,twse,69103373,62135475,606177595,319498753,486571792,,42426670,324375706,577510,141687,,826885700,1270928,2930970,3170804,114467847,11375181,23949122,12631652,31254887,6531092,70913568,3016390312,23034684,600800,172671159,,190510847,62250965,297186318,7919238,,1319204294,90466681,72123627,,325195965,123101122,5859748,4593713,44468494,2739187655,121374360,37885949,87097773,10355894,,,256713976,20488681,277202657,0,0,0,21.15
2886,兆豐金,2021Q2,twse,122765555,568962816,201603496,552714912,605384029,,499272,121023502,375160,15813,,2005117219,5413466,5532688,,6346596,1107623,21931924,1859253,998451,5478828,6951456,4234082059,606488191,27361208,20394501,,230659440,17171955,157876348,11675628,,2778182249,6000000,1531347,,30386821,13266531,1910123,2928454,9874813,3915707609,135998240,68194233,99478176,14703801,0,0,318374450,0,318374450,0,0,0,23.41
2887,台新新光金,2021Q2,twse,25148158,84585802,132391059,194959502,458720588,,5294748,161613386,549991,,,1321054141,520849,81775,,35171849,2862912,22481477,2686991,3287341,3752867,12237188,2467400624,53088913,2442240,31634824,,74961378,21774512,55561560,2717734,,1648521164,70100000,12429729,,184139187,101597608,2786353,1345660,6088611,2269189473,117136172,35921647,45018893,94449,,,198171161,39990,198211151,,0,0,16.92
2889,國票金,2021Q2,twse,2792201,2,142263811,119767056,,,77129,46119195,30,0,,,,6635154,,13937521,44868,7441572,135026,232118,100346,3549672,343095701,,22573846,5286014,,206861787,21138940,29065810,757376,,,,,,1706270,7164182,135450,316621,3520146,298526442,28964817,156037,7860720,2798641,-106346,,39673869,4895390,44569259,0,0,10000000,13.74
2890,永豐金,2021Q2,twse,26277293,153505453,97065541,372112782,156322511,,74009142,115359648,311550,,,1201904542,,654395,,42008864,2457866,13152946,3520569,2226359,2404258,18526738,2281820457,79776008,130290,21547576,,39744624,33605365,63653569,1802127,,1742099687,55994345,18567873,18437,3724265,43376272,2915314,1157160,9575240,2117688152,112710541,2228764,45690969,3502031,,,164132305,0,164132305,,0,0,14.56
2891,中信金,2021Q2,twse,158613452,331853201,486292893,578763630,1873156999,60870,6732210,167211567,1663568,,,2653198575,3161894,30865687,,159590914,89906003,49613194,17170001,24477589,17913154,44948166,6695193567,48055219,13244779,56035528,116600,90868088,15847322,105636535,8190899,,3791571754,132882346,,,1756564764,196638252,16227726,5868900,28543855,6266292567,199969796,58732202,179108531,-8985357,,,428825172,75828,428901000,0,0,0,21.44
2892,第一金,2021Q2,twse,44007234,279581989,176295934,276031113,693023946,0,0,53855980,1478963,,,2001911360,59364,2883769,,19991506,11278121,27449918,2527958,783527,3070528,6497885,3600729095,247235144,22680614,11105260,,20887225,22770547,69296653,3619129,,2797614135,46800000,0,,55241381,59736363,2355263,6906473,5302305,3371550492,128358011,26107218,58732725,15980649,,,229178603,0,229178603,0,0,0,17.85
5880,合庫金,2021Q2,twse,58108161,332564915,107267956,462694672,714100928,,880542,49750404,2114599,,,2407631320,163195,145386,,119842391,11019291,33268226,1587997,3864096,2538966,3347734,4310890779,254818742,70617600,2190647,,52939592,26548787,75245786,1224961,,3350448437,71100000,492594,,36113543,112863793,1532540,3715636,2694278,4062546936,133342237,57974241,39703586,10593832,,,241613896,6729947,248343843,,0,0,18.12
