stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1240,茂生農經,2023Q1,tpex,1296825,888963,2185788,820013,32149,852162,385982,,145207,466470,254120,,1251779,,,81847,1333626,,0,0,32.43
1259,安心,2023Q1,tpex,1654365,3841453,5495818,1692452,1608129,3300581,323895,,809816,814323,228007,,2176041,,,19196,2195237,0,0,0,67.18
1264,德麥,2023Q1,tpex,2710790,1770807,4481597,1103238,71779,1175017,370644,,673465,1646415,-35246,-2432,2652846,,,653734,3306580,0,0,12000,71.60
1268,漢來美食,2023Q1,tpex,2140718,4125699,6266417,1403782,2843422,4247204,427237,,1176918,529061,-48193,-65810,2019213,,,,2019213,,0,500000,47.82
1336,台翰,2023Q1,tpex,1388578,1311598,2700176,583049,408668,991717,788184,,695473,355219,-130417,,1708459,,,,1708459,0,0,0,21.68
1565,精華,2023Q1,tpex,4195461,3929296,8124757,1934700,438201,2372901,504165,,526000,4719891,1800,,5751856,,,,5751856,0,0,0,114.09
1569,濱川,2023Q1,tpex,3846536,3130179,6976715,2917987,502351,3420338,1214474,,1154878,1213557,-155175,,3427734,,,128643,3556377,,0,0,28.22
1570,力肯,2023Q1,tpex,790090,279578,1069668,107555,23837,131392,515008,,0,427017,-3749,0,938276,,,0,938276,0,0,0,18.22
1580,新麥,2023Q1,tpex,2226595,1452552,3679147,1103308,60574,1163882,502302,,206827,1818962,-119472,,2408619,,,106646,2515265,,0,0,47.95
1584,精剛,2023Q1,tpex,2790135,1481573,4271708,979968,1074542,2054510,1524705,,354771,231421,26791,,2137688,,,79510,2217198,0,0,0,14.02
1586,和勤,2023Q1,tpex,1984435,2150824,4135259,1864520,802522,2667042,858988,,555218,348366,-89825,-204530,1468217,,,,1468217,0,0,5054000,18.16
1591,駿吉-KY,2023Q1,tpex,301501,286399,587900,85301,18302,103603,347980,,22159,274653,-150734,-9761,484297,,,0,484297,0,0,500000,14.12
1593,祺驊,2023Q1,tpex,830100,1246064,2076164,462271,289609,751880,375443,,580378,350674,-34523,0,1271972,,,52312,1324284,0,288254,0,33.88
1595,川寶,2023Q1,tpex,3734579,1263482,4998061,2139959,257228,2397187,474226,,567379,1552004,4205,0,2597814,,,3060,2600874,,0,0,54.78
