stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2024Q3,twse,36834051,243708190,79914026,300212671,472944365,,,28225791,173463,,,1963575712,,,457625,21162532,1861189,13926451,929564,1777835,1426214,3167129679,184578811,,4406705,,1568755,52865983,1371950,,2663849515,40810469,,,1075908,3079163,1729314,8427951,3547313,2967311837,112057583,,24,74776842,12983393,0,199817842,,,,199817842,,0,0,17.83
2812,台中銀,2024Q3,twse,10441407,48316683,33269507,92091428,104377616,,14969701,25651016,2,,,580481410,190058,134858,101123,18752501,1039937,971057,258692,924871,3499854,935471721,7562532,14775866,2816467,,9775560,9347625,427840,,783476832,13500000,,,8470513,1384786,1068687,109486,1105659,853821853,55187566,,1528256,22823328,2110718,0,81649868,,,0,81649868,0,0,0,14.79
2820,華票,2024Q3,twse,342065,,151558918,94955262,2189155,,2692802,928994,428269,,,,,,58148,145653,6784,,,95211,673551,254074812,48645981,,35199,,177138462,903028,,,,,,,,1397405,6892,40143,513057,228680167,13429600,,15224,12240046,-290225,,,,,,25394645,,0,0,18.91
2834,臺企銀,2024Q3,twse,29053822,143846754,79186352,183367344,250253869,,12743469,12837246,353520,,,1573464535,0,,7412,13843899,1207674,,1139291,1964504,17150939,2320420630,174458639,1438140,9836377,,2648104,22374480,532176,,1913264084,53460000,,,3370702,2630282,1234973,907905,3891606,2190047468,91679828,,816129,36084218,1792987,,130373162,,,,130373162,0,0,0,14.22
2836,高雄銀,2024Q3,twse,4612564,14512241,2790402,35470524,57614293,,5758021,2476604,0,,,212781982,,,237555,3110007,358780,,113388,106688,218732,340161781,9519145,0,35860,,12207519,5593799,68729,,281566485,5377000,,,,373682,359795,13487,168035,315283536,18263271,,1436134,4911346,267494,,,,,,24878245,,0,0,13.62
2838,聯邦銀,2024Q3,twse,8540566,37525619,53250878,62184911,80557817,,57328787,46073819,680857,,,598876077,376944,,1560561,16023851,1862273,4682927,2177452,443139,8892845,981039323,12382702,1500776,872936,,64131424,11329101,623291,,785542848,5000000,940661,375000,12688367,484412,1858263,2082492,3811634,903623907,42500729,,8168291,18703211,5822537,,75194768,,,2220648,77415416,,0,0,17.69
2845,遠東銀,2024Q3,twse,4987375,54644754,46746179,62670501,147035899,,1895889,18261777,,,,489914006,2820167,,7856393,5161015,998480,,1553075,133846,343186,845022542,1318019,533333,7370848,,1589439,7756302,155554,,710720221,10901900,,,41927499,608785,1013030,,600630,784495560,42753997,,302926,17439252,30807,,60526982,,,,60526982,,0,0,14.16
2849,安泰銀,2024Q3,twse,2815133,14650209,23505054,42886026,36828073,,845583,3962037,215183,,,226317572,,,0,736610,762480,0,264676,580553,1247264,355616453,2968835,,309429,,378073,2777182,10802,,311511034,,,,2131087,232616,754237,55608,109731,321238634,19576094,,402822,15178290,-779387,0,,,,,34377819,,0,0,17.56
2897,王道銀行,2024Q3,twse,6907028,18226220,188614668,168842040,25386799,,6090247,3648516,633287,,,244928763,7069168,,1056760,2349235,437786,,1670508,724700,1861619,678447344,65982225,,1409847,,188875503,5888797,298541,,324356104,13950000,,,10147675,2013476,456929,846185,691781,614917063,32830063,,567541,12806110,-1391920,-73183,44738611,,,18791670,63530281,,7939000,0,13.66
5876,上海商銀,2024Q3,twse,41398176,418966756,9645423,439413266,219323030,,14180928,27778716,140268,,,1222117971,2576255,,16460,23772923,1868513,7612880,2207217,3308048,13095074,2447421904,33856841,,5671882,,6030564,42063498,1994790,,2014206319,56346986,,,8661263,3347619,1895499,9472250,4192419,2187739930,48616031,,27705927,109140214,8098307,-83144,193477335,,,66204639,259681974,0,11397439,0,39.89
