stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1101,台泥,2025Q3,twse,178421439,402654992,581076431,94125885,206382676,300508561,77511817,,74837523,55462857,17294512,-1635644,223471065,,,57096805,280567870,,0,58000000,29.05
1102,亞泥,2025Q3,twse,94826165,222549037,317375202,71858751,49193442,121052193,35465629,,8240452,124892733,5413245,,174012059,,,22310950,196323009,,0,0,49.06
1103,嘉泥,2025Q3,twse,9324570,23946713,33271283,3536579,10915465,14452044,7902474,,1450848,10235091,-283929,-1079060,18225424,,,593815,18819239,,0,131491726,27.67
1104,環泥,2025Q3,twse,7383784,22242954,29626738,3856346,1766114,5622460,6866818,,119805,14428310,1802224,,23217157,,,787121,24004278,,0,0,33.81
1108,幸福,2025Q3,twse,5768672,4463051,10231723,4226081,316374,4542455,4047380,,22,1676726,-34922,,5689206,,,62,5689268,,0,0,14.06
1109,信大,2025Q3,twse,5795336,5206014,11001350,892888,148657,1041545,3411589,,15962,4922240,-229197,,8120594,,,1839211,9959805,0,0,0,23.80
1110,東泥,2025Q3,twse,2890181,9836733,12726914,1947104,1154624,3101728,5720008,,190103,2565465,976786,-10830,9441532,,,183654,9625186,,0,1877865,16.56
1201,味全,2025Q3,twse,6664651,11138047,17802698,6384733,3928319,10313052,5060629,,41003,2705599,-325496,,7481735,,,7911,7489646,0,0,0,14.78
1203,味王,2025Q3,twse,4756477,5650833,10407310,1943867,1409882,3353749,2400000,,56781,3601260,87666,-38464,6107243,,,946318,7053561,0,0,2293865,25.69
1210,大成,2025Q3,twse,29227274,41277700,70504974,32899437,4376530,37275967,8947673,0,4274788,11444250,846976,-734821,24778866,0,,8450141,33229007,,0,58059471,29.61
1213,大飲,2025Q3,twse,290596,499414,790010,67228,59026,126254,566226,,21938,75766,-174,,663756,,,,663756,0,0,0,11.72
1215,卜蜂,2025Q3,twse,8683792,22162885,30846677,9185849,9598321,18784170,2947901,,37085,7499474,1137890,,11622350,,,440157,12062507,0,0,0,39.43
1216,統一,2025Q3,twse,232056774,485058403,717115177,264992985,253145246,518138231,56820154,,2776921,75831457,-7745949,,127682583,,,71294363,198976946,0,0,0,22.47
1217,愛之味,2025Q3,twse,3118729,12516652,15635381,3207793,4137663,7345456,4945134,,268144,1315328,987126,,7515732,,,774193,8289925,,0,0,15.20
1218,泰山,2025Q3,twse,4936034,9580890,14516924,1444165,379546,1823711,4999990,,1032867,6913088,-53246,-203876,12688823,,,4390,12693213,,0,13680042,26.09
1219,福壽,2025Q3,twse,4884442,4700727,9585169,3146843,1881593,5028436,3412384,,61767,1049638,-8618,0,4515171,,,41562,4556733,,0,0,13.23
1220,台榮,2025Q3,twse,2174986,1315443,3490429,751076,179745,930821,1770779,,24880,559931,-177,-10881,2344532,,,215076,2559608,,0,679000,13.29
1225,福懋油,2025Q3,twse,4487557,3593097,8080654,2656784,1151524,3808308,2422683,,124579,1335459,-103616,,3779105,,,493241,4272346,,0,0,15.60
1227,佳格,2025Q3,twse,17977308,9435884,27413192,8825660,438201,9263861,9150897,,183259,8675815,-131004,-21182,17857785,,,291546,18149331,0,0,6669471,19.66
1229,聯華,2025Q3,twse,17361262,81474164,98835426,14511133,4865615,19376748,17959607,,1105621,16865255,21326667,-136868,57120282,,,22338396,79458678,0,0,7239000,31.93
1231,聯華食,2025Q3,twse,6045827,8648185,14694012,4151452,3762421,7913873,2984544,,93840,3679510,5421,,6763315,,,16824,6780139,0,0,0,22.66
1232,大統益,2025Q3,twse,6066225,2786017,8852242,1937205,1207759,3144964,1599749,,23784,3873638,5438,,5502609,,,204669,5707278,0,0,0,34.40
1233,天仁,2025Q3,twse,698294,1495126,2193420,599480,254846,854326,905919,,18184,469349,-55330,-1974,1336148,,,2946,1339094,0,0,43000,14.76
1234,黑松,2025Q3,twse,9185338,14966464,24151802,3100802,2357706,5458508,4018711,,186936,14379427,108220,,18693294,,,,18693294,,0,0,46.52
1235,興泰,2025Q3,twse,999017,4551770,5550787,2418447,54873,2473320,1885778,,323577,1173046,283726,-867600,2798527,,,278940,3077467,,0,119264643,73.87
1236,宏亞,2025Q3,twse,769389,3000377,3769766,485355,776830,1262185,866740,,34205,1249919,356717,,2507581,,,,2507581,,0,0,28.93
1256,鮮活果汁-KY,2025Q3,twse,2145535,2453724,4599259,1085807,80584,1166391,338422,,1145562,2118876,-176633,,3426227,,,6641,3432868,,0,0,101.24
1301,台塑,2025Q3,twse,108447513,380969647,489417160,92826018,104694212,197520230,63657408,0,11964445,191085078,25189999,0,291896930,0,,0,291896930,,0,0,45.85
1303,南亞,2025Q3,twse,175360882,412852479,588213361,151111586,92535710,243647296,79308216,,27106806,223179945,-607093,,328987874,,,15578191,344566065,0,0,0,41.48
1304,台聚,2025Q3,twse,23605774,40954191,64559965,13940291,13704491,27644782,11887635,,499366,6830832,-637852,-475606,18104375,,,18810808,36915183,,0,116465574,16.88
1305,華夏,2025Q3,twse,4570931,12570612,17141543,4942628,3843525,8786153,5810505,,20309,2009721,-2902,,7837633,,,517757,8355390,,0,0,13.49
1307,三芳,2025Q3,twse,8986001,7996425,16982426,4712311,2831581,7543892,3978181,,151079,5537230,-227956,,9438534,,,,9438534,,0,0,23.73
1308,亞聚,2025Q3,twse,2841511,9432441,12273952,1115081,704482,1819563,5937438,,38153,4876678,-397880,,10454389,,,,10454389,,0,0,17.61
1309,台達化,2025Q3,twse,5467925,3284863,8752788,2787323,295100,3082423,3975868,,3248,1790659,-99410,,5670365,,,,5670365,,0,0,14.26
1310,台苯,2025Q3,twse,2150723,7291695,9442418,2282318,255870,2538188,5278698,,127367,87333,1284908,,6778306,,,125924,6904230,,0,0,12.84
