stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,保險合約資產及再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,保險合約負債及再保險合約負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2026Q1,twse,45717871,299527494,220643635,422502291,805643086,,1349143,108438840,261809,,,2458670232,4441375,266431,,18676074,13701597,33791232,2229048,1044761,3798307,5287928,4445991154,321442472,,6436659,,100020300,58741575,69282989,3616882,,3432745816,69692150,3195000,,6968645,91299820,13784710,2255586,6204944,16795699,4202483247,139169651,17766839,88094728,-1525926,,,243505292,2615,243507907,,0,0,17.50
2881,富邦金,2026Q1,twse,358727505,555381507,858563121,2452553610,3470389717,9415579,154159254,418741642,3211369,4155164,,3592216619,65005460,63301001,,549813035,314771315,77773676,14278697,34428451,61195328,62022676,13120104726,250104949,200969,301866610,25811647,90023954,111611887,216604193,25787403,189635,5087657997,490055477,21427549,,9600899,253213240,4764442230,21800852,50070129,364930082,12085399702,156073549,154734824,833786243,-125473167,,,1019121449,15583575,1034705024,,0,0,65.30
2882,國泰金,2026Q1,twse,293505959,478374050,956674073,3733309977,3392666299,277344,46189238,351852572,1943385,,,3275550809,52936397,81855859,,895599605,508311596,110236881,5666794,31097213,127886471,106099962,14450034484,204853788,,714636605,2252671,47843929,104741415,149065432,27174672,,4463453341,289577614,48341814,,5523098,77271378,7135948491,20262284,44855356,297205765,13633007653,162025102,203132822,773098271,-327473468,0,0,810782727,6244104,817026831,,0,0,50.04
2883,凱基金,2026Q1,twse,75116245,69812557,360651618,990108772,1309103392,256200,82117988,260454934,915166,,,525216899,302164,29951277,,246706040,58120954,30474194,12723263,6152724,33080678,143767803,4235032868,1139956,,149189997,927045,190130323,124827808,171387084,10577790,,662015942,123839799,37932794,,985957,158126467,1999530291,5400893,37967216,190041957,3864021319,185569894,33767008,232088347,-80549370,,,370875879,135670,371011549,0,0,0,19.99
2884,玉山金,2026Q1,twse,45485669,317191708,321204775,439493828,534882011,223512,41200424,178788061,567693,,,2704225529,,,,12160965,1313657,34131566,7958543,7853265,3320988,29433813,4679436007,97784339,,90860434,3571916,63492421,35558904,58080393,5080965,,3833941080,46620000,334945,,1323934,143737204,,5371234,2875453,5655963,4394289185,161920000,35847197,77082271,9886696,,,284736164,410658,285146822,,0,0,17.60
2885,元大金,2026Q1,twse,77947312,153029112,780950268,494180342,475923989,,70702343,583961745,2623057,0,,1526232035,63642,3086423,11156213,239758283,20578258,30659710,10486477,30390164,6736376,122413933,4640879682,30069705,,287195881,,270899536,187761244,343478511,7529068,,1976758043,130723765,107279553,,5275920,225616826,392783492,6899894,8275879,273795383,4254342700,133311499,38274157,176847858,10448479,,,358881993,27654989,386536982,0,0,0,26.92
2886,兆豐金,2026Q1,twse,108936088,665805572,277403869,737354583,478007931,,3432573,157698776,1569202,,,2498622414,13006034,5125792,,9934770,1685002,23281958,2193529,1629956,6958363,10633265,5003279677,703100689,2160875,28876052,,327806813,57433916,116212359,8987771,,3222658789,50200000,5810000,,17477663,26248861,10796108,2259790,2233849,19062748,4601326283,148333783,76849829,159802627,16967155,,,401953394,,401953394,0,0,0,27.10
2887,台新新光金,2026Q1,twse,97795796,284687302,378417961,2001192490,1675173057,,31410425,346500709,1516552,4885637,,2905523432,1258366,3021795,,172953173,231343674,84632915,6934494,674445540,50658500,112357137,9064708955,98938101,,155290566,,160544946,108454001,134561854,7359100,,3746971084,146527470,8545014,28576911,2443271,182633819,3355596287,9439651,48896172,270733161,8465511408,262610672,133732478,164786850,37675640,-89298,,598716342,481205,599197547,,0,1927518,22.80
2889,國票金,2026Q1,twse,15724281,95,181021585,157336196,699406,,3920154,64927222,10333,,,,,5486163,,22382950,392857,6916616,162400,267455,544897,9785548,469578158,,24417133,4431730,,274304207,54376261,27757569,608214,,,,,,1823196,17925259,,158720,68081,8941839,414812209,36335635,406012,6648494,3163059,,,46553200,8212749,54765949,0,0,0,12.81
2890,永豐金,2026Q1,twse,41779009,283061223,193958050,467434228,358647350,,61262740,218183183,451833,0,,2033972191,,1123916,,76437259,2319859,18813452,4482466,12729056,3465573,42227848,3820349236,123114733,,72036717,,81767835,138735948,104486298,4555151,0,2779616655,62784100,14992781,18437,2935440,138491074,,4065777,2438847,22191371,3552231164,144923223,26827097,101559222,-7884931,,,265424611,2693461,268118072,,0,0,18.31
