stock_id,name,period,market,報表日期,出表日期,年度,季別,公司代號,公司名稱,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,Date,CompanyName
5864,致和證,2026Q2,tpex,1150909,,115,2,5864,,5225386.00,255108.00,4970278.00,42170.00,5012448.00,70013.00,4942435.00,,,4942435.00,16466.00,,4958901.00,,,,,,,9.80,1150909,致和證
6015,宏遠證,2026Q2,tpex,1150909,,115,2,6015,,2396012.00,1164715.00,1231297.00,213561.00,1444858.00,130403.00,1314455.00,,,1314455.00,21276.00,,1335731.00,1314455.00,,,1335731.00,,,3.33,1150909,宏遠證
6016,康和證,2026Q2,tpex,1150909,,115,2,6016,,6663094.00,3068148.00,3594946.00,223659.00,3818605.00,238622.00,3579983.00,,,3579983.00,406.00,,3580389.00,3575023.00,,4960.00,3576297.00,,4092.00,4.63,1150909,康和證
6020,大展證,2026Q2,tpex,1150909,,115,2,6020,,982809.00,163614.00,819195.00,34922.00,854117.00,60458.00,793659.00,,,793659.00,-123633.00,,670026.00,793659.00,,0.00,670026.00,,0.00,3.15,1150909,大展證
6021,美好證,2026Q2,tpex,1150909,,115,2,6021,,2965216.00,786709.00,2178507.00,52308.00,2230815.00,53479.00,2177336.00,,,2177336.00,1559922.00,,3737258.00,2177336.00,,,3737258.00,,,7.05,1150909,美好證
6023,元大期貨,2026Q2,tpex,1150909,,115,2,6023,,2478953.00,2893349.00,-414396.00,2375850.00,1961454.00,417840.00,1543614.00,,,1543614.00,276028.00,,1819642.00,1543614.00,,,1819642.00,,,4.19,1150909,元大期貨
6026,福邦證,2026Q2,tpex,1150909,,115,2,6026,,954050.00,386428.00,567622.00,-60150.00,507472.00,80236.00,427236.00,,,427236.00,299983.00,,727219.00,427236.00,,0.00,727219.00,,,1.08,1150909,福邦證
2855,統一證,2026Q2,twse,1150909,1150909,115,2,2855,統一證,17544856.00,9576345.00,7968511.00,4436186.00,12404697.00,838174.00,11566523.00,,,11566523.00,975576.00,,12542099.00,11138988.00,,427535.00,12108970.00,,433129.00,6.96,,
6005,群益證,2026Q2,twse,1150909,1150909,115,2,6005,群益證,19197814.00,12604139.00,6593675.00,2947958.00,9541633.00,1111456.00,8430177.00,,,8430177.00,-655302.00,,7774875.00,7948928.00,,481249.00,7304589.00,,470286.00,3.24,,
6024,群益期,2026Q2,twse,1150909,1150909,115,2,6024,群益期,1127724.00,1886343.00,-758619.00,2026491.00,1267872.00,182432.00,1085440.00,,,1085440.00,-24745.00,,1060695.00,1089419.00,,-3979.00,1064568.00,,-3873.00,4.09,,
