stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1101,台泥,2015Q3,twse,69118302,59033946,10084356,,,10084356,3476740,,6607616,-723929,5883687,1191897,4691790,,,4691790,-3201731,,1490059,4000652,,691138,605877,,884182,1.08
1102,亞泥,2015Q3,twse,49113910,44182685,4931225,418,,4930807,2076259,,2854548,2234539,5089087,682533,4406554,,,4406554,2328905,,6735459,4421041,,-14487,6774072,,-38613,1.41
1103,嘉泥,2015Q3,twse,1957612,2088788,-131176,,,-131176,315622,45981,-400817,31022,-369795,14787,-384582,,,-384582,-4533845,,-4918427,-401198,,16616,-4768291,,-150136,-0.62
1104,環泥,2015Q3,twse,3770779,3411936,358843,,,358843,262336,,96507,886531,983038,73306,909732,,,909732,-117658,,792074,916609,,-6877,798951,,-6877,1.46
1108,幸福,2015Q3,twse,3765704,3011971,753733,,,753733,194484,4,559253,-17865,541388,102442,438946,-39452,,399494,-7667,,391827,407328,,-7834,399392,,-7565,1.01
1109,信大,2015Q3,twse,3204963,2917823,287140,,,287140,293271,,-6131,-48231,-54362,47133,-101495,,,-101495,26242,,-75253,-35954,,-65541,-22220,,-53033,-0.09
1110,東泥,2015Q3,twse,1371851,1259335,112516,,,112516,43381,,69135,53277,122412,124,122288,,,122288,-269548,,-147260,121898,,390,-147646,,386,0.21
1201,味全,2015Q3,twse,15400616,11162417,4238199,,,4238199,5043392,,-805193,-343565,-1148758,-164468,-984290,-425706,,-1409996,-15183,,-1425179,-1183332,,-226664,-1197318,,-227861,-2.34
1203,味王,2015Q3,twse,5106824,3887822,1219002,0,0,1219002,683417,,535585,84106,619691,147787,471904,0,,471904,-100829,,371075,314934,,156970,269761,,101314,1.32
1210,大成,2015Q3,twse,58723159,52525419,6197740,,,6197740,5164937,,1032803,-115352,917451,293673,623778,-3952,,619826,4599,,624425,598910,,20916,626088,,-1663,0.88
1213,大飲,2015Q3,twse,602085,506687,95398,,,95398,64407,,30991,6203,37194,7619,29575,,,29575,-10,,29565,29575,,,29565,,,0.57
