stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1259,安心,2015Q4,tpex,4424550,3252834,1171716,,,1171716,1035795,,135921,-9801,126120,39792,86328,,,86328,-4865,,81463,131234,,-44906,126776,,-45313,4.05
1264,德麥,2015Q4,tpex,3888905,2497175,1391730,18,58,1391770,842034,,549736,-10921,538815,103757,435058,,,435058,-13556,,421502,399091,,35967,390940,,30562,13.33
1268,漢來美食,2015Q4,tpex,2896411,1641465,1254946,,,1254946,1014767,,240179,549,240728,59377,181351,,,181351,-92319,,89032,181351,,,89032,,,6.13
1336,台翰,2015Q4,tpex,1826645,1787400,39245,,,39245,225141,0,-185896,10017,-175879,-26799,-149080,,,-149080,-19244,,-168324,-149080,,,-168324,,,-2.38
1565,精華,2015Q4,tpex,5860212,3697034,2163178,,,2163178,497005,,1666173,51411,1717584,261599,1455985,,,1455985,3770,,1459755,1455985,,,1459755,,,28.88
1569,濱川,2015Q4,tpex,2345847,2341449,4398,,,4398,276576,,-272178,-65036,-337214,-21012,-316202,,,-316202,-23457,,-339659,-316202,,,-339659,,,-3.54
1570,力肯,2015Q4,tpex,703231,531897,171334,,,171334,78732,,92602,11892,104494,18187,86307,,,86307,-1437,,84870,86307,,,84870,,,1.68
1580,新麥,2015Q4,tpex,4108932,2464450,1644482,,,1644482,969742,,674740,5756,680496,193556,486940,,,486940,-26685,,460255,471817,,15123,444562,,15693,9.72
1584,精剛,2015Q4,tpex,1009655,1017512,-7857,,,-7857,88971,,-96828,-16233,-113061,1222,-114283,,,-114283,-6594,,-120877,,,,,,,-1.12
1586,和勤,2015Q4,tpex,1699882,1445432,254450,,,254450,241705,,12745,-36308,-23563,-11426,-12137,,,-12137,-23144,,-35281,-12137,,0,-35281,,0,-0.27
1591,駿吉-KY,2015Q4,tpex,571390,448659,122731,,,122731,62958,,59773,-25,59748,20422,39326,,,39326,-84598,,-45272,39326,,,-45272,,,1.30
1593,祺驊,2015Q4,tpex,842821,608971,233850,,,233850,162419,,71431,30301,101732,14968,86764,,,86764,-8546,,78218,95564,,-8800,87018,,-8800,3.21
1595,川寶,2015Q4,tpex,1086910,641095,445815,,,445815,207933,,237882,38154,276036,65919,210117,,,210117,2525,,212642,210117,0,0,212642,0,0,5.43
1599,宏佳騰,2015Q4,tpex,2764610,2000151,764459,,,764459,452475,,311984,46825,358809,50642,308167,,,308167,-45284,,262883,308167,0,0,262883,0,0,6.85
1742,台蠟,2015Q4,tpex,646877,654510,-7633,,,-7633,95312,,-102945,-20489,-123434,-2,-123432,0,,-123432,6926,,-116506,-123432,,0,-116506,,0,-1.91
1777,生泰,2015Q4,tpex,683563,427657,255906,,,255906,86531,,169375,19750,189125,32884,156241,,,156241,-8361,,147880,,,,,,,5.20
1780,立弘,2015Q4,tpex,524107,312620,211487,,,211487,143745,,67742,2458,70200,10245,59955,,,59955,-1769,,58186,59955,,,58186,,,0.63
1781,合世,2015Q4,tpex,684604,628130,56474,,,56474,143841,,-87367,12779,-74588,-12559,-62029,,,-62029,-5832,,-67861,-62029,,,-67861,,,-1.31
1784,訊聯,2015Q4,tpex,622437,275234,347203,,,347203,348851,,-1648,21742,20094,7529,12565,,,12565,-764,,11801,23129,,-10564,22365,,-10564,0.47
1785,光洋科,2015Q4,tpex,61376037,61027394,348643,,,348643,1384685,,-1036042,-89247,-1125289,-68593,-1056696,,,-1056696,-31915,,-1088611,-1056435,,-261,-1087619,,-992,-2.62
1788,杏昌,2015Q4,tpex,2739916,2156657,583259,,,583259,350627,,232632,30501,263133,47686,215447,,,215447,1904,,217351,216886,,-1439,218790,,-1439,6.20
1796,金穎生技,2015Q4,tpex,375029,223101,151928,,,151928,96970,,54958,722,55680,1373,54307,,,54307,-168,,54139,54307,,,54139,,,2.26
1799,易威,2015Q4,tpex,468161,448102,20059,,,20059,170805,,-150746,-423,-151169,145,-151314,0,,-151314,6990,,-144324,-144855,,-6459,-138596,,-5728,-2.34
1813,寶利徠,2015Q4,tpex,392011,280350,111661,,,111661,72551,,39110,73248,112358,13601,98757,,,98757,-4409,,94348,98757,,0,94348,,0,2.12
1815,富喬,2015Q4,tpex,4804063,3641624,1162439,,,1162439,638477,,523962,-33821,490141,69668,420473,,,420473,-42737,,377736,420473,,,377736,,,1.04
2035,唐榮公司,2015Q4,tpex,14772646,15521576,-748930,,,-748930,347116,,-1096046,127982,-968064,-1411,-966653,,,-966653,-11766,,-978419,-930463,,-36190,-947347,,-31072,-2.66
2061,風青,2015Q4,tpex,1091539,1079093,12446,,,12446,75958,,-63512,-29643,-93155,-68,-93087,,,-93087,3986,,-89101,-93087,,0,-89101,,0,-1.50
2063,世鎧精密,2015Q4,tpex,651207,481029,170178,,,170178,95211,,74967,196,75163,10228,64935,,,64935,-994,,63941,64935,,,63941,,,1.50
2064,晉椿,2015Q4,tpex,2306735,2103774,202961,,,202961,102428,,100533,37905,138438,43247,95191,,,95191,-1242,,93949,,,,,,,1.36
2065,世豐,2015Q4,tpex,1155447,975799,179648,,,179648,129846,,49802,15165,64967,10685,54282,,,54282,85890,,140172,,,,,,,1.86
