stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2017Q3,twse,20057118,11757447,31814565,2697374,518270,17347550,11251371,-1485941,9765430,,9765430,988422,10753852,9765365,,65,10753787,,65,0.88
2881,富邦金,2017Q3,twse,83488499,234627267,318115766,1628305,227938771,40784923,47763767,-3575765,44188002,,44188002,20939085,65127087,44265380,,-77378,65201967,,-74880,4.23
2882,國泰金,2017Q3,twse,124980868,303258891,428239759,1880587,319289964,53981302,53087906,-4827152,48260754,,48260754,37783032,86043786,47944086,,316668,85961387,,82399,3.81
2883,凱基金,2017Q3,twse,8851082,26568179,35419261,729295,9749928,15195373,9744665,-917605,8827060,,8827060,-2830592,5996468,8969057,,-141997,7863454,,-1866986,0.61
2884,玉山金,2017Q3,twse,15075614,19330141,34405755,2884095,,18361379,13160281,-1711450,11448831,,11448831,51580,11500411,11581055,0,-132224,11667414,,-167003,1.18
2885,元大金,2017Q3,twse,16972516,47965048,64937564,650588,20644104,27883283,15759589,-1809936,13949653,-354342,13595311,-43264,13552047,12691160,,904151,12981829,,570218,1.07
2886,兆豐金,2017Q3,twse,26646444,18581705,45228149,1750049,-56034,18578235,24955899,-2789441,22166458,,22166458,1811915,23978373,22171797,,-5339,23978953,,-580,1.63
2887,台新新光金,2017Q3,twse,13898808,14062209,27961017,903230,,15273790,11783997,-1385194,10398803,,10398803,112481,10511284,10389878,,8925,10502359,,8925,0.92
2889,國票金,2017Q3,twse,1410157,3082437,4492594,109239,,2170593,2212762,-348997,1863765,,1863765,486008,2349773,1704089,,159676,2176475,,173298,0.62
2890,永豐金,2017Q3,twse,12171874,12332809,24504683,1741316,,14805839,7957528,-1116691,6840837,,6840837,-303033,6537804,6841735,,-898,6538702,,-898,0.62
2891,中信金,2017Q3,twse,67057162,191265431,258322593,1683003,174513915,46467468,35658207,-4638178,31020029,,31020029,221214,31241243,31018683,,1346,31245447,,-4204,1.59
2892,第一金,2017Q3,twse,22409759,15159462,37569221,1182289,2793419,16197763,17395750,-2563683,14832067,,14832067,-484943,14347124,14872484,,-40417,14337326,,9798,1.22
5880,合庫金,2017Q3,twse,25614234,9044658,34658892,2447166,367043,18005358,13839325,-1791290,12048035,,12048035,1564131,13612166,11701887,,346148,13086684,,525482,0.96
