stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2018Q2,twse,11568226,4843602,1154016,7785710,7472102,907190,6564912,,,6564912,488169,7053081,,,,,,,0.67
2812,台中銀,2018Q2,twse,4100475,1559436,267019,3208076,2184816,274391,1910425,0,,1910425,109224,2019649,1910425,0,0,2019649,0,0,0.57
2820,華票,2018Q2,twse,513069,482922,-124240,251474,868757,146469,722288,,,722288,-146218,576070,,,,,,,0.54
2834,臺企銀,2018Q2,twse,8731403,3075138,567623,6492332,4746586,821288,3925298,,,3925298,609452,4534750,3925298,0,0,4534750,0,0,0.64
2836,高雄銀,2018Q2,twse,1291475,518526,517601,1141731,150669,-60769,211438,,,211438,-120994,90444,,,,,,,0.21
2838,聯邦銀,2018Q2,twse,3348801,3058185,237876,4445669,1723441,212191,1511250,,,1511250,9882,1521132,1507670,,3580,1517752,,3380,0.53
2845,遠東銀,2018Q2,twse,2714222,2712422,303699,3245794,1877151,173538,1703613,,,1703613,-192836,1510777,1703613,,,1510777,,,0.54
2849,安泰銀,2018Q2,twse,1911795,1353534,653719,1378229,1233381,284423,948958,0,,948958,-3849,945109,,,,,,,0.55
2897,王道銀行,2018Q2,twse,2109561,1758485,154739,2233908,1479399,437012,1042387,953,,1043340,-25384,1017956,511621,,531719,583569,,434387,0.21
5876,上海商銀,2018Q2,twse,13051993,4989922,365634,6437253,11239028,2390967,8848061,,,8848061,3584122,12432183,6649703,,2198358,8065363,,4366820,1.63
