stock_id,name,period,market,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2880,華南金,2020Q3,twse,18193746,10442786,28636532,2209372,744543,18813463,6869154,1940380,4928774,,4928774,-1768964,3159810,4928664,,110,3159671,,139,0.38
2881,富邦金,2020Q3,twse,102863353,267219992,370083345,3213221,241728960,46903107,78238057,9784028,68454029,,68454029,6584648,75038677,68205740,,248289,74221161,,817516,6.38
2882,國泰金,2020Q3,twse,142984842,331166113,474150955,1749362,340348515,60764369,71288709,6873275,64415434,,64415434,7671286,72086720,63343376,,1072058,71239119,,847601,4.55
2883,凱基金,2020Q3,twse,49462587,122808175,172270762,239554,131479848,21190431,19360929,2523225,16837704,,16837704,-3303046,13534658,8791258,,8046446,6472367,,7062291,0.60
2884,玉山金,2020Q3,twse,15543703,27036187,42579890,2239906,,24046356,16293628,2335478,13958150,,13958150,-1550176,12407974,13946637,,11513,12396586,,11388,1.11
2885,元大金,2020Q3,twse,19905434,63361302,83266736,1337654,25308696,31838518,24781868,3962637,20819231,,20819231,1572371,22391602,19570809,,1248422,21559189,,832413,1.61
2886,兆豐金,2020Q3,twse,23747033,22098623,45845656,1929572,253175,21432488,22230421,3280083,18950338,,18950338,33913,18984251,18950338,,0,18984251,,0,1.39
2887,台新新光金,2020Q3,twse,16146306,17457588,33603894,1243298,,18737197,13623399,1861644,11761755,,11761755,-103962,11657793,11763254,,-1499,11659162,,-1369,0.96
2889,國票金,2020Q3,twse,1619728,4625668,6245396,-2661,,2644435,3603622,783000,2820622,,2820622,773283,3593905,2466881,,353741,3239184,,354721,0.85
2890,永豐金,2020Q3,twse,13435599,15941958,29377557,1914656,,16910473,10552428,1316338,9236090,,9236090,1068262,10304352,9236090,,0,10304352,,0,0.82
2891,中信金,2020Q3,twse,81969998,78345654,160315652,7030222,60442630,48878095,43964705,7836925,36127780,,36127780,-24533089,11594691,36126218,,1562,11600998,,-6307,1.80
2892,第一金,2020Q3,twse,22463443,20944781,43408224,3484758,6555088,17758835,15609543,2231772,13377771,,13377771,-3691882,9685889,13377771,,,9685889,,,1.04
5880,合庫金,2020Q3,twse,25939946,12184136,38124082,5653431,-1088654,18973804,14585501,2198112,12387389,,12387389,3856201,16243590,11959627,,427762,15382866,,860724,0.90
